"lady_lucas::determined";"william::determined"
"jane::giving";"lizzy::giving"
"jane::giving";"lydia::giving"
"lizzy::giving";"lydia::giving"
"bingley::employed";"lizzy::employed"
"mary::great";"mary::young"
"bennet::excellent";"kitty::excellent"
"william::agreeable";"william::handsome"
"william::agreeable";"william::young"
"william::handsome";"william::young"
"bennet::young";"bingley::young"
"bennet::fortunate";"bingley::fortunate"
"bingley::little";"lucas::little"
"bingley::good";"bingley::pleasant"
"bingley::fine";"bingley::great"
"bingley::fine";"bingley::pleased"
"bingley::fine";"bingley::proud"
"bingley::great";"bingley::pleased"
"bingley::great";"bingley::proud"
"bingley::pleased";"bingley::proud"
"bennet::handsome";"darcy::handsome"
"bennet::beautiful";"darcy::beautiful"
"bennet::agreeable";"bennet::pretty"
"bennet::agreeable";"darcy::agreeable"
"bennet::agreeable";"darcy::pretty"
"bennet::pretty";"darcy::agreeable"
"bennet::pretty";"darcy::pretty"
"darcy::agreeable";"darcy::pretty"
"elizabeth::#-handsome";"elizabeth::young"
"bingley::accomplished";"bingley::fortunate"
"bingley::accomplished";"kitty::accomplished"
"bingley::accomplished";"kitty::fortunate"
"bingley::accomplished";"lydia::accomplished"
"bingley::accomplished";"lydia::fortunate"
"bingley::accomplished";"mary::accomplished"
"bingley::accomplished";"mary::fortunate"
"bingley::fortunate";"kitty::accomplished"
"bingley::fortunate";"kitty::fortunate"
"bingley::fortunate";"lydia::accomplished"
"bingley::fortunate";"lydia::fortunate"
"bingley::fortunate";"mary::accomplished"
"bingley::fortunate";"mary::fortunate"
"kitty::accomplished";"kitty::fortunate"
"kitty::accomplished";"lydia::accomplished"
"kitty::accomplished";"lydia::fortunate"
"kitty::accomplished";"mary::accomplished"
"kitty::accomplished";"mary::fortunate"
"kitty::fortunate";"lydia::accomplished"
"kitty::fortunate";"lydia::fortunate"
"kitty::fortunate";"mary::accomplished"
"kitty::fortunate";"mary::fortunate"
"lydia::accomplished";"lydia::fortunate"
"lydia::accomplished";"mary::accomplished"
"lydia::accomplished";"mary::fortunate"
"lydia::fortunate";"mary::accomplished"
"lydia::fortunate";"mary::fortunate"
"mary::accomplished";"mary::fortunate"
"bingley::anxious";"hurst::anxious"
"--_bingley::great";"darcy::great"
"bingley::clever";"darcy::clever"
"bingley::giving";"darcy::giving"
"bennet::short";"elizabeth::short"
"bennet::short";"jane::short"
"bennet::short";"kitty::short"
"bennet::short";"lydia::short"
"bennet::short";"mary::short"
"elizabeth::short";"jane::short"
"elizabeth::short";"kitty::short"
"elizabeth::short";"lydia::short"
"elizabeth::short";"mary::short"
"jane::short";"kitty::short"
"jane::short";"lydia::short"
"jane::short";"mary::short"
"kitty::short";"lydia::short"
"kitty::short";"mary::short"
"lydia::short";"mary::short"
"elizabeth::intelligent";"elizabeth::sensible"
"elizabeth::intelligent";"elizabeth::young"
"elizabeth::sensible";"elizabeth::young"
"bennet::well";"lucas::well"
"robinson::great";"robinson::pretty"
"bingley::angry";"bingley::little"
"bingley::angry";"darcy::angry"
"bingley::angry";"darcy::little"
"bingley::angry";"jane::angry"
"bingley::angry";"jane::little"
"bingley::little";"darcy::angry"
"bingley::little";"darcy::little"
"bingley::little";"jane::angry"
"bingley::little";"jane::little"
"darcy::angry";"darcy::little"
"darcy::angry";"jane::angry"
"darcy::angry";"jane::little"
"darcy::little";"jane::angry"
"darcy::little";"jane::little"
"jane::angry";"jane::little"
"darcy::proud";"darcy::rich"
"darcy::proud";"darcy::young"
"darcy::proud";"lucas::proud"
"darcy::proud";"lucas::rich"
"darcy::proud";"lucas::young"
"darcy::rich";"darcy::young"
"darcy::rich";"lucas::proud"
"darcy::rich";"lucas::rich"
"darcy::rich";"lucas::young"
"darcy::young";"lucas::proud"
"darcy::young";"lucas::rich"
"darcy::young";"lucas::young"
"lucas::proud";"lucas::rich"
"lucas::proud";"lucas::young"
"lucas::rich";"lucas::young"
"darcy::surprised";"william::surprised"
"darcy::great";"elizabeth_bennet::great"
"philips::interesting";"philips::productive"
"forster::smart";"forster::young"
"forster::smart";"william::smart"
"forster::smart";"william::young"
"forster::young";"william::smart"
"forster::young";"william::young"
"william::smart";"william::young"
"bennet::dangerous";"bingley::dangerous"
"bennet::dangerous";"elizabeth::dangerous"
"bingley::dangerous";"elizabeth::dangerous"
"elizabeth::good";"hurst::good"
"darcy::little";"hurst::little"
"bingley::plain";"darcy::plain"
"bingley::plain";"elizabeth::plain"
"bingley::plain";"hurst::plain"
"darcy::plain";"elizabeth::plain"
"darcy::plain";"hurst::plain"
"elizabeth::plain";"hurst::plain"
"bingley::bad";"jane::bad"
"jane_bennet::sweet";"jane_bennet::well"
"darcy::delightful";"miss_bingley::delightful"
"bingley::little";"elizabeth::little"
"bingley::accomplished";"bingley::amazing"
"bingley::accomplished";"bingley::young"
"bingley::amazing";"bingley::young"
"bennet::great";"bingley::great"
"bennet::cold";"miss_bingley::cold"
"bingley::agreeable";"william::agreeable"
"bennet::short";"bingley::short"
"bennet::short";"lizzy::short"
"bingley::short";"jane::short"
"bingley::short";"lizzy::short"
"jane::short";"lizzy::short"
"lydia::good";"lydia::natural"
"carter::giving";"jane::giving"
"darcy::curious";"elizabeth::curious"
"grantley::beautiful";"grantley::delighted"
"grantley::beautiful";"grantley::little"
"grantley::delighted";"grantley::little"
"bingley::careless";"charles::careless"
"bingley::careless";"darcy::careless"
"charles::careless";"darcy::careless"
"bingley::afraid";"bingley::giving"
"bennet::well";"bingley::well"
"bennet::thankful";"darcy::thankful"
"bennet::thankful";"elizabeth::thankful"
"darcy::thankful";"elizabeth::thankful"
"bingley::polite";"elizabeth::polite"
"darcy::employed";"elizabeth::employed"
"darcy::employed";"hurst::employed"
"elizabeth::employed";"hurst::employed"
"darcy::great";"darcy::strange"
"darcy::great";"elizabeth::great"
"darcy::great";"elizabeth::strange"
"darcy::great";"hurst::great"
"darcy::great";"hurst::strange"
"darcy::strange";"elizabeth::great"
"darcy::strange";"elizabeth::strange"
"darcy::strange";"hurst::great"
"darcy::strange";"hurst::strange"
"elizabeth::great";"elizabeth::strange"
"elizabeth::great";"hurst::great"
"elizabeth::great";"hurst::strange"
"elizabeth::strange";"hurst::great"
"elizabeth::strange";"hurst::strange"
"hurst::great";"hurst::strange"
"darcy::little";"elizabeth::little"
"elizabeth::little";"hurst::little"
"bennet::great";"bennet::lively"
"bennet::great";"darcy::great"
"bennet::great";"darcy::lively"
"bennet::lively";"darcy::great"
"bennet::lively";"darcy::lively"
"darcy::great";"darcy::lively"
"darcy::difficult";"elizabeth::difficult"
"bingley::great";"bingley::jealous"
"bingley::great";"elizabeth::great"
"bingley::great";"elizabeth::jealous"
"bingley::great";"jane::great"
"bingley::great";"jane::jealous"
"bingley::jealous";"elizabeth::great"
"bingley::jealous";"elizabeth::jealous"
"bingley::jealous";"jane::great"
"bingley::jealous";"jane::jealous"
"elizabeth::great";"elizabeth::jealous"
"elizabeth::great";"jane::great"
"elizabeth::great";"jane::jealous"
"elizabeth::jealous";"jane::great"
"elizabeth::jealous";"jane::jealous"
"jane::great";"jane::jealous"
"bennet::polite";"hurst::polite"
"bennet::serious";"charles::serious"
"--_``_louisa::little";"--_``_louisa::tired"
"--_``_louisa::little";"bingley::little"
"--_``_louisa::little";"bingley::tired"
"--_``_louisa::tired";"bingley::little"
"--_``_louisa::tired";"bingley::tired"
"bingley::little";"bingley::tired"
"bingley::original";"elizabeth::original"
"bingley::original";"jane::original"
"bingley::original";"netherfield::original"
"elizabeth::original";"jane::original"
"elizabeth::original";"netherfield::original"
"jane::original";"netherfield::original"
"bennet::firm";"jane::firm"
"--_elizabeth::well";"bingley::well"
"--_elizabeth::well";"elizabeth::well"
"--_elizabeth::well";"jane::well"
"bingley::well";"elizabeth::well"
"bingley::well";"jane::well"
"elizabeth::well";"jane::well"
"bennet::cold";"jane::cold"
"bennet::little";"collins::little"
"elizabeth::extraordinary";"elizabeth::kind"
"elizabeth::extraordinary";"lady_catherine::extraordinary"
"elizabeth::extraordinary";"lady_catherine::kind"
"elizabeth::kind";"lady_catherine::extraordinary"
"elizabeth::kind";"lady_catherine::kind"
"lady_catherine::extraordinary";"lady_catherine::kind"
"elizabeth::sensible";"lady_catherine::sensible"
"elizabeth::great";"lady_catherine::great"
"elizabeth::well";"lady_catherine::well"
"elizabeth::impatient";"lady_catherine::impatient"
"catherine::interesting";"lydia::interesting"
"bennet::tall";"bennet::young"
"bennet::tall";"collins::tall"
"bennet::tall";"collins::young"
"bennet::young";"collins::tall"
"bennet::young";"collins::young"
"collins::tall";"collins::young"
"catherine::experienced";"catherine::important"
"bennet::agreeable";"bennet::proper"
"bennet::charming";"bennet::young"
"catherine::distinguished";"catherine::young"
"catherine::distinguished";"de_bourgh::distinguished"
"catherine::distinguished";"de_bourgh::young"
"catherine::young";"de_bourgh::distinguished"
"catherine::young";"de_bourgh::young"
"de_bourgh::distinguished";"de_bourgh::young"
"catherine::little";"de_bourgh::little"
"lady_catherine_bennet::charming";"lady_catherine_bennet::giving"
"lady_catherine_bennet::charming";"lady_catherine_bennet::happy"
"lady_catherine_bennet::charming";"lady_catherine_bennet::kind"
"lady_catherine_bennet::charming";"lady_catherine_bennet::little"
"lady_catherine_bennet::giving";"lady_catherine_bennet::happy"
"lady_catherine_bennet::giving";"lady_catherine_bennet::kind"
"lady_catherine_bennet::giving";"lady_catherine_bennet::little"
"lady_catherine_bennet::happy";"lady_catherine_bennet::kind"
"lady_catherine_bennet::happy";"lady_catherine_bennet::little"
"lady_catherine_bennet::kind";"lady_catherine_bennet::little"
"bennet::young";"lydia::young"
"collins::young";"lydia::young"
"lady_catherine_de_bourgh::fortunate";"lady_catherine_de_bourgh::good"
"collins::pleased";"collins::prompt"
"collins::pleased";"collins::well"
"collins::pleased";"elizabeth::pleased"
"collins::pleased";"elizabeth::prompt"
"collins::pleased";"elizabeth::well"
"collins::prompt";"collins::well"
"collins::prompt";"elizabeth::pleased"
"collins::prompt";"elizabeth::prompt"
"collins::prompt";"elizabeth::well"
"collins::well";"elizabeth::pleased"
"collins::well";"elizabeth::prompt"
"collins::well";"elizabeth::well"
"elizabeth::pleased";"elizabeth::prompt"
"elizabeth::pleased";"elizabeth::well"
"elizabeth::prompt";"elizabeth::well"
"kitty::determined";"lydia::determined"
"denny::happy";"wickham::happy"
"denny::young";"lydia::young"
"denny::young";"philips::young"
"denny::young";"wickham::young"
"lydia::young";"philips::young"
"lydia::young";"wickham::young"
"philips::young";"wickham::young"
"collins::young";"jane::young"
"collins::young";"jones::young"
"collins::young";"philips::young"
"jane::young";"jones::young"
"jane::young";"philips::young"
"jones::young";"philips::young"
"denny::good";"philips::good"
"bennet::young";"wickham::young"
"collins::young";"wickham::young"
"lady_catherine::attentive";"lady_catherine::employed"
"elizabeth::thinking";"elizabeth::unreasonable"
"elizabeth::thinking";"wickham::thinking"
"elizabeth::thinking";"wickham::unreasonable"
"elizabeth::unreasonable";"wickham::thinking"
"elizabeth::unreasonable";"wickham::unreasonable"
"wickham::thinking";"wickham::unreasonable"
"collins::fair";"collins::kind"
"collins::fair";"collins::young"
"collins::fair";"wickham::fair"
"collins::fair";"wickham::kind"
"collins::fair";"wickham::young"
"collins::kind";"collins::young"
"collins::kind";"wickham::fair"
"collins::kind";"wickham::kind"
"collins::kind";"wickham::young"
"collins::young";"wickham::fair"
"collins::young";"wickham::kind"
"wickham::fair";"wickham::kind"
"wickham::fair";"wickham::young"
"wickham::kind";"wickham::young"
"philips::glad";"philips::little"
"philips::glad";"philips::thankful"
"philips::little";"philips::thankful"
"darcy::friendly";"darcy::great"
"elizabeth::determined";"elizabeth::thorough"
"darcy::devoted";"philips::devoted"
"wickham::liberal";"wickham::poor"
"bingley::charming";"bingley::sweet"
"bingley::poor";"elizabeth::poor"
"elizabeth::well";"wickham::well"
"bingley::young";"darcy::young"
"bingley::young";"jane::young"
"bingley::young";"wickham::young"
"darcy::young";"jane::young"
"darcy::young";"wickham::young"
"jane::young";"wickham::young"
"bingley::well";"darcy::well"
"bingley::well";"wickham::well"
"darcy::well";"jane::well"
"darcy::well";"wickham::well"
"jane::well";"wickham::well"
"darcy::capable";"lizzy::capable"
"bennet::little";"elizabeth::little"
"collins::good";"collins::little"
"collins::good";"wickham::good"
"collins::good";"wickham::little"
"collins::little";"wickham::good"
"collins::little";"wickham::little"
"wickham::good";"wickham::little"
"collins::worthy";"wickham::worthy"
"collins::agreeable";"wickham::agreeable"
"elizabeth::trusting";"wickham::trusting"
"darcy::polite";"elizabeth::polite"
"darcy::polite";"lydia::polite"
"darcy::polite";"wickham::polite"
"elizabeth::polite";"lydia::polite"
"elizabeth::polite";"wickham::polite"
"lydia::polite";"wickham::polite"
"darcy::serious";"jane::serious"
"darcy::serious";"william::serious"
"jane::serious";"william::serious"
"darcy::kind";"george_wickham::kind"
"--_elizabeth::happy";"--_elizabeth::satisfied"
"--_elizabeth::happy";"--_elizabeth::sweet"
"--_elizabeth::happy";"--_elizabeth::well"
"--_elizabeth::happy";"jane::happy"
"--_elizabeth::happy";"jane::satisfied"
"--_elizabeth::happy";"jane::sweet"
"--_elizabeth::happy";"jane::well"
"--_elizabeth::satisfied";"--_elizabeth::sweet"
"--_elizabeth::satisfied";"--_elizabeth::well"
"--_elizabeth::satisfied";"jane::happy"
"--_elizabeth::satisfied";"jane::satisfied"
"--_elizabeth::satisfied";"jane::sweet"
"--_elizabeth::satisfied";"jane::well"
"--_elizabeth::sweet";"--_elizabeth::well"
"--_elizabeth::sweet";"jane::happy"
"--_elizabeth::sweet";"jane::satisfied"
"--_elizabeth::sweet";"jane::sweet"
"--_elizabeth::sweet";"jane::well"
"--_elizabeth::well";"jane::happy"
"--_elizabeth::well";"jane::satisfied"
"--_elizabeth::well";"jane::sweet"
"jane::happy";"jane::satisfied"
"jane::happy";"jane::sweet"
"jane::happy";"jane::well"
"jane::satisfied";"jane::sweet"
"jane::satisfied";"jane::well"
"jane::sweet";"jane::well"
"bingley::good";"bingley::ignorant"
"bingley::good";"bingley::respectable"
"bingley::good";"bingley::well"
"bingley::good";"bingley::young"
"bingley::good";"darcy::good"
"bingley::good";"darcy::ignorant"
"bingley::good";"darcy::respectable"
"bingley::good";"darcy::well"
"bingley::good";"darcy::young"
"bingley::good";"wickham::good"
"bingley::good";"wickham::ignorant"
"bingley::good";"wickham::respectable"
"bingley::good";"wickham::well"
"bingley::good";"wickham::young"
"bingley::ignorant";"bingley::respectable"
"bingley::ignorant";"bingley::well"
"bingley::ignorant";"bingley::young"
"bingley::ignorant";"darcy::good"
"bingley::ignorant";"darcy::ignorant"
"bingley::ignorant";"darcy::respectable"
"bingley::ignorant";"darcy::well"
"bingley::ignorant";"darcy::young"
"bingley::ignorant";"wickham::good"
"bingley::ignorant";"wickham::ignorant"
"bingley::ignorant";"wickham::respectable"
"bingley::ignorant";"wickham::well"
"bingley::ignorant";"wickham::young"
"bingley::respectable";"bingley::well"
"bingley::respectable";"bingley::young"
"bingley::respectable";"darcy::good"
"bingley::respectable";"darcy::ignorant"
"bingley::respectable";"darcy::respectable"
"bingley::respectable";"darcy::well"
"bingley::respectable";"darcy::young"
"bingley::respectable";"wickham::good"
"bingley::respectable";"wickham::ignorant"
"bingley::respectable";"wickham::respectable"
"bingley::respectable";"wickham::well"
"bingley::respectable";"wickham::young"
"bingley::well";"bingley::young"
"bingley::well";"darcy::good"
"bingley::well";"darcy::ignorant"
"bingley::well";"darcy::respectable"
"bingley::well";"darcy::young"
"bingley::well";"wickham::good"
"bingley::well";"wickham::ignorant"
"bingley::well";"wickham::respectable"
"bingley::well";"wickham::young"
"bingley::young";"darcy::good"
"bingley::young";"darcy::ignorant"
"bingley::young";"darcy::respectable"
"bingley::young";"darcy::well"
"bingley::young";"wickham::good"
"bingley::young";"wickham::ignorant"
"bingley::young";"wickham::respectable"
"bingley::young";"wickham::well"
"darcy::good";"darcy::ignorant"
"darcy::good";"darcy::respectable"
"darcy::good";"darcy::well"
"darcy::good";"darcy::young"
"darcy::good";"wickham::good"
"darcy::good";"wickham::ignorant"
"darcy::good";"wickham::respectable"
"darcy::good";"wickham::well"
"darcy::good";"wickham::young"
"darcy::ignorant";"darcy::respectable"
"darcy::ignorant";"darcy::well"
"darcy::ignorant";"darcy::young"
"darcy::ignorant";"wickham::good"
"darcy::ignorant";"wickham::ignorant"
"darcy::ignorant";"wickham::respectable"
"darcy::ignorant";"wickham::well"
"darcy::ignorant";"wickham::young"
"darcy::respectable";"darcy::well"
"darcy::respectable";"darcy::young"
"darcy::respectable";"wickham::good"
"darcy::respectable";"wickham::ignorant"
"darcy::respectable";"wickham::respectable"
"darcy::respectable";"wickham::well"
"darcy::respectable";"wickham::young"
"darcy::well";"darcy::young"
"darcy::well";"wickham::good"
"darcy::well";"wickham::ignorant"
"darcy::well";"wickham::respectable"
"darcy::well";"wickham::young"
"darcy::young";"wickham::good"
"darcy::young";"wickham::ignorant"
"darcy::young";"wickham::respectable"
"darcy::young";"wickham::well"
"wickham::good";"wickham::ignorant"
"wickham::good";"wickham::respectable"
"wickham::good";"wickham::well"
"wickham::good";"wickham::young"
"wickham::ignorant";"wickham::respectable"
"wickham::ignorant";"wickham::well"
"wickham::ignorant";"wickham::young"
"wickham::respectable";"wickham::well"
