"maria_ward::short";"thomas_bertram::short"
"maria::handsome";"ward::handsome"
"frances::private";"norris::private"
"norris::little";"thomas::little"
"norris::little";"ward::little"
"thomas::little";"ward::little"
"lady_bertram::glad";"lady_bertram::well"
"lady_bertram::glad";"thomas_bertram::glad"
"lady_bertram::glad";"thomas_bertram::well"
"lady_bertram::well";"thomas_bertram::glad"
"lady_bertram::well";"thomas_bertram::well"
"thomas_bertram::glad";"thomas_bertram::well"
"lady_bertram::active";"lady_bertram::disabled"
"lady_bertram::active";"lady_bertram::eager"
"lady_bertram::active";"lady_bertram::good"
"lady_bertram::disabled";"lady_bertram::eager"
"lady_bertram::disabled";"lady_bertram::good"
"lady_bertram::eager";"lady_bertram::good"
"lady_bertram::fine";"lady_bertram::old"
"lady_bertram::friendly";"norris::friendly"
"lady_bertram::friendly";"thomas::friendly"
"norris::friendly";"thomas::friendly"
"norris::great";"norris::poor"
"norris::old";"norris::poor"
"edmund::pretty";"tom::pretty"
"thomas::consistent";"thomas::great"
"thomas::poor";"thomas::warm"
"lady_bertram::calm";"lady_bertram::forward"
"lady_bertram::calm";"norris::calm"
"lady_bertram::calm";"norris::forward"
"lady_bertram::calm";"thomas::calm"
"lady_bertram::calm";"thomas::forward"
"lady_bertram::forward";"norris::calm"
"lady_bertram::forward";"norris::forward"
"lady_bertram::forward";"thomas::calm"
"lady_bertram::forward";"thomas::forward"
"norris::calm";"norris::forward"
"norris::calm";"thomas::calm"
"norris::calm";"thomas::forward"
"norris::forward";"thomas::calm"
"norris::forward";"thomas::forward"
"thomas::calm";"thomas::forward"
"lady_bertram::desirable";"norris::desirable"
"lady_bertram::desirable";"thomas::desirable"
"norris::desirable";"thomas::desirable"
"miss_lee::important";"norris::important"
"norris::good";"norris::sensible"
"julia::poor";"lady_bertram::poor"
"bertram::proper";"norris::proper"
"bertram::proper";"thomas::proper"
"norris::proper";"thomas::proper"
"lady_bertram::awful";"thomas::awful"
"fanny::well";"norris::well"
"lee::good";"lee::little"
"lee::good";"lee::sensible"
"lee::little";"lee::sensible"
"edmund::great";"edmund::surprised"
"julia::angry";"maria::angry"
"julia::short";"maria::short"
"frances::good";"frances::happy"
"frances::good";"frances::little"
"frances::happy";"frances::little"
"edmund::bold";"fanny::bold"
"norris::afraid";"norris::little"
"edmund::good-natured";"edmund::useful"
"edmund::fair";"edmund::kind"
"edmund::fair";"edmund::young"
"edmund::fair";"tom::fair"
"edmund::fair";"tom::kind"
"edmund::fair";"tom::young"
"edmund::kind";"edmund::young"
"edmund::kind";"tom::fair"
"edmund::kind";"tom::kind"
"edmund::kind";"tom::young"
"edmund::young";"tom::fair"
"edmund::young";"tom::kind"
"edmund::young";"tom::young"
"tom::fair";"tom::kind"
"tom::fair";"tom::young"
"tom::kind";"tom::young"
"edmund::liberal";"tom::liberal"
"edmund::consistent";"edmund::little"
"edmund::consistent";"edmund::pretty"
"edmund::consistent";"tom::consistent"
"edmund::consistent";"tom::little"
"edmund::consistent";"tom::pretty"
"edmund::little";"edmund::pretty"
"edmund::little";"tom::consistent"
"edmund::little";"tom::little"
"edmund::little";"tom::pretty"
"edmund::pretty";"tom::consistent"
"edmund::pretty";"tom::little"
"tom::consistent";"tom::little"
"tom::consistent";"tom::pretty"
"tom::little";"tom::pretty"
"norris::clever";"norris::little"
"norris::clever";"norris::pretty"
"norris::clever";"thomas::clever"
"norris::clever";"thomas::little"
"norris::clever";"thomas::pretty"
"norris::little";"norris::pretty"
"norris::little";"thomas::clever"
"norris::little";"thomas::pretty"
"norris::pretty";"thomas::clever"
"norris::pretty";"thomas::little"
"norris::pretty";"thomas::pretty"
"thomas::clever";"thomas::little"
"thomas::clever";"thomas::pretty"
"thomas::little";"thomas::pretty"
"norris::mean";"thomas::mean"
"wight::ashamed";"wight::old"
"severus::distinguished";"severus::great"
"thomas::important";"thomas::little"
"thomas::important";"thomas::thinking"
"thomas::little";"thomas::thinking"
"lady_bertram::great";"lady_bertram::little"
"lady_bertram::great";"thomas::great"
"lady_bertram::great";"thomas::little"
"lady_bertram::little";"thomas::great"
"lady_bertram::little";"thomas::little"
"thomas::great";"thomas::little"
"lady_bertram::tall";"thomas::tall"
"fanny::old";"fanny::sensible"
"fanny::old";"thomas::old"
"fanny::old";"thomas::sensible"
"fanny::sensible";"thomas::old"
"fanny::sensible";"thomas::sensible"
"thomas::old";"thomas::sensible"
"edmund::charming";"william::charming"
"edmund::clever";"edmund::good"
"edmund::clever";"edmund::well"
"edmund::good";"edmund::well"
"norris::well";"thomas::well"
"norris::fair";"thomas::fair"
"norris::great";"norris::natural"
"fanny::helpless";"fanny::poor"
"fanny::useful";"lady_bertram::useful"
"fanny::useful";"mansfield::useful"
"fanny::useful";"miss_lee::useful"
"lady_bertram::useful";"mansfield::useful"
"lady_bertram::useful";"miss_lee::useful"
"mansfield::useful";"miss_lee::useful"
"norris::concerned";"norris::excellent"
"norris::concerned";"norris::little"
"norris::concerned";"tom::concerned"
"norris::concerned";"tom::excellent"
"norris::concerned";"tom::little"
"norris::excellent";"norris::little"
"norris::excellent";"tom::concerned"
"norris::excellent";"tom::excellent"
"norris::excellent";"tom::little"
"norris::little";"tom::concerned"
"norris::little";"tom::excellent"
"norris::little";"tom::little"
"tom::concerned";"tom::excellent"
"tom::concerned";"tom::little"
"tom::excellent";"tom::little"
"thomas::evil";"thomas::sad"
"maria::poor";"maria::well"
"maria::poor";"maria::young"
"maria::poor";"thomas::poor"
"maria::poor";"thomas::well"
"maria::poor";"thomas::young"
"maria::well";"maria::young"
"maria::well";"thomas::poor"
"maria::well";"thomas::well"
"maria::well";"thomas::young"
"maria::young";"thomas::poor"
"maria::young";"thomas::well"
"maria::young";"thomas::young"
"thomas::poor";"thomas::well"
"thomas::poor";"thomas::young"
"thomas::well";"thomas::young"
"maria::difficult";"maria::short"
"maria::difficult";"maria::young"
"maria::difficult";"norris::difficult"
"maria::difficult";"norris::short"
"maria::difficult";"norris::young"
"maria::difficult";"rushworth::difficult"
"maria::difficult";"rushworth::short"
