"" "adams::excellent" "angell::open" "anthonie::bad" "anthonie::good" "bartol::pleasing" "bartoll::pleasing" "charles::reasonable" "christ::#-good" "christ::modest" "christ::neglected" "cleopatra::bad" "cornelius_agrippa::curious" "cornelius_agrippa::great" "cornelius_agrippa::short" "countrieman::little" "crede::fine" "cromwell::great" "danaus::honest" "diogenes::pleased" "doctour::open" "duke::hard" "emperour::reasonable" "erasmus::little" "esdras::forward" "esdras::great" "esdras::pleasing" "esse::good" "esse::great" "esse::thorough" "estrich::eager" "frego::disturbed" "frego::good" "frego::hard" "geraldine::wise" "golde::good" "hee::bad" "henrie_howard::good" "henrie_howard::well" "henrie::great" "hermannus_buschius::great" "iulius_cosar::great" "marques::good" "marques::little" "mary::bad" "maye_flowers::good" "muncers::#-good" "peters::rich" "phoebe::bright" "queene::pleasant" "roterdam::little" "tabitha::disturbed" "tabitha::great" "thomas_moore::great" "tully::good" "tully::great" "zacharie::gentle" "zacharie::good" "zacharie::gracious" "zacharie::little" "zadoch::good" "zanie_capestrano::good" "destinie::excellent" "angell::rough" "cleopatra::good" "granado::pleasing" "gedeon::reasonable" "muncers::neglected" "moone::modest" "cornelius_agrippa::little" "cornelius_agrippa::violent" "thomas_moore::little" "monsieur_capitano::fine" "lorde::great" "dane::honest" "diogenes::reasonable" "zacharie::open" "wittenberg::hard" "granado::great" "tully::thorough" "estrich::wise" "tabitha::good" "tabitha::hard" "katherine_dowager::wise" "lorde::wise" "phao::good" "hee::good" "lorde::good" "lorde::well" "iulius_cosar::little" "zadoch::little" "mary::hard" "maye::good" "saint::rich" "phoebe::rich" "scoto::pleasant" "tabitha::little" "thomas_moore::rich" "zacharie::well" "zadoch::gracious" "zanie_capestrano::thorough"
"adams::excellent" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"angell::open" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"anthonie::bad" 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"anthonie::good" 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"bartol::pleasing" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"bartoll::pleasing" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"charles::reasonable" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"christ::#-good" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"christ::modest" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"christ::neglected" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
