"anne_page::careful";"hugh_evans::careful"
"anne_page::youthful";"hugh_evans::youthful"
"anne_page::gifted";"hugh_evans::gifted"
"anne_page::devoted";"hugh_evans::devoted"
"anne_page::respected";"hugh_evans::respected"
"anne_page::pretty";"hugh_evans::pretty"
"anne_page::extraordinary";"hugh_evans::extraordinary"
"anne_page::bright";"hugh_evans::bright"
"gordon_riots::extraordinary";"gordon_riots::remarkable"
"mary_jones::handsome";"mary_jones::young"
"henry_the_eighth::certain";"henry_the_eighth::unlucky"
"henry_the_eighth::certain";"queen_elizabeth::certain"
"henry_the_eighth::certain";"queen_elizabeth::unlucky"
"henry_the_eighth::unlucky";"queen_elizabeth::certain"
"henry_the_eighth::unlucky";"queen_elizabeth::unlucky"
"queen_elizabeth::certain";"queen_elizabeth::unlucky"
"john_willet::fat";"john_willet::strong"
"willet::cold";"willet::fat"
"john::plain";"john::young"
"john::open";"john::remarkable"
"phil_parkes::short";"tom_cobb::short"
"geoffrey_haredale::little";"geoffrey_haredale::worthy"
"geoffrey_haredale::little";"geoffrey_haredale::young"
"geoffrey_haredale::little";"haredale::little"
"geoffrey_haredale::little";"haredale::worthy"
"geoffrey_haredale::little";"haredale::young"
"geoffrey_haredale::worthy";"geoffrey_haredale::young"
"geoffrey_haredale::worthy";"haredale::little"
"geoffrey_haredale::worthy";"haredale::worthy"
"geoffrey_haredale::worthy";"haredale::young"
"geoffrey_haredale::young";"haredale::little"
"geoffrey_haredale::young";"haredale::worthy"
"geoffrey_haredale::young";"haredale::young"
"haredale::little";"haredale::worthy"
"haredale::little";"haredale::young"
"haredale::worthy";"haredale::young"
"joe::young";"willet::young"
"joe::tough";"parkes::tough"
"phil::thin";"willet::thin"
"joe::young";"parkes::young"
"john_willet::thinking";"natur::thinking"
"john_willet::amazing";"parkes::amazing"
"geoffrey::valuable";"joe::valuable"
"geoffrey::valuable";"reuben_haredale::valuable"
"geoffrey::valuable";"solomon::valuable"
"geoffrey::valuable";"warren::valuable"
"joe::valuable";"reuben_haredale::valuable"
"joe::valuable";"solomon::valuable"
"joe::valuable";"warren::valuable"
"reuben_haredale::valuable";"solomon::valuable"
"reuben_haredale::valuable";"warren::valuable"
"solomon::valuable";"warren::valuable"
"joe::old";"joe::short"
"joe::poor";"joe::thinking"
"gabriel_varden::great";"gabriel_varden::little"
"gabriel_varden::great";"martha::great"
"gabriel_varden::great";"martha::little"
"gabriel_varden::little";"martha::great"
"gabriel_varden::little";"martha::little"
"martha::great";"martha::little"
"gabriel::cold";"joe::cold"
"gabriel::honest";"solomon::honest"
"joe::#-good";"joe::pleased"
"joe::#-good";"varden::#-good"
"joe::#-good";"varden::pleased"
"joe::pleased";"varden::#-good"
"joe::pleased";"varden::pleased"
"varden::#-good";"varden::pleased"
"joe::bad";"varden::bad"
"joe::good";"joe::pretty"
"joe::good";"joe::well"
"joe::pretty";"joe::well"
"gabriel_varden::sleepy";"mrs_varden::sleepy"
"gabriel_varden::kind";"gabriel_varden::strong"
"gabriel_varden::kind";"mrs_varden::kind"
"gabriel_varden::kind";"mrs_varden::strong"
"gabriel_varden::strong";"mrs_varden::kind"
"gabriel_varden::strong";"mrs_varden::strong"
"mrs_varden::kind";"mrs_varden::strong"
"barnaby::active";"barnaby::experienced"
"barnaby::active";"barnaby::great"
"barnaby::active";"barnaby::strong"
"barnaby::experienced";"barnaby::great"
"barnaby::experienced";"barnaby::strong"
"barnaby::great";"barnaby::strong"
"barnaby::accomplished";"gabriel::accomplished"
"barnaby::accomplished";"mrs_varden::accomplished"
"barnaby::accomplished";"varden::accomplished"
"gabriel::accomplished";"mrs_varden::accomplished"
"gabriel::accomplished";"varden::accomplished"
"mrs_varden::accomplished";"varden::accomplished"
"sim::little";"sim::old-fashioned"
"sim::little";"sim::tall"
"sim::little";"simon_tappertit::little"
"sim::little";"simon_tappertit::old-fashioned"
"sim::little";"simon_tappertit::tall"
"sim::old-fashioned";"sim::tall"
"sim::old-fashioned";"simon_tappertit::little"
"sim::old-fashioned";"simon_tappertit::old-fashioned"
"sim::old-fashioned";"simon_tappertit::tall"
"sim::tall";"simon_tappertit::little"
"sim::tall";"simon_tappertit::old-fashioned"
"sim::tall";"simon_tappertit::tall"
"simon_tappertit::little";"simon_tappertit::old-fashioned"
"simon_tappertit::little";"simon_tappertit::tall"
"simon_tappertit::old-fashioned";"simon_tappertit::tall"
"sim::well";"simon_tappertit::well"
"sim::dumb";"simon_tappertit::dumb"
"gabriel::laughing";"sim::laughing"
"joe_willet::old";"joe::old"
"joe_willet::old";"john::old"
"joe::old";"john::old"
"dolly::big";"gabriel::big"
"dolly::big";"sim::big"
"gabriel::big";"sim::big"
"dolly::great";"gabriel::great"
"dolly::great";"sim::great"
"gabriel::great";"sim::great"
"chester::disappointed";"gabriel::disappointed"
"barnaby::poor";"varden::poor"
"barnaby::tired";"varden::tired"
"edward::bold";"varden::bold"
"barnaby::young";"gabriel::young"
"edward::extraordinary";"edward::polite"
"barnaby::great";"barnaby::poor"
"macbeth::furious";"macbeth::kind"
"macbeth::furious";"macbeth::loyal"
"macbeth::furious";"macbeth::short"
"macbeth::furious";"macbeth::wise"
"macbeth::furious";"macbeth::worthy"
"macbeth::kind";"macbeth::loyal"
"macbeth::kind";"macbeth::short"
"macbeth::kind";"macbeth::wise"
"macbeth::kind";"macbeth::worthy"
"macbeth::loyal";"macbeth::short"
"macbeth::loyal";"macbeth::wise"
"macbeth::loyal";"macbeth::worthy"
"macbeth::short";"macbeth::wise"
"macbeth::short";"macbeth::worthy"
"macbeth::wise";"macbeth::worthy"
"macbeth::agreeable";"macbeth::fair"
"macbeth::agreeable";"macbeth::friendly"
"macbeth::agreeable";"macbeth::good"
"macbeth::agreeable";"macbeth::little"
"macbeth::agreeable";"macbeth::short"
"macbeth::agreeable";"macbeth::wise"
"macbeth::fair";"macbeth::friendly"
"macbeth::fair";"macbeth::good"
"macbeth::fair";"macbeth::little"
"macbeth::fair";"macbeth::short"
"macbeth::fair";"macbeth::wise"
"macbeth::friendly";"macbeth::good"
"macbeth::friendly";"macbeth::little"
"macbeth::friendly";"macbeth::short"
"macbeth::friendly";"macbeth::wise"
"macbeth::good";"macbeth::little"
"macbeth::good";"macbeth::short"
"macbeth::good";"macbeth::wise"
"macbeth::little";"macbeth::short"
"macbeth::little";"macbeth::wise"
"martha::serious";"mrs_varden::serious"
"miggs::little";"miggs::short"
"miggs::great";"mrs_varden::great"
"martha::good-natured";"martha::natural"
"varden::afraid";"varden::glad"
"varden::little";"varden::old"
"tappertit::blind";"tappertit::great"
"tappertit::blind";"tappertit::kind"
"tappertit::great";"tappertit::kind"
"tappertit::brave";"tappertit::warm"
"curzon::gracious";"curzon::terrible"
"curzon::gracious";"tappertit::gracious"
"curzon::gracious";"tappertit::terrible"
"curzon::terrible";"tappertit::gracious"
"curzon::terrible";"tappertit::terrible"
"tappertit::gracious";"tappertit::terrible"
"joe::energetic";"joseph_willet::energetic"
"joe::energetic";"joseph::energetic"
"joseph_willet::energetic";"joseph::energetic"
"tappertit::great";"tappertit::little"
"miggs::remarkable";"tappertit::remarkable"
"john::great";"john::serious"
"barnaby::#-good";"barnaby::#-mean"
"barnaby::#-good";"barnaby::expressive"
"barnaby::#-good";"barnaby::fat"
"barnaby::#-good";"barnaby::natural"
"barnaby::#-good";"barnaby::trusted"
"barnaby::#-good";"john::#-good"
"barnaby::#-good";"john::#-mean"
"barnaby::#-good";"john::expressive"
"barnaby::#-good";"john::fat"
"barnaby::#-good";"john::natural"
"barnaby::#-good";"john::trusted"
"barnaby::#-mean";"barnaby::expressive"
"barnaby::#-mean";"barnaby::fat"
"barnaby::#-mean";"barnaby::natural"
"barnaby::#-mean";"barnaby::trusted"
"barnaby::#-mean";"john::#-good"
"barnaby::#-mean";"john::#-mean"
"barnaby::#-mean";"john::expressive"
"barnaby::#-mean";"john::fat"
"barnaby::#-mean";"john::natural"
"barnaby::#-mean";"john::trusted"
"barnaby::expressive";"barnaby::fat"
"barnaby::expressive";"barnaby::natural"
"barnaby::expressive";"barnaby::trusted"
"barnaby::expressive";"john::#-good"
"barnaby::expressive";"john::#-mean"
"barnaby::expressive";"john::expressive"
"barnaby::expressive";"john::fat"
"barnaby::expressive";"john::natural"
"barnaby::expressive";"john::trusted"
"barnaby::fat";"barnaby::natural"
"barnaby::fat";"barnaby::trusted"
"barnaby::fat";"john::#-good"
"barnaby::fat";"john::#-mean"
"barnaby::fat";"john::expressive"
"barnaby::fat";"john::fat"
"barnaby::fat";"john::natural"
"barnaby::fat";"john::trusted"
"barnaby::natural";"barnaby::trusted"
"barnaby::natural";"john::#-good"
"barnaby::natural";"john::#-mean"
"barnaby::natural";"john::expressive"
"barnaby::natural";"john::fat"
"barnaby::natural";"john::natural"
"barnaby::natural";"john::trusted"
"barnaby::trusted";"john::#-good"
"barnaby::trusted";"john::#-mean"
"barnaby::trusted";"john::expressive"
"barnaby::trusted";"john::fat"
"barnaby::trusted";"john::natural"
"barnaby::trusted";"john::trusted"
"john::#-good";"john::#-mean"
"john::#-good";"john::expressive"
"john::#-good";"john::fat"
"john::#-good";"john::natural"
"john::#-good";"john::trusted"
"john::#-mean";"john::expressive"
"john::#-mean";"john::fat"
"john::#-mean";"john::natural"
"john::#-mean";"john::trusted"
"john::expressive";"john::fat"
"john::expressive";"john::natural"
"john::expressive";"john::trusted"
"john::fat";"john::natural"
"john::fat";"john::trusted"
"john::natural";"john::trusted"
"barnaby::courteous";"john::courteous"
"barnaby::old";"john::old"
"barnaby::little";"john::little"
"barnaby::little";"mrs_rudge::little"
"john::little";"mrs_rudge::little"
"chester::little";"chester::pleasant"
"chester::little";"john::little"
"chester::little";"john::pleasant"
"chester::pleasant";"john::little"
"chester::pleasant";"john::pleasant"
"john::little";"john::pleasant"
"chester::bitter";"haredale::bitter"
"chester::bitter";"john::bitter"
"haredale::bitter";"john::bitter"
"chester::good";"chester::ridiculous"
"barnaby::hard";"barnaby::loving"
"barnaby::hard";"john::hard"
"barnaby::hard";"john::loving"
"barnaby::loving";"john::hard"
"barnaby::loving";"john::loving"
"john::hard";"john::loving"
"barnaby::fine";"barnaby::strong"
"barnaby::fine";"willet::fine"
"barnaby::fine";"willet::strong"
"barnaby::strong";"willet::fine"
"barnaby::strong";"willet::strong"
"willet::fine";"willet::strong"
"john::open";"john::opening"
"chester::interesting";"john::interesting"
"chester::interesting";"solomon_daisy::interesting"
"chester::interesting";"willet::interesting"
"john::interesting";"solomon_daisy::interesting"
"john::interesting";"willet::interesting"
"solomon_daisy::interesting";"willet::interesting"
"haredale::great";"john::great"
"haredale::determined";"haredale::great"
"haredale::determined";"haredale::warm"
"haredale::great";"haredale::warm"
"emma::good";"haredale::good"
"john_willet::great";"john_willet::old"
"john_willet::great";"john::great"
"john_willet::great";"john::old"
"john_willet::old";"john::great"
"john_willet::old";"john::old"
"john::great";"john::old"
"john_willet::great";"john_willet::involved"
"john_willet::great";"john_willet::smart"
"john_willet::great";"john::involved"
"john_willet::great";"john::smart"
"john_willet::involved";"john_willet::smart"
"john_willet::involved";"john::great"
"john_willet::involved";"john::involved"
"john_willet::involved";"john::smart"
"john_willet::smart";"john::great"
"john_willet::smart";"john::involved"
"john_willet::smart";"john::smart"
"john::great";"john::involved"
"john::great";"john::smart"
"john::involved";"john::smart"
"joe::important";"joe::little"
"joe::important";"joe::natural"
"joe::important";"joe::old"
"joe::important";"joe::unusual"
"joe::important";"joe::young"
"joe::little";"joe::natural"
"joe::little";"joe::old"
"joe::little";"joe::unusual"
"joe::little";"joe::young"
"joe::natural";"joe::old"
"joe::natural";"joe::unusual"
"joe::natural";"joe::young"
"joe::old";"joe::unusual"
"joe::old";"joe::young"
"joe::unusual";"joe::young"
"joe::exhausted";"willet::exhausted"
"joe::old";"joe::patient"
"dolly::poor";"gabriel::poor"
"dolly::poor";"joe::poor"
"gabriel::poor";"joe::poor"
"joe::glad";"mrs_varden::glad"
"martha::young";"mrs_varden::young"
"martha::young";"willet::young"
"mrs_varden::young";"willet::young"
"joe::sad";"joseph::sad"
"martha::great";"mrs_varden::great"
"varden::young";"willet::young"
"miggs::confident";"mrs_varden::confident"
"joseph::foolish";"varden::foolish"
"dolly::handsome";"dolly::little"
"joe::glad";"joe::open"
"joe::laughing";"joe::little"
"joe::laughing";"joe::open"
"joe::little";"joe::open"
"dolly::practical";"miggs::practical"
"miggs::cheerful";"mrs_varden::cheerful"
"joe::#-strong";"joe::glad"
"joe::#-strong";"joe::poor"
"joe::#-strong";"joe::short"
"joe::#-strong";"warren::#-strong"
"joe::#-strong";"warren::glad"
"joe::#-strong";"warren::poor"
"joe::#-strong";"warren::short"
"joe::glad";"joe::poor"
"joe::glad";"joe::short"
"joe::glad";"warren::#-strong"
"joe::glad";"warren::glad"
"joe::glad";"warren::poor"
"joe::glad";"warren::short"
"joe::poor";"joe::short"
"joe::poor";"warren::#-strong"
"joe::poor";"warren::glad"
"joe::poor";"warren::poor"
"joe::poor";"warren::short"
"joe::short";"warren::#-strong"
"joe::short";"warren::glad"
"joe::short";"warren::poor"
"joe::short";"warren::short"
"warren::#-strong";"warren::glad"
"warren::#-strong";"warren::poor"
"warren::#-strong";"warren::short"
"warren::glad";"warren::poor"
"warren::glad";"warren::short"
"warren::poor";"warren::short"
"edward::young";"haredale::young"
"haredale::corrupt";"haredale::well"
"haredale::generous";"haredale::trusting"
"haredale::generous";"haredale::weak"
"haredale::trusting";"haredale::weak"
"hugh::comfortable";"hugh::great"
"hugh::comfortable";"hugh::young"
"hugh::comfortable";"john::comfortable"
"hugh::comfortable";"john::great"
"hugh::comfortable";"john::young"
"hugh::great";"hugh::young"
"hugh::great";"john::comfortable"
"hugh::great";"john::great"
"hugh::great";"john::young"
"hugh::young";"john::comfortable"
"hugh::young";"john::great"
"hugh::young";"john::young"
"john::comfortable";"john::great"
"john::comfortable";"john::young"
"john::great";"john::young"
"chester::busy";"chester::lazy"
"chester::busy";"chester::lonely"
"chester::lazy";"chester::lonely"
"edward::plain";"ned::plain"
"edward::good";"ned::good"
"edward::great";"ned::great"
"fore_gad::cool";"ned::cool"
"haredale::compassionate";"haredale::kind"
"ned::ungraceful";"ned::well"
"barnaby::cruel";"barnaby::good"
"barnaby::open";"grip::open"
