"" "agatha::blind" "agatha::charming" "agatha::excellent" "agatha::gentle" "agatha::little" "agatha::lovely" "agatha::old" "agatha::rich" "agatha::sweet" "angelica::great" "ariosto::great" "clerval::feminine" "cornelius_agrippa::little" "cousin::kind" "de_lacey::good" "de_lacey::lovely" "de_lacey::old" "elizabeth::#-evil" "elizabeth::alone" "elizabeth::certain" "elizabeth::educated" "elizabeth::fair" "elizabeth::forward" "elizabeth::great" "elizabeth::happy" "elizabeth::interesting" "elizabeth::kind" "elizabeth::lively" "elizabeth::poor" "felix::beautiful" "felix::blind" "felix::cheerful" "felix::excellent" "felix::forward" "felix::lively" "felix::lovely" "felix::sweet" "henry::kind" "henry::terrible" "john_melbourne::pretty" "john_melbourne::young" "justine::busy" "justine::confident" "justine::great" "justine::innocent" "justine::kind" "justine::poor" "justine::respected" "kirwin::#-neglected" "kirwin::violent" "m._duvillard::rich" "m._krempe::great" "m._waldman::conceited" "mansfield::pretty" "margaret::strange" "mont_blanc::awful" "mont_blanc::noisy" "r._walton::affectionate" "robert_walton::affectionate" "safie::lively" "servox::#-beautiful" "uri::beautiful" "uri::great" "victor::beautiful" "victor::happy" "victor::poor" "william::laughing" "william::sweet" "felix::gentle" "de_lacey::gentle" "safie::lovely" "safie::old" "felix::rich" "safie::sweet" "elizabeth::feminine" "m._krempe::little" "de_lacey::respected" "de_lacey::terrible" "elizabeth::cheerful" "elizabeth::gentle" "elizabeth::little" "elizabeth::unhappy" "victor::lively" "ernest::interesting" "felix::capable" "felix::old" "william::kind" "matlock::terrible" "mansfield::young" "william::busy" "justine::excited" "william::poor" "william::respected" "kirwin::short" "kirwin::young" "manon::rich" "m._krempe::valuable" "m._waldman::little" "margaret::terrific" "montanvert::awful" "mont_blanc::short" "saville::affectionate" "servox::wonderful" "victor::great" "william::tall"
"agatha::blind" 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"agatha::charming" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"agatha::excellent" 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"agatha::gentle" 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"agatha::little" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"agatha::lovely" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"agatha::old" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"agatha::rich" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"agatha::sweet" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"angelica::great" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
