"","Words","count.present","Emma","Mansfield Park","Northanger Abbey","Persuasion","Pride and Prejudice","Sense and Sensibility"
"1","active",6,1,1,1,1,1,1
"2","amiable",6,1,1,1,1,1,1
"3","anxious",6,1,1,1,1,1,1
"4","awkward",6,1,1,1,1,1,1
"5","calm",6,1,1,1,1,1,1
"6","capable",6,1,1,1,1,1,1
"7","careless",6,1,1,1,1,1,1
"8","certain",6,1,1,1,1,1,1
"9","cheerful",6,1,1,1,1,1,1
"10","civil",6,1,1,1,1,1,1
"11","clever",6,1,1,1,1,1,1
"12","cold",6,1,1,1,1,1,1
"13","constant",6,1,1,1,1,1,1
"14","contrary",6,1,1,1,1,1,1
"15","cool",6,1,1,1,1,1,1
"16","cordial",6,1,1,1,1,1,1
"17","critical",6,1,1,1,1,1,1
"18","cruel",6,1,1,1,1,1,1
"19","curious",6,1,1,1,1,1,1
"20","deep",6,1,1,1,1,1,1
"21","direct",6,1,1,1,1,1,1
"22","distant",6,1,1,1,1,1,1
"23","eager",6,1,1,1,1,1,1
"24","earnest",6,1,1,1,1,1,1
"25","elegant",6,1,1,1,1,1,1
"26","exact",6,1,1,1,1,1,1
"27","fearful",6,1,1,1,1,1,1
"28","foolish",6,1,1,1,1,1,1
"29","friendly",6,1,1,1,1,1,1
"30","generous",6,1,1,1,1,1,1
"31","gentle",6,1,1,1,1,1,1
"32","gloomy",6,1,1,1,1,1,1
"33","hearty",6,1,1,1,1,1,1
"34","honest",6,1,1,1,1,1,1
"35","humble",6,1,1,1,1,1,1
"36","ignorant",6,1,1,1,1,1,1
"37","intimate",6,1,1,1,1,1,1
"38","jealous",6,1,1,1,1,1,1
"39","kind",6,1,1,1,1,1,1
"40","lively",6,1,1,1,1,1,1
"41","modest",6,1,1,1,1,1,1
"42","narrow",6,1,1,1,1,1,1
"43","natural",6,1,1,1,1,1,1
"44","pleasant",6,1,1,1,1,1,1
"45","proper",6,1,1,1,1,1,1
"46","proud",6,1,1,1,1,1,1
"47","quick",6,1,1,1,1,1,1
"48","quiet",6,1,1,1,1,1,1
"49","rational",6,1,1,1,1,1,1
"50","selfish",6,1,1,1,1,1,1
"51","serious",6,1,1,1,1,1,1
"52","severe",6,1,1,1,1,1,1
"53","silent",6,1,1,1,1,1,1
"54","simple",6,1,1,1,1,1,1
"55","sincere",6,1,1,1,1,1,1
"56","speedy",6,1,1,1,1,1,1
"57","steady",6,1,1,1,1,1,1
"58","thorough",6,1,1,1,1,1,1
"59","vain",6,1,1,1,1,1,1
"60","violent",6,1,1,1,1,1,1
"61","warm",6,1,1,1,1,1,1
"62","wild",6,1,1,1,1,1,1
"63","animated",5,1,1,0,1,1,1
"64","bitter",5,1,1,1,0,1,1
"65","bright",5,1,1,1,1,1,0
"66","careful",5,1,1,0,1,1,1
"67","cautious",5,1,1,0,1,1,1
"68","confused",5,1,1,1,0,1,1
"69","decisive",5,1,1,0,1,1,1
"70","dull",5,1,0,1,1,1,1
"71","faithful",5,1,1,1,0,1,1
"72","formal",5,1,1,0,1,1,1
"73","genteel",5,1,1,1,0,1,1
"74","graceful",5,1,1,1,1,0,1
"75","gracious",5,1,1,1,0,1,1
"76","hasty",5,1,1,0,1,1,1
"77","loud",5,1,1,1,0,1,1
"78","moderate",5,1,1,1,0,1,1
"79","musical",5,1,1,0,1,1,1
"80","negative",5,1,1,0,1,1,1
"81","nervous",5,1,1,0,1,1,1
"82","original",5,1,1,1,1,1,0
"83","polite",5,1,0,1,1,1,1
"84","prudent",5,1,1,0,1,1,1
"85","rude",5,1,1,1,0,1,1
"86","smart",5,0,1,1,1,1,1
"87","social",5,1,1,1,1,1,0
"88","solemn",5,1,1,1,0,1,1
"89","strict",5,1,1,1,1,0,1
"90","unkind",5,1,1,1,1,0,1
"91","wise",5,1,0,1,1,1,1
"92","worldly",5,0,1,1,1,1,1
"93","bold",4,0,1,1,1,0,1
"94","candid",4,0,1,1,0,1,1
"95","coarse",4,0,1,1,1,1,0
"96","concise",4,1,1,0,0,1,1
"97","cunning",4,0,1,0,1,1,1
"98","firm",4,1,0,1,0,1,1
"99","gallant",4,1,0,1,1,1,0
"100","impudent",4,1,1,1,0,1,0
"101","languid",4,1,1,1,0,0,1
"102","loving",4,0,1,1,1,0,1
"103","maternal",4,0,1,1,0,1,1
"104","merry",4,1,1,0,0,1,1
"105","mild",4,1,1,1,1,0,0
