"","Words","count.present","Emma","Mansfield Park","Northanger Abbey","Persuasion","Pride and Prejudice","Sense and Sensibility"
"149","chitchat",0,0,0,0,0,0,0
"150","chivalro",0,0,0,0,0,0,0
"151","choosy",0,0,0,0,0,0,0
"152","circumsp",0,0,0,0,0,0,0
"153","civil",6,1,1,1,1,1,1
"154","civilize",0,0,0,0,0,0,0
"155","clairvoy",0,0,0,0,0,0,0
"156","clannish",0,0,0,0,0,0,0
"157","clearcut",0,0,0,0,0,0,0
"158","clearhea",0,0,0,0,0,0,0
"159","clearsig",0,0,0,0,0,0,0
"160","clearthi",0,0,0,0,0,0,0
"161","clever",6,1,1,1,1,1,1
"162","clingy",0,0,0,0,0,0,0
"163","cliquish",0,0,0,0,0,0,0
"164","closedmi",0,0,0,0,0,0,0
"165","closefis",0,0,0,0,0,0,0
"166","closemou",0,0,0,0,0,0,0
"167","clownish",1,1,0,0,0,0,0
"168","clumsy",1,0,0,0,1,0,0
"169","coarse",4,0,1,1,1,1,0
"170","cocky",0,0,0,0,0,0,0
"171","coercive",0,0,0,0,0,0,0
"172","coherent",1,0,0,0,0,1,0
"173","cold",6,1,1,1,1,1,1
"174","coldhear",0,0,0,0,0,0,0
"175","combativ",0,0,0,0,0,0,0
"176","communic",0,0,0,0,0,0,0
"177","companio",0,0,0,0,0,0,0
"178","compassl",0,0,0,0,0,0,0
"179","compasst",0,0,0,0,0,0,0
"180","competit",0,0,0,0,0,0,0
"181","complace",0,0,0,0,0,0,0
"182","complain",0,0,0,0,0,0,0
"183","complais",0,0,0,0,0,0,0
"184","complex",0,0,0,0,0,0,0
"185","complian",0,0,0,0,0,0,0
"186","complica",0,0,0,0,0,0,0
"187","complime",0,0,0,0,0,0,0
"188","compulsi",0,0,0,0,0,0,0
"189","comradel",0,0,0,0,0,0,0
"190","conceite",0,0,0,0,0,0,0
"191","conceitl",0,0,0,0,0,0,0
"192","concilia",0,0,0,0,0,0,0
"193","concise",4,1,1,0,0,1,1
"194","condesce",0,0,0,0,0,0,0
"195","confiden",0,0,0,0,0,0,0
"196","confusab",0,0,0,0,0,0,0
"197","confused",5,1,1,1,0,1,1
"198","congenia",0,0,0,0,0,0,0
"199","consciel",0,0,0,0,0,0,0
"200","consciet",0,0,0,0,0,0,0
"201","conserva",0,0,0,0,0,0,0
"202","consider",0,0,0,0,0,0,0
"203","consiste",0,0,0,0,0,0,0
"204","consolat",0,0,0,0,0,0,0
"205","constant",6,1,1,1,1,1,1
"206","constrai",0,0,0,0,0,0,0
"207","construc",0,0,0,0,0,0,0
"208","contempl",0,0,0,0,0,0,0
"209","contente",0,0,0,0,0,0,0
"210","contrads",0,0,0,0,0,0,0
"211","contrady",0,0,0,0,0,0,0
"212","contrarm",0,0,0,0,0,0,0
"213","contrary",6,1,1,1,1,1,1
"214","controll",0,0,0,0,0,0,0
"215","conventi",0,0,0,0,0,0,0
"216","conversa",0,0,0,0,0,0,0
"217","cool",6,1,1,1,1,1,1
"218","coolhead",0,0,0,0,0,0,0
"219","cooperat",0,0,0,0,0,0,0
"220","cordial",6,1,1,1,1,1,1
"221","correcti",0,0,0,0,0,0,0
"222","cosmopol",0,0,0,0,0,0,0
"223","counsela",0,0,0,0,0,0,0
"224","courageo",0,0,0,0,0,0,0
"225","courteou",0,0,0,0,0,0,0
"226","courtly",0,0,0,0,0,0,0
"227","covetous",0,0,0,0,0,0,0
"228","cowardly",1,0,0,1,0,0,0
"229","coy",0,0,0,0,0,0,0
"230","crabby",0,0,0,0,0,0,0
"231","crafty",0,0,0,0,0,0,0
"232","cranky",0,0,0,0,0,0,0
"233","creative",1,0,0,0,0,1,0
"234","credulou",0,0,0,0,0,0,0
"235","critical",6,1,1,1,1,1,1
"236","crotchet",0,0,0,0,0,0,0
"237","cruel",6,1,1,1,1,1,1
"238","crusadin",0,0,0,0,0,0,0
"239","cultivat",0,0,0,0,0,0,0
"240","cultured",0,0,0,0,0,0,0
"241","cunning",4,0,1,0,1,1,1
"242","curious",6,1,1,1,1,1,1
"243","curt",0,0,0,0,0,0,0
"244","cynical",0,0,0,0,0,0,0
"245","dainty",0,0,0,0,0,0,0
"246","dapper",0,0,0,0,0,0,0
"247","daring",3,1,1,0,0,1,0
"248","dauntles",0,0,0,0,0,0,0
"249","debonair",0,0,0,0,0,0,0
"250","deceitfu",0,0,0,0,0,0,0
"251","deceivab",0,0,0,0,0,0,0
"252","deceptiv",0,0,0,0,0,0,0
"253","decisive",5,1,1,0,1,1,1
"254","dedicate",0,0,0,0,0,0,0
"255","deep",6,1,1,1,1,1,1
"256","defensiv",0,0,0,0,0,0,0
"257","defiant",0,0,0,0,0,0,0
"258","definite",0,0,0,0,0,0,0
"259","delibera",0,0,0,0,0,0,0
"260","deliberv",0,0,0,0,0,0,0
"261","demandin",0,0,0,0,0,0,0
"262","democrat",0,0,0,0,0,0,0
"263","demonstr",0,0,0,0,0,0,0
"264","demure",3,1,1,0,0,0,1
"265","dependab",0,0,0,0,0,0,0
"266","dependen",0,0,0,0,0,0,0
"267","derisive",0,0,0,0,0,0,0
"268","derogato",0,0,0,0,0,0,0
"269","designfu",0,0,0,0,0,0,0
"270","desponde",0,0,0,0,0,0,0
"271","destruct",0,0,0,0,0,0,0
"272","detached",0,0,0,0,0,0,0
"273","determin",0,0,0,0,0,0,0
"274","devilish",1,0,0,1,0,0,0
"275","devilmay",0,0,0,0,0,0,0
"276","devious",0,0,0,0,0,0,0
"277","devout",0,0,0,0,0,0,0
"278","dictator",0,0,0,0,0,0,0
"279","dignifie",0,0,0,0,0,0,0
"280","digressi",0,0,0,0,0,0,0
"281","diligent",0,0,0,0,0,0,0
"282","diplomat",0,0,0,0,0,0,0
"283","direct",6,1,1,1,1,1,1
"284","discerni",0,0,0,0,0,0,0
"285","discoura",0,0,0,0,0,0,0
"286","discourt",0,0,0,0,0,0,0
"287","discreet",3,1,1,0,1,0,0
"288","discrimi",0,0,0,0,0,0,0
"289","disdainf",0,0,0,0,0,0,0
"290","disguisl",0,0,0,0,0,0,0
"291","dishones",0,0,0,0,0,0,0
"292","disoblig",0,0,0,0,0,0,0
"293","disorder",0,0,0,0,0,0,0
"294","disorgan",0,0,0,0,0,0,0
"295","dispassi",0,0,0,0,0,0,0
"296","disregar",0,0,0,0,0,0,0
"297","disrespe",0,0,0,0,0,0,0
"298","disrupti",0,0,0,0,0,0,0
"299","dissatis",0,0,0,0,0,0,0
"300","dissensu",0,0,0,0,0,0,0
"301","dissocia",0,0,0,0,0,0,0
"302","distant",6,1,1,1,1,1,1
"303","distract",0,0,0,0,0,0,0
"304","distrust",0,0,0,0,0,0,0
"305","divertib",0,0,0,0,0,0,0
"306","docile",0,0,0,0,0,0,0
"307","doctrina",0,0,0,0,0,0,0
"308","dogged",0,0,0,0,0,0,0
"309","dogmatic",0,0,0,0,0,0,0
"310","doleful",2,1,0,0,0,1,0
"311","dominant",0,0,0,0,0,0,0
"312","domineer",0,0,0,0,0,0,0
"313","doublefa",0,0,0,0,0,0,0
"314","doubleto",0,0,0,0,0,0,0
"315","downtoea",0,0,0,0,0,0,0
"316","dreamy",0,0,0,0,0,0,0
"317","dull",5,1,0,1,1,1,1
"318","dullwitt",0,0,0,0,0,0,0
"319","durable",3,1,1,0,1,0,0
"320","dutiful",2,1,0,0,1,0,0
"321","dynamic",0,0,0,0,0,0,0
"322","eager",6,1,1,1,1,1,1
"323","eagleeye",0,0,0,0,0,0,0
"324","earnest",6,1,1,1,1,1,1
"325","earthlym",0,0,0,0,0,0,0
"326","earthlyw",0,0,0,0,0,0,0
"327","earthy",0,0,0,0,0,0,0
"328","easeless",0,0,0,0,0,0,0
"329","easygoin",0,0,0,0,0,0,0
"330","economic",0,0,0,0,0,0,0
"331","educable",0,0,0,0,0,0,0
"332","educated",0,0,0,0,0,0,0
"333","effemina",0,0,0,0,0,0,0
"334","efferves",0,0,0,0,0,0,0
"335","efficien",0,0,0,0,0,0,0
"336","egocentr",0,0,0,0,0,0,0
"337","egotisti",0,0,0,0,0,0,0
"338","elegant",6,1,1,1,1,1,1
"339","elfish",0,0,0,0,0,0,0
"340","eloquent",3,0,1,0,1,1,0
"341","elusive",0,0,0,0,0,0,0
"342","embitter",0,0,0,0,0,0,0
"343","emotiona",0,0,0,0,0,0,0
"344","emotionl",0,0,0,0,0,0,0
"345","empathic",0,0,0,0,0,0,0
"346","emphatic",1,0,0,0,0,1,0
"347","encyclop",0,0,0,0,0,0,0
"348","energeti",0,0,0,0,0,0,0
"349","enlighte",0,0,0,0,0,0,0
"350","enterpri",0,0,0,0,0,0,0
"351","enthusia",0,0,0,0,0,0,0
"352","envious",1,1,0,0,0,0,0
"353","equalita",0,0,0,0,0,0,0
"354","erratic",0,0,0,0,0,0,0
"355","ethical",0,0,0,0,0,0,0
"356","evangeli",0,0,0,0,0,0,0
"357","evasive",0,0,0,0,0,0,0
"358","exact",6,1,1,1,1,1,1
"359","exacting",0,0,0,0,0,0,0
"360","exaggera",0,0,0,0,0,0,0
"361","excessiv",0,0,0,0,0,0,0
"362","excitabl",0,0,0,0,0,0,0
"363","exclusiv",0,0,0,0,0,0,0
"364","exhaustb",0,0,0,0,0,0,0
"365","exhaustv",0,0,0,0,0,0,0
"366","exhibiti",0,0,0,0,0,0,0
"367","expansiv",0,0,0,0,0,0,0
"368","explicit",3,0,0,1,1,1,0
"369","exploita",0,0,0,0,0,0,0
"370","explosiv",0,0,0,0,0,0,0
"371","expressi",0,0,0,0,0,0,0
"372","extravag",0,0,0,0,0,0,0
"373","extrover",0,0,0,0,0,0,0
"374","facetiou",0,0,0,0,0,0,0
"375","factious",0,0,0,0,0,0,0
"376","fainthea",0,0,0,0,0,0,0
"377","fairmind",0,0,0,0,0,0,0
"378","fairnatu",0,0,0,0,0,0,0
"379","faithful",5,1,1,1,0,1,1
"380","falsehea",0,0,0,0,0,0,0
"381","fanatica",0,0,0,0,0,0,0
"382","fanciful",3,1,1,0,0,0,1
"383","fancyfre",0,0,0,0,0,0,0
"384","farseein",0,0,0,0,0,0,0
"385","fastidio",0,0,0,0,0,0,0
"386","fatalist",0,0,0,0,0,0,0
"387","fatiguel",0,0,0,0,0,0,0
"388","faultfin",0,0,0,0,0,0,0
"389","fearful",6,1,1,1,1,1,1
"390","fearless",3,1,1,0,1,0,0
"391","feelingf",0,0,0,0,0,0,0
"392","feelingl",0,0,0,0,0,0,0
"393","feminine",3,1,1,0,0,0,1
"394","fervent",2,0,1,0,0,0,1
"395","fickle",2,0,0,1,0,0,1
