"accessible" "accomplished" "accurate" "active" "affable" "affectionate" "agreeable" "amiable" "anxious" "audacious" "bashful" "benevolent" "bitter" "bold" "brave" "bright" "brisk" "calm" "capable" "careful" "careless" "cautious" "certain" "cheerful" "civil" "clever" "clumsy" "coarse" "cold" "complimentary" "confident" "confused" "considerate" "constant" "conventional" "conversational" "cool" "cordial" "cruel" "curious" "deep" "deliberate" "dependent" "despondent" "determined" "direct" "dissatisfied" "distant" "doleful" "dull" "eager" "earnest" "elegant" "emphatic" "exact" "expressive" "faithful" "fearful" "fierce" "firm" "foolish" "frank" "friendly" "gallant" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "hasty" "haughty" "hearty" "honest" "humble" "ignorant" "immovable" "impartial" "impatient" "independent" "indifferent" "ingenious" "insolent" "intimate" "irresolute" "jealous" "kind" "lively" "loud" "lucid" "magnanimous" "maternal" "methodical" "mild" "modest" "moral" "musical" "narrow" "natural" "negative" "obliging" "observant" "original" "particular" "passionate" "patient" "peaceful" "pious" "placid" "pleasant" "polished" "polite" "political" "practical" "precise" "prejudiced" "profound" "proper" "proud" "prudent" "quick" "quiet" "reasonable" "refined" "resentful" "reserved" "responsible" "rigid" "rough" "rugged" "selfish" "sensitive" "sentimental" "serene" "serious" "severe" "shallow" "shrewd" "shy" "silent" "simple" "slow" "social" "solemn" "solicitous" "spirited" "steady" "stern" "strict" "submissive" "sullen" "tender" "thorough" "thoughtful" "tight" "timid" "tough" "transparent" "treacherous" "unkind" "unreasonable" "vague" "vain" "vigorous" "violent" "warm" "wild" "wise" "worldly" "womanly" "suspicious" "wishful"
"accessible" 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 3 2 0 0 0 0 2 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 2 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 4 2 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"accomplished" 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 1 2 0 1 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"accurate" 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0
"active" 0 0 1 0 0 0 1 1 1 0 0 0 0 1 1 0 0 1 0 0 1 0 3 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 2 1 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 1 2 0 0 2 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 2 4 0 1 0 0 1 0 0 1 1 1 0 0 0 2 0 0 0 3 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 1 1 0 0 1 0
"affable" 1 0 0 0 0 1 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 3 1 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 2 0 0 0 0 1 0 1 0 2 1 0 0 1 1 0 0 0 1 1 0 0 1 0 0 1 0 1 0 0 1 3 0 0 0 0 0 0 1 2 1 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 0 0 0 2 2 0 2 1 0 0 0 0 1 0 1 0 0 1 0 0 0 1 1 0 0 0 0 1 0 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0
"affectionate" 0 1 0 0 1 0 1 1 1 1 0 0 0 0 0 2 0 0 0 3 1 0 4 2 0 0 0 0 1 0 1 0 1 2 0 1 1 1 2 2 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 3 1 2 0 2 0 1 1 1 0 0 1 0 1 0 0 2 0 2 1 2 1 0 0 2 0 0 1 1 0 1 1 1 2 0 0 5 0 0 1 1 3 1 1 1 0 0 4 0 1 0 1 2 1 0 0 5 0 2 3 3 0 0 0 0 0 2 0 0 0 0 0 3 0 1 1 0 0 1 3 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 2 1 0 0 2 1 0 0 0 0
"agreeable" 0 1 1 1 1 1 0 1 3 0 1 3 0 1 0 3 0 0 0 1 2 1 8 1 2 6 1 0 1 0 0 0 3 3 0 1 0 1 1 3 1 1 0 0 1 1 1 2 0 3 2 3 1 0 1 4 2 1 1 1 0 2 6 0 2 1 2 2 1 3 1 0 0 3 3 1 0 0 2 1 0 0 1 0 1 0 4 1 1 1 0 1 0 0 1 0 1 1 6 1 0 0 2 4 0 1 0 1 0 5 0 3 2 3 2 0 1 4 6 0 6 7 0 0 0 0 0 3 1 1 1 1 0 1 1 2 1 0 2 3 2 4 1 1 1 2 0 3 0 0 0 0 0 2 3 0 0 0 0 1 1 0 1 0 0 3 1 3 1 1 0 1
"amiable" 0 0 0 1 0 1 1 0 3 1 0 1 0 3 1 1 0 1 0 1 2 0 7 0 0 0 0 0 2 0 0 0 1 2 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 1 0 0 1 1 0 2 1 2 0 1 1 0 0 0 1 0 0 1 0 1 0 0 0 3 0 2 0 2 1 2 0 0 0 0 1 0 2 0 2 1 0 0 0 0 2 2 0 1 0 0 2 2 0 0 1 0 0 1 1 1 1 1 2 1 0 0 1 0 1 0 0 1 0 0 1 1 1 0 0 1 1 0 0 0 0 0 0 2 1 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 2 1 0 0 0 1
"anxious" 1 1 0 1 1 1 3 3 0 0 0 1 0 1 1 6 1 1 2 3 1 1 4 1 1 0 0 0 3 0 1 0 2 4 0 0 0 1 3 2 0 0 0 0 2 0 1 4 1 2 1 2 1 2 0 5 3 3 0 0 1 0 1 1 2 2 4 1 2 2 1 0 0 5 1 3 1 0 2 0 0 0 1 0 1 2 6 0 2 0 0 0 2 3 0 2 0 3 3 2 0 0 2 3 0 2 0 0 2 6 0 1 0 0 1 0 2 5 8 0 1 12 1 2 2 1 1 0 0 0 2 0 1 0 1 0 0 0 3 6 0 1 1 0 0 2 0 0 0 1 1 1 0 1 3 4 0 0 0 0 1 1 1 0 3 0 1 1 0 0 0 0
"audacious" 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0
