"abrupt" "active" "affected" "affectionate" "agreeable" "amiable" "anxious" "awkward" "bashful" "benevolent" "bitter" "bold" "boyish" "brave" "bright" "brisk" "calm" "capable" "capricious" "careful" "careless" "certain" "cheerful" "childish" "civil" "clever" "cold" "compassionate" "complacent" "conciliatory" "confident" "confused" "considerate" "constant" "contrary" "cool" "cordial" "cruel" "curious" "deep" "demonstrative" "determined" "distant" "dreamy" "dull" "eager" "earnest" "exact" "expressive" "faithful" "fearful" "fervent" "fierce" "fiery" "firm" "foolish" "formal" "friendly" "gallant" "generous" "genteel" "gentle" "girlish" "gloomy" "graceful" "gracious" "harsh" "hasty" "haughty" "hearty" "honest" "humble" "ignorant" "immovable" "impatient" "impetuous" "indifferent" "inexperienced" "ingenious" "intimate" "jealous" "kind" "lazy" "lively" "loud" "loving" "masculine" "meek" "mercenary" "merry" "mild" "modest" "moral" "narrow" "natural" "nervous" "observant" "orderly" "original" "particular" "passionate" "patient" "peaceful" "pious" "placid" "pleasant" "pliant" "polished" "polite" "practical" "profound" "proper" "prophetic" "proud" "prudent" "punctual" "quick" "quiet" "reasonable" "rebellious" "reliant" "religious" "reproachful" "respectful" "restless" "rigid" "rough" "rude" "rugged" "selfish" "sensitive" "serene" "serious" "severe" "shy" "silent" "simple" "sincere" "slow" "solemn" "spirited" "stable" "steady" "stern" "stormy" "strict" "submissive" "sullen" "sunny" "suspicious" "systematic" "tender" "thoughtful" "thoughtless" "tight" "timid" "unaffected" "undisciplined" "unreasonable" "vague" "vain" "violent" "warm" "wild" "vigorous" "wise" "worldly"
"abrupt" 0 0 0 1 0 0 1 0 0 0 0 1 0 1 2 0 1 0 0 0 0 1 1 0 0 0 2 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 3 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"active" 0 0 1 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 1 0 2 1 1 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 2 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0
"affected" 0 1 0 0 0 0 1 0 2 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 2 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 2 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 4 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 0
"affectionate" 1 0 0 0 5 2 1 0 0 1 0 1 1 3 3 0 2 1 1 1 0 6 3 2 0 2 1 1 0 0 1 1 1 0 0 1 1 3 1 4 0 2 1 0 3 0 5 0 0 0 1 1 0 0 2 2 0 1 0 1 1 6 2 1 0 1 1 0 0 0 1 1 0 0 0 0 1 3 0 0 1 5 1 0 0 1 1 1 0 1 1 1 0 0 4 0 1 0 2 3 0 1 0 0 1 2 1 0 1 1 3 0 1 1 1 1 1 9 2 0 0 1 2 0 3 0 2 0 0 1 0 1 5 2 1 5 0 0 2 1 1 0 1 1 1 0 1 0 0 0 0 1 1 0 1 1 1 2 1 1 0 0 1 1 0 0 0
"agreeable" 0 0 0 5 0 2 3 0 0 0 1 1 0 1 5 1 2 0 0 1 2 8 4 4 0 0 5 1 0 1 1 1 0 0 2 2 0 5 1 3 1 1 6 0 1 1 1 0 1 0 1 0 0 3 1 3 0 6 1 1 1 3 1 2 1 2 0 1 0 1 3 1 0 1 0 1 0 1 1 0 3 6 0 1 0 1 0 0 0 0 0 0 0 2 13 2 1 0 0 5 1 1 0 0 2 7 2 0 3 3 2 1 0 2 3 0 2 7 2 0 1 1 2 1 2 2 0 1 0 4 1 0 4 1 1 3 0 1 2 1 1 0 1 2 0 0 0 0 0 0 0 2 4 2 2 1 2 0 0 0 1 0 2 0 0 1 2
"amiable" 0 0 0 2 2 0 2 0 0 0 0 1 0 0 2 0 1 0 1 1 0 0 2 1 0 0 1 0 1 0 0 0 0 0 0 0 0 3 1 0 0 0 2 0 1 0 1 0 1 0 0 2 0 1 0 0 0 3 1 0 1 1 1 0 1 2 0 0 0 1 2 0 0 0 0 0 1 0 0 0 1 3 0 1 1 0 1 0 0 1 3 0 0 1 4 1 0 0 2 2 0 1 0 0 2 2 0 1 0 1 1 1 0 1 0 0 0 4 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 1 0 5 2 1 0 0 0 1 1 0 0 0 1 0 0 0 0 1 1 1 0 1 0 0 0 0 0 1 0 1 0 1 1
"anxious" 1 2 1 1 3 2 0 0 1 0 1 4 0 1 3 0 4 2 0 2 1 9 2 4 1 0 6 1 1 0 0 1 0 1 2 1 0 2 4 3 0 0 1 0 5 0 2 0 2 1 1 0 0 0 1 4 1 2 0 2 4 4 0 1 1 3 1 0 0 0 2 2 0 0 3 0 1 0 0 0 1 3 0 2 1 1 1 0 1 3 1 2 0 0 4 0 0 0 0 4 1 2 1 1 0 5 0 0 0 2 1 0 0 1 0 0 2 4 0 0 2 0 1 0 1 0 1 0 0 0 1 1 3 0 1 4 2 1 1 0 1 0 1 0 0 2 0 0 0 0 0 2 5 2 0 0 1 0 1 1 0 3 3 6 1 1 1
"awkward" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0
"bashful" 0 1 2 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 1 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 2 2 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0
"benevolent" 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 2 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 1 0 0 0 0 1 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
