"abrupt" "abstract" "active" "affectionate" "agreeable" "amiable" "anxious" "awkward" "bitter" "bland" "blunt" "boisterous" "bold" "bright" "calm" "capable" "careful" "careless" "cautious" "certain" "cheerful" "childish" "civil" "clever" "coarse" "cold" "communicative" "companionable" "compassionate" "complimentary" "confused" "congenial" "considerate" "consistent" "constant" "contented" "cool" "cruel" "cunning" "curious" "dainty" "deep" "despondent" "devilish" "distant" "distrustful" "dull" "eager" "earnest" "envious" "exact" "excessive" "expressive" "facetious" "faithful" "fearful" "fervent" "fierce" "fiery" "foolish" "formal" "friendly" "gallant" "generous" "genteel" "gentle" "glib" "gloomy" "graceful" "gracious" "gruff" "harsh" "hasty" "hearty" "honest" "humble" "humorous" "impatient" "imperturbable" "impetuous" "indefinite" "independent" "indifferent" "ingenious" "intimate" "intricate" "jealous" "jovial" "kind" "lazy" "loud" "malicious" "manly" "merciful" "merry" "mild" "moderate" "modest" "moody" "moral" "musical" "narrow" "natural" "negative" "noisy" "obliging" "original" "particular" "patient" "peaceful" "pensive" "placid" "pleasant" "polite" "practical" "profound" "proper" "proud" "prudent" "quick" "quiet" "responsible" "restless" "rough" "rude" "rugged" "selfish" "sensitive" "sentimental" "serene" "serious" "shrewd" "silent" "simple" "sincere" "slow" "sluggish" "smart" "social" "solemn" "spirited" "stable" "steady" "stern" "strict" "submissive" "sunny" "suspicious" "tender" "thoughtful" "thoughtless" "tight" "timid" "treacherous" "uncouth" "unmindful" "vague" "vain" "vigorous" "violent" "vocal" "warm" "wild" "wise"
"abrupt" 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 1 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 3 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 3 0 0 0 0 2 0 0 1 0 1 0 1 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 3 1 1
"abstract" 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 1 0
"active" 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 1 0 0 0 0 2 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 2 0 2 0 0 2 0 0 1 1 0 0 0 1 0 0 1 0 0 1 0 2 0 1 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 2 2 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 2 1 0 0 0 1 0 3 1 0 1 1 0 0 0 0 2 0 1 0 0 0 0 0 1 0 1 0 0 1 1 0
"affectionate" 0 0 0 0 0 1 0 0 1 0 0 1 1 1 0 0 1 1 0 4 2 0 1 1 0 1 1 0 0 1 0 0 1 0 0 0 1 3 0 1 0 1 0 2 2 1 2 0 2 0 2 0 0 0 2 1 0 0 0 1 1 1 0 1 1 3 0 1 2 0 0 0 1 1 4 3 0 0 0 0 0 1 0 1 1 0 0 0 5 0 1 0 0 0 0 2 0 1 0 4 0 0 3 1 4 0 1 3 0 1 0 1 2 0 0 1 1 1 1 3 5 0 0 0 2 0 0 0 0 0 0 0 3 1 2 1 0 0 2 1 1 0 1 0 0 0 0 0 1 3 0 0 2 1 2 2 1 0 0 0 0 1 3 0
"agreeable" 0 1 0 0 0 0 5 0 1 0 0 1 0 2 1 0 2 0 0 6 4 0 1 0 0 4 1 1 0 1 2 0 0 0 0 0 1 0 2 1 0 5 0 0 1 1 2 0 1 1 0 1 0 0 0 0 0 0 0 1 0 2 0 1 0 1 0 0 0 0 0 0 2 2 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 0 1 0 0 0 1 0 0 2 1 1 1 1 4 0 1 2 5 6 0 0 0 1 5 1 2 3 3 0 0 0 1 1 2 1 0 1 0 1 1 1 1 0 0 0 1 1 1 3 1 0 0 0 0 0 0 0 0 1 0 1 0 4 1 0 1 0 2 0 0 1 2 1 3 1
"amiable" 1 0 0 1 0 0 0 0 1 0 0 2 1 1 0 0 1 0 0 0 1 0 0 1 0 3 0 0 0 1 0 0 0 1 1 1 0 1 0 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 1 2 0 1 1 0 0 1 0 1 0 0 0 2 1 0 0 1 0 0 0 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 1 0 1 1 2 0 0 0 0 0 0 0 0 0 1 1 0 0 0 2 1 0 1 0 0 0 1 0 0 3 0 1 3 1 0 0 0 0 0 1 0 1 0 1 0 3 0 1
"anxious" 1 0 0 0 5 0 0 1 0 0 0 2 0 8 3 1 3 0 0 3 2 1 1 1 0 9 1 2 1 0 0 1 0 1 1 0 3 2 1 4 0 6 1 0 4 0 4 4 4 0 0 1 0 1 2 0 1 1 0 2 0 3 0 0 0 5 0 4 0 0 0 0 4 2 1 3 0 2 0 0 0 0 1 0 0 2 0 0 6 1 3 0 0 0 1 2 0 2 0 0 0 0 4 0 3 1 2 6 1 1 1 2 4 0 1 4 2 1 1 2 6 0 6 1 0 1 1 1 1 1 1 1 8 4 0 6 0 2 0 0 0 0 0 0 0 0 0 2 1 3 0 1 3 0 2 0 1 0 0 2 1 4 6 2
"awkward" 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0
"bitter" 0 1 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 1 1 3 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 3 1 0 0 1 0 0 0 0 1 1 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 2 2 0 1 1 0 1 0 0 0 1 1 0 0 0 0 0 0 1 1 1 1 1 0 0 2 1 0 0 1 1 0 0 0 0 1 1 1 0 0 1 0 1 0 0 0 0 0 0 2 1 0
"bland" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0
