"abrupt" "abstract" "active" "affable" "affected" "affectionate" "agreeable" "aloof" "amiable" "anxious" "awkward" "bitter" "boisterous" "bold" "brave" "bright" "brisk" "brutal" "calm" "candid" "capricious" "careful" "careless" "cautious" "certain" "cheerful" "childish" "civil" "clumsy" "coarse" "cold" "complimentary" "conciliatory" "confident" "confused" "conscientious" "consistent" "constant" "conventional" "cool" "courteous" "credulous" "cruel" "cunning" "curious" "dainty" "daring" "deep" "definite" "despondent" "determined" "dignified" "direct" "disorderly" "disrespectful" "distant" "distrustful" "dull" "eager" "earnest" "elegant" "exact" "excessive" "expressive" "faithful" "fearful" "fickle" "fierce" "fiery" "firm" "foolish" "forcible" "forgetful" "frank" "friendly" "frugal" "gallant" "generous" "genial" "genteel" "gentle" "gloomy" "graceful" "gracious" "gruff" "harsh" "hasty" "haughty" "headlong" "hearty" "honest" "hospitable" "humble" "ignorant" "impatient" "inconstant" "indifferent" "ingenious" "ingenuous" "intense" "intimate" "irreligious" "irresolute" "jaunty" "jovial" "kind" "lavish" "lazy" "lifeless" "lively" "loud" "loving" "loyal" "malicious" "manly" "meek" "merry" "mild" "modest" "moral" "musical" "narrow" "natural" "nervous" "noisy" "original" "particular" "patient" "peaceful" "philosophical" "pious" "placid" "pleasant" "polished" "political" "practical" "precise" "profound" "proper" "proud" "prudent" "quick" "quiet" "reasonable" "reckless" "religious" "restless" "rigid" "roguish" "rough" "rude" "scornful" "sensitive" "serious" "severe" "silent" "simple" "sincere" "slow" "smart" "social" "solemn" "sparkling" "stable" "steady" "stern" "strict" "sullen" "sunny" "surly" "suspicious" "talkative" "temperate" "tender" "thorough" "thoughtful" "tight" "timid" "uncouth" "unkind" "vague" "vain" "violent" "warm" "whimsical" "wild" "wise" "worldly"
"abrupt" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 2 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0
"abstract" 0 0 0 0 0 0 2 0 1 1 0 1 0 1 0 0 0 0 1 0 1 0 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 1 1 0 0 1 1 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0
"active" 0 0 0 0 0 0 0 1 0 0 0 0 2 3 1 6 2 0 0 0 0 2 1 0 4 2 0 0 0 0 3 1 0 0 0 0 0 1 0 3 1 1 2 1 1 0 1 1 0 0 0 0 0 1 0 2 1 4 3 0 0 0 1 1 1 1 0 2 1 0 0 0 1 0 0 0 1 0 1 0 1 3 0 1 0 0 4 0 1 1 1 0 2 1 0 0 2 0 0 1 0 0 0 0 0 0 0 1 1 1 3 0 0 1 0 0 1 1 0 2 2 1 1 0 1 0 2 0 0 0 2 0 1 1 0 0 0 0 2 1 1 4 3 1 1 0 0 0 0 2 0 0 1 1 0 3 0 0 0 0 0 2 0 3 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 1 3 2 3 0 0 2 1
"affable" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 2 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0
"affected" 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 2 1 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 4 0 1 0 0 0 0 0 2 0 2 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 0 1 0 1 1 0 0 0 1 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 1 0 0 0 0 0 0 0 2 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 3 1 0 1 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"affectionate" 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 2 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 0 0 2 1 1 0 0 0 0 1 0 0 1 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"agreeable" 0 2 0 0 0 0 0 0 0 2 0 1 0 2 1 4 0 0 0 0 1 1 1 1 7 7 0 1 1 0 5 1 0 0 1 0 0 3 0 1 0 0 2 0 2 0 0 2 0 0 0 0 0 0 0 1 0 4 0 1 0 0 1 1 0 2 1 1 1 0 0 0 0 0 2 1 0 1 0 2 2 0 3 2 0 0 1 0 0 2 2 0 2 1 1 1 0 2 0 1 1 1 0 0 0 1 0 0 0 0 0 0 1 1 1 0 1 0 1 0 0 0 3 0 0 4 1 0 0 0 0 1 5 0 0 0 0 0 2 4 1 0 3 1 0 0 1 0 0 0 1 0 0 1 0 3 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 3 1 0 0 1 1 0 0 0 0 0 0 2 0 0 1 1
"aloof" 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 2 1 0 0 0 0 1 1 0 3 1 0 0 1 1 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 2 0 0 0 0 1 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 2 1 0 0 0 1 1 0 0 0 2 2 0 2 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 1 2 1 0 0 0
"amiable" 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 2 1 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 1 1 1 0 0 1 2 0 0 0 0 1 1 0 0 0 0 0 0 1 0 2 1 0 0 1 0 0 0 0 0 0 1 0 1 2 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 2 0 0 0 1 1 0
"anxious" 0 1 0 0 1 0 2 0 1 0 0 1 1 4 4 4 0 0 0 0 1 0 0 1 7 4 0 1 0 0 3 0 0 0 0 0 0 2 0 1 0 1 3 0 1 0 0 2 0 0 0 0 0 1 1 5 0 3 1 2 1 0 0 0 0 1 1 1 0 0 3 0 0 1 1 0 1 0 0 1 0 1 1 1 0 0 0 1 1 1 1 0 1 0 2 0 0 0 0 3 0 1 1 0 0 3 0 1 0 0 0 0 2 0 0 0 1 1 1 0 0 4 4 0 0 2 6 0 0 0 0 0 1 1 0 0 0 1 0 2 0 2 4 1 0 0 2 0 1 2 2 0 0 0 0 4 2 0 0 0 0 4 0 2 2 0 1 1 0 0 0 2 1 0 1 1 0 0 1 0 1 0 1 0 1 6 4 1
