"active" "affectionate" "agreeable" "amiable" "anxious" "awkward" "bitter" "calm" "candid" "capable" "careful" "cautious" "certain" "cheerful" "civil" "clever" "cold" "compassionate" "confident" "considerate" "constant" "critical" "cruel" "cunning" "deceitful" "deep" "dependent" "determined" "dignified" "direct" "distant" "dull" "eager" "earnest" "elegant" "enthusiastic" "excessive" "expressive" "extravagant" "fearful" "fervent" "firm" "foolish" "formal" "frank" "friendly" "generous" "genteel" "gentle" "gentlemanlike" "gloomy" "graceful" "gracious" "hardened" "hasty" "honest" "ignorant" "illiterate" "immovable" "impatient" "impertinent" "independent" "indifferent" "inexperienced" "intimate" "invariable" "irritable" "jealous" "kind" "languid" "lively" "loud" "manly" "maternal" "musical" "narrow" "natural" "nervous" "noisy" "observant" "particular" "pleasant" "polite" "productive" "proper" "proud" "prudent" "quick" "quiet" "rational" "reasonable" "restless" "rude" "selfish" "serious" "severe" "shy" "silent" "simple" "sincere" "slow" "smart" "solemn" "solicitous" "speedy" "spiritless" "steady" "stubborn" "thorough" "thoughtful" "undiscerning" "unfeeling" "ungracious" "unkind" "unobtrusive" "unprincipled" "vain" "violent" "warm" "tender" "zealous" "wild" "unreserved" "worldly" "spirited" "wise"
"active" 0 0 1 3 2 0 0 1 0 0 0 0 2 1 1 0 1 0 0 0 4 0 0 0 0 0 0 1 1 0 0 0 0 2 1 1 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 2 1 0 0 0 0 1 1 0 0 1 1 0 0 2 0 0 0 1 0 0 0 2 0 0 2 0 0 2 1 0 0 2 1 0 2 2 2 1 2 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 1 2 1 1 0 0 0 0 0
"affectionate" 0 0 2 5 0 1 1 3 2 4 0 0 7 1 2 2 4 1 1 0 1 0 0 0 2 0 2 1 2 1 0 1 4 0 2 0 0 1 1 1 0 0 1 0 1 0 2 0 1 0 0 1 0 0 0 2 1 0 2 2 0 2 2 0 1 1 2 0 2 1 3 0 0 1 1 1 5 1 0 0 6 1 0 1 4 0 3 1 3 1 2 0 1 1 3 0 0 5 1 2 0 0 1 0 0 2 1 1 0 0 1 0 2 0 1 1 2 2 1 0 0 1 2 1 0 0
"agreeable" 1 2 0 2 4 1 0 0 0 1 2 1 4 1 6 2 4 0 0 0 3 1 1 0 0 0 0 1 0 0 1 4 3 2 3 1 3 0 0 0 0 1 1 1 1 1 0 1 2 1 0 0 0 0 0 0 3 1 1 0 2 2 1 0 1 2 0 0 2 0 1 1 0 1 0 1 4 0 2 0 6 3 0 1 0 0 0 1 2 0 0 0 0 0 5 1 0 6 1 0 0 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 1 1
"amiable" 3 5 2 0 1 1 1 0 0 3 0 0 3 1 3 1 4 0 0 1 3 0 1 1 0 0 0 2 0 0 0 0 4 3 1 0 0 0 0 1 0 0 2 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 1 0 2 2 1 0 0 0 0 0 0 1 0 1 1 0 1 5 1 0 0 4 1 0 0 3 0 1 0 2 0 1 0 1 3 2 1 0 3 3 2 0 0 1 0 0 1 2 1 0 1 1 0 2 1 1 0 0 3 2 1 0 1 1 0 0 0
"anxious" 2 0 4 1 0 2 0 2 1 4 1 0 4 1 3 0 4 2 1 0 4 0 1 0 0 0 1 3 0 0 3 3 1 4 1 1 0 0 0 1 3 1 1 2 0 3 2 1 0 1 2 1 0 0 1 2 0 0 0 3 1 0 1 1 1 0 0 0 5 1 0 1 0 0 0 0 6 1 0 1 10 3 1 1 2 1 2 2 1 2 4 2 1 1 4 1 1 6 6 3 2 2 0 1 0 0 2 0 0 1 0 2 0 0 0 0 2 5 2 1 1 0 0 1 2 1
"awkward" 0 1 1 1 2 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
"bitter" 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"calm" 1 3 0 0 2 0 0 0 1 0 0 0 4 2 0 1 3 0 2 0 1 0 0 0 1 1 1 3 2 0 1 0 0 2 1 0 0 1 0 3 1 0 0 0 0 2 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 3 0 1 0 1 1 2 0 0 0 0 0 2 0 1 0 2 1 2 0 0 1 2 1 2 1 4 0 0 0 1 1 0 4 2 2 1 1 0 0 1 0 2 1 1 1 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0
"candid" 0 2 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0
"capable" 0 4 1 3 4 0 1 0 0 0 0 0 4 1 0 0 4 1 0 0 5 0 4 1 2 1 0 1 1 1 2 1 1 4 1 0 0 0 1 1 0 1 0 0 1 1 1 0 3 0 0 0 0 1 2 2 0 0 0 3 0 3 3 0 1 0 1 0 1 0 2 0 0 1 1 1 6 1 0 0 8 1 0 1 2 2 1 2 3 0 2 1 1 2 2 2 0 5 3 2 0 0 1 0 0 1 1 1 0 0 2 0 0 1 1 2 1 2 1 0 0 0 0 2 0 0
"careful" 0 0 2 0 1 0 0 0 0 0 0 1 2 0 0 1 1 0 0 1 1 0 0 0 0 1 1 1 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 1 0 1 2 0 1 0 0 0 0 0 1 0 0 1 2 0 0 0 0 1 0 1 0 0 0 1 0 1 1 1 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0
"cautious" 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"certain" 2 7 4 3 4 1 0 4 1 4 2 1 0 2 1 1 1 1 1 0 5 0 1 0 2 0 3 3 2 2 2 2 3 1 2 0 0 2 1 1 0 0 1 0 2 1 0 0 1 0 1 1 1 1 1 2 0 0 1 3 1 2 3 1 4 0 0 3 3 0 2 0 1 0 1 1 6 0 0 1 8 4 0 1 4 1 2 2 3 0 1 1 0 2 3 0 1 6 8 2 0 1 0 0 2 2 1 1 1 0 0 1 1 0 0 0 2 2 3 0 0 3 1 2 0 0
"cheerful" 1 1 1 1 1 0 0 2 0 1 0 0 2 0 1 0 3 0 2 0 2 0 0 1 0 2 1 1 0 0 0 1 1 2 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 2 0 2 1 0 1 0 0 0 2 3 0 0 0 0 0 2 0 0 1 0 4 0 0 0 2 0 0 1 3 2 1 1 0 2 5 2 0 6 1 2 2 1 1 0 1 0 2 0 2 0 0 0 0 1 0 0 0 3 2 0 0 0 0 0 0 0
"civil" 1 2 6 3 3 1 1 0 0 0 0 1 1 1 0 1 2 0 1 0 2 1 0 0 0 0 0 1 0 0 0 2 1 1 1 2 2 0 0 0 0 1 1 1 1 2 0 1 2 1 0 0 0 0 0 0 2 1 0 1 2 1 0 0 0 1 0 0 2 0 0 1 0 1 0 1 2 1 1 0 3 2 0 0 0 0 0 1 2 0 0 0 1 0 2 0 0 3 1 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 1 0 0 0 1 0 0 2
"clever" 0 2 2 1 0 0 0 1 1 0 1 1 1 0 1 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 1 0 1 2 1 1 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
