"accomplished" "active" "adventurous" "affable" "affectionate" "agreeable" "ambitious" "amiable" "angelic" "anxious" "bitter" "blunt" "bold" "brave" "bright" "brisk" "calm" "capable" "capricious" "careful" "careless" "certain" "cheerful" "childish" "clever" "coarse" "cold" "complacent" "confident" "confused" "considerate" "constant" "constrained" "contented" "conversational" "cool" "cordial" "cruel" "curious" "dainty" "deep" "defiant" "determined" "devilish" "dignified" "direct" "disdainful" "distant" "dull" "dutiful" "eager" "earnest" "elegant" "emphatic" "exact" "excessive" "expressive" "faithful" "fearful" "fervent" "fierce" "fiery" "foolish" "forgetful" "formal" "frank" "friendly" "gallant" "generous" "genial" "genteel" "gentle" "gloomy" "graceful" "gracious" "gruff" "hasty" "haughty" "honest" "hospitable" "humble" "ignorant" "immovable" "impatient" "impetuous" "inconsistent" "independent" "indifferent" "inexperienced" "inflexible" "ingenious" "ingenuous" "intellectual" "intense" "intimate" "irrepressible" "jealous" "juvenile" "kind" "lively" "loud" "loving" "mercenary" "merry" "mild" "modest" "moral" "narrow" "natural" "negative" "nervous" "observant" "original" "particular" "passionate" "patient" "peaceful" "pensive" "pleasant" "polished" "polite" "practical" "presumptuous" "profound" "proper" "proud" "punctual" "quick" "quiet" "reasonable" "reckless" "reproachful" "respectful" "restless" "rigid" "rough" "sarcastic" "scornful" "selfish" "sensitive" "serene" "serious" "severe" "silent" "simple" "sincere" "slow" "smart" "social" "solemn" "steady" "stern" "stormy" "stubborn" "submissive" "sullen" "sunny" "suspicious" "tender" "thoughtful" "tight" "timid" "tough" "unkind" "unreasonable" "vague" "vain" "vigorous" "violent" "warm" "wild" "womanly" "worldly" "voluptuous" "wise"
"accomplished" 0 0 1 1 0 1 0 4 0 1 0 0 0 0 2 1 2 0 0 0 1 2 1 1 0 0 2 0 0 0 0 0 0 0 0 1 0 2 0 0 2 0 0 7 0 0 0 0 1 0 0 1 0 0 0 0 2 1 0 1 0 0 0 0 0 2 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 3 2 0 1 1 1 0 0 0 0 1 0 0 0 0 1 1 1 1 1 2 0 0 1 0 1 0 3 0 0 1 1 0 0 0 0 0 0 0 0 0 2 0 1 1 2 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 2 1 0 0 0 2 0 0 0 0 1 0 0 0 0
"active" 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 1 0 1 0 2 2 0 1 0 2 1 0 0 0 0 0 0 0 0 0 1 0 0 4 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 1 2 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 2 0 0 0 0 2 0 2 0 0 0 0 0 1 0 0 0 3 0 0 3 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 2 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 2 0 1 0 0 0 0 1 1 1 0 0 0
"adventurous" 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 2 0 1 0 2 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 1 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"affable" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0
"affectionate" 0 0 0 0 0 0 0 0 0 0 1 1 0 0 5 1 2 0 0 0 0 3 0 0 0 0 3 0 0 2 0 2 0 0 1 1 1 0 0 0 2 1 0 1 1 0 1 2 0 0 0 4 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 2 0 1 0 5 0 0 1 0 0 2 3 0 0 0 0 0 1 0 1 2 0 1 1 0 0 0 0 0 1 0 3 1 0 0 0 0 1 0 0 0 3 0 0 0 0 2 0 0 0 0 0 0 0 1 2 2 0 3 1 0 5 0 0 0 1 0 1 1 0 0 0 0 1 0 2 5 0 0 0 0 0 2 1 2 0 0 0 0 0 0 1 1 0 0 2 1 0 1 0 0 1 1 3 0 0 0 2
"agreeable" 1 1 1 0 0 0 2 0 0 2 1 0 1 0 6 0 1 2 0 2 0 7 2 0 1 0 4 1 1 0 3 1 1 0 0 1 0 0 2 1 3 1 0 1 1 2 0 2 2 0 0 1 1 1 1 0 4 2 1 0 0 0 0 0 0 1 4 0 1 0 2 2 1 1 1 0 2 2 4 1 0 1 1 1 1 0 0 3 1 0 0 0 0 0 0 1 0 0 3 1 1 0 1 1 0 1 1 0 4 0 0 1 0 4 0 0 0 2 2 1 1 1 0 3 0 7 1 1 1 0 1 0 0 0 0 1 0 0 0 3 1 0 1 4 2 0 1 1 1 2 2 3 1 0 2 0 0 0 1 2 0 2 1 1 0 2 0 0 3 1 0 0 0 0 0
"ambitious" 0 0 0 0 0 2 0 0 0 2 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 2 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 2 0 0 1 0 2 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0
"amiable" 4 0 0 0 0 0 0 0 1 0 0 0 0 1 3 1 1 0 0 0 0 4 2 0 0 0 3 0 0 0 0 0 0 1 0 0 0 1 0 0 3 0 0 4 0 0 1 0 1 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 2 1 1 1 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 1 3 2 1 1 2 0 3 0 1 0 1 1 0 1 1 3 0 0 0 0 1 0 0 0 0 0 1 5 0 3 1 0 0 0 0 0 1 1 0 0 0 1 0 2 0 4 1 0 0 1 3 1 1 0 0 0 0 0 0 0 0 3 2 1 0 0 0 0 0 1 0 2 0 0 0 0 0
"angelic" 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 2 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 1 1 2 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 1 1 3 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0
"anxious" 1 1 0 0 0 2 2 0 1 0 2 0 3 1 4 1 1 3 0 0 1 3 2 2 0 1 5 1 0 2 1 1 1 0 0 0 1 2 3 0 2 0 0 1 0 0 1 6 2 0 0 2 0 1 1 1 1 0 0 0 1 0 0 1 0 1 2 0 1 0 1 1 2 3 3 0 0 2 3 0 1 2 0 0 1 0 1 0 1 0 0 0 1 0 0 1 0 0 3 1 1 0 0 1 2 1 1 1 5 1 1 0 2 5 0 1 0 1 2 0 3 0 2 0 2 6 2 4 3 2 1 0 0 1 1 0 1 1 0 1 2 0 2 5 1 0 3 1 0 4 5 0 1 0 0 0 0 1 0 0 0 2 1 0 1 2 1 0 0 3 2 0 0 0 0
"bitter" 0 0 0 0 1 1 0 0 0 2 0 0 0 1 2 0 1 1 1 0 0 1 0 1 0 0 3 0 0 0 0 0 0 0 0 1 1 2 1 0 1 0 0 0 0 0 0 1 2 1 0 1 0 1 1 0 1 0 0 0 1 0 0 0 0 1 1 0 1 0 2 0 0 1 1 0 0 0 2 1 1 0 0 1 0 0 1 0 0 0 0 1 0 1 1 0 1 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 3 0 1 0 1 2 0 0 0 0 0 0 2 0 3 0 0 2 0 1 0 0 0 0 0 0 1 1 0 1 1 0 1 1 0 0 1 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 1 0 0 0 0 0
"blunt" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 1 0 0 0 3 0 0 1 0 0 1 0 0 0 1 0 2 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 3 0 0 1 0 1 0 0 0 1 2 0 0 0 0 0 0 1 2 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 1 0 4 0 0 0 0 0 1 0 2 0 0 0 0
