"active" "affectionate" "agreeable" "amiable" "anxious" "aristocratic" "awkward" "bitter" "boastful" "bold" "brave" "bright" "brisk" "calm" "capable" "careful" "careless" "certain" "cheerful" "childish" "clever" "clumsy" "cold" "complimentary" "confident" "confused" "consistent" "contemplative" "conventional" "cool" "cruel" "curious" "deep" "determined" "dignified" "direct" "discreet" "distant" "dull" "eager" "earnest" "elegant" "emphatic" "exact" "expressive" "faithful" "fierce" "foolish" "formal" "friendly" "gallant" "generous" "gentle" "gloomy" "graceful" "gracious" "greedy" "heroic" "honest" "hospitable" "humble" "ignorant" "impatient" "impertinent" "inconsistent" "independent" "indifferent" "industrious" "inquisitive" "insolent" "intimate" "intrusive" "jealous" "kind" "literary" "lively" "magnanimous" "manly" "maternal" "mercenary" "methodical" "mild" "modest" "moral" "narrow" "natural" "nervous" "observant" "orderly" "original" "particular" "passionate" "patient" "peaceful" "playful" "pleasant" "polite" "practical" "proper" "proud" "punctual" "quick" "quiet" "reasonable" "reckless" "responsible" "restless" "rough" "scornful" "selfish" "sensitive" "serious" "severe" "shallow" "shy" "silent" "simple" "slow" "social" "solemn" "sprightly" "stable" "steady" "stern" "strict" "sullen" "suspicious" "sympathetic" "tender" "thoughtful" "tight" "timid" "trustworthy" "underhanded" "vague" "vain" "violent" "warm" "wild" "wise"
"emphatic" 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 1 2 0 0 0 0 2 0 0 3 0 0 0 0 1 2 2 1 1 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 2 3 1 0 0 0 1 2 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0
"exact" 0 1 0 0 0 0 0 0 0 1 1 3 0 0 0 0 0 5 2 0 0 1 2 0 0 0 0 0 0 2 1 1 1 0 0 0 0 0 1 3 0 1 0 0 0 0 0 1 0 0 1 1 1 2 1 2 0 0 1 1 0 0 0 0 0 2 0 0 1 0 0 0 1 0 2 0 0 0 0 1 1 0 1 0 0 1 0 0 1 2 1 0 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 2 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 2 0 2
"expressive" 0 3 2 1 0 0 2 0 2 1 1 1 2 0 0 0 0 8 2 1 1 0 1 2 1 1 0 0 2 1 0 0 1 1 1 0 1 0 2 0 0 0 1 0 0 0 1 1 0 3 2 0 1 0 1 2 0 0 1 1 2 0 1 0 1 1 0 0 1 0 0 0 1 2 1 0 1 0 0 0 1 1 1 0 2 3 1 0 0 3 1 1 1 0 1 3 1 1 0 1 0 1 2 0 0 1 0 1 1 0 0 0 1 1 2 1 0 1 2 0 0 0 0 0 1 0 0 1 0 1 3 2 1 0 0 1 1 3 1 0
"faithful" 0 0 3 0 1 1 0 1 1 1 0 2 0 1 0 0 0 4 0 1 0 0 1 0 0 1 1 0 1 0 1 1 3 0 0 1 0 0 3 0 0 0 1 0 0 0 0 0 0 2 0 0 1 1 0 0 0 0 3 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 1 0 1 0 0 0 0 2 1 0 1 0 1 0 1 3 0 2 1 0 2 0 1 0 0 0 1 3 0 0 0 0 2 0 2 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 1 1 1 0 2 0 0 1 0 0 1 0 2 2 0
"fierce" 0 1 0 0 0 0 1 2 0 0 0 0 0 1 2 0 1 2 0 1 0 0 4 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 2 0 0 0 0 1 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 2 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 2 0 1 0 1 0 0 1 2 0 1 0 0 0 0 0 1 1 1 0 0 1 0 2 1
"foolish" 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 2 0 2 1 1 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0 1 0 1 1 0 1 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0
"formal" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 1 0 0 1 2 0 0 1 0 1 0 0 0 0 0 0 2 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0
"friendly" 0 1 5 0 3 2 1 0 0 0 0 2 1 0 0 1 0 9 0 2 2 0 1 1 1 0 0 0 0 1 0 0 2 1 0 0 0 1 1 0 0 0 0 0 3 2 0 1 0 0 0 1 0 1 1 0 0 0 2 2 1 0 0 0 1 0 1 0 0 0 1 0 1 1 5 0 0 0 0 0 0 0 1 2 1 1 0 0 0 0 1 0 1 1 0 2 2 1 0 2 1 0 2 0 1 0 2 1 0 0 0 0 0 0 1 2 0 2 1 2 0 1 1 0 1 0 0 0 0 4 1 0 0 1 0 1 0 1 0 1
"gallant" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 2 0 1 0 0 0 0 1 0 1 0 2 0 1 2 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 1 1 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 1 1 1 2
"generous" 1 0 4 0 3 0 0 0 0 0 0 3 1 0 1 2 1 6 0 1 0 0 1 0 0 0 0 0 0 1 2 2 3 1 0 1 0 1 1 0 2 1 0 1 0 0 0 0 0 1 1 0 2 0 1 2 0 0 1 0 0 1 2 0 1 2 1 0 0 0 1 1 1 4 2 0 2 1 0 2 0 0 0 2 1 4 1 0 0 0 1 1 2 0 1 1 1 0 1 2 0 1 1 1 0 0 0 0 0 0 3 1 2 0 0 2 0 1 1 0 0 0 0 0 1 0 1 1 0 1 0 0 0 1 0 2 0 0 0 0
"gentle" 1 0 3 1 0 0 0 0 0 0 0 2 1 0 1 0 0 5 1 1 1 1 1 0 0 0 0 0 0 0 0 0 4 1 0 0 0 1 0 1 1 1 1 1 1 1 0 0 0 0 0 2 0 0 0 2 0 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 1 1 0 1 1 1 0 0 1 1 0 0 2 2 1 0 0 1 0 0 1 0 1 1 3 0 1 0 0 1 4 0 0 0 0 1 0 1 1 0 0 1 0 1 0 2 1 1 0 0 0 0 0 1 1 1 0 0 1 0 0 1 0 1 0 1 0 0
"gloomy" 1 0 1 0 1 1 0 1 0 1 1 3 0 1 0 0 1 5 0 1 0 0 2 0 1 0 0 0 1 1 1 2 0 1 1 1 0 0 2 0 0 0 0 2 0 1 0 0 0 1 1 0 0 0 1 1 1 0 1 0 1 0 0 2 0 1 0 0 2 1 0 1 1 0 1 0 0 0 0 0 0 0 1 1 1 6 0 1 0 1 1 0 1 0 1 0 2 1 0 2 1 3 2 0 1 0 0 1 0 1 0 1 1 0 2 3 1 1 1 0 1 0 0 0 0 0 1 2 1 1 0 1 0 0 2 0 0 1 1 3
"graceful" 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 0 1 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1
"gracious" 0 0 4 0 3 0 0 1 1 3 1 4 1 0 1 1 0 6 3 2 2 1 2 1 0 2 0 0 0 0 1 1 4 0 1 1 0 2 3 1 1 2 1 2 2 0 1 2 0 0 2 2 2 1 0 0 0 1 2 1 0 0 1 0 0 0 1 0 1 0 0 1 2 1 1 1 0 2 0 2 1 1 1 0 2 5 2 0 1 2 2 0 1 0 1 1 0 1 2 4 0 1 4 0 1 0 0 0 1 0 1 1 1 0 0 2 1 1 1 0 1 1 1 2 1 0 1 0 1 1 0 2 1 2 1 0 1 1 0 1
"greedy" 0 0 1 0 1 0 0 1 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 2 0 1 0 1 1 0 0 1 0 0 0 0 3 0 1 0 0 0 0 0 0 1 0 1 0 0
"heroic" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 1 0 2 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 1 1 0 0 0 0 1 0 2 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"honest" 0 1 0 0 2 0 0 0 1 2 0 6 1 1 0 3 1 10 1 1 0 1 5 0 0 0 1 2 1 4 2 4 5 2 1 0 0 3 3 1 1 0 0 1 1 3 2 0 1 2 2 1 0 1 0 2 0 1 0 1 2 0 1 0 1 2 2 2 1 0 0 1 1 3 0 1 0 0 1 3 1 1 6 1 2 2 1 1 1 5 2 0 3 3 1 2 0 0 0 4 0 3 4 1 1 0 2 3 1 1 0 2 2 0 0 6 1 3 1 2 2 0 3 0 0 2 3 1 0 0 1 2 1 2 2 0 1 0 6 2
"hospitable" 0 0 1 0 0 0 1 0 0 1 0 2 0 0 0 0 0 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 2 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 1 0 0 0 1 2 0 1 1 0 0 0 0 1 0 0 0 2 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0
"humble" 1 1 2 0 1 0 0 0 0 1 0 2 1 0 0 0 0 4 0 0 1 0 3 0 1 1 0 1 0 0 0 0 1 0 1 0 1 1 1 0 0 0 0 0 2 0 0 0 1 1 0 0 1 1 1 0 0 2 2 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1 0 1 0 0 2 0 0 0 1 1 1 2 0 1 2 0 2 0 1 1 0 1 2 0 0 1 0 1 3 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 1 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 1
"ignorant" 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 2 3 1 1 0 1 0 0 0 1 0 0 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 1 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 1
"impatient" 0 0 0 0 2 0 0 0 0 0 1 0 0 1 0 1 0 3 0 0 0 0 0 1 0 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 2 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 3 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0
"impertinent" 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 2 6 0 1 0 1 1 0 0 1 0 0 0 0 0 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 2 1 1 0 2 0 0 0 0 0 1 0 0 0 0 2 4 1 0 0 0 3 0 0 0 0 0 0 0 0 2 0 1 4 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 2 0 1 0 1 0 0 1 0 1 0 0 2
"inconsistent" 0 0 0 0 1 1 0 0 0 0 0 0 0 0 2 2 1 3 0 0 0 1 0 0 0 0 0 0 0 0 1 1 2 0 0 0 0 1 0 0 1 0 0 0 1 1 0 1 0 1 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0
"independent" 1 0 0 0 0 0 0 0 0 1 1 3 0 0 2 1 1 4 0 0 0 1 2 0 0 1 0 1 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 2 1 0 1 0 1 0 2 2 1 1 0 0 0 1 2 0 2 1 0 1 1 0 0 1 1 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 3 0 0 0 0 1 1 1 0 2 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 2 0 1
"indifferent" 0 0 4 2 1 1 0 0 1 0 1 2 0 0 0 1 1 3 0 1 0 0 2 1 1 0 1 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 0 0 0 0 1 0 1 0 1 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 0 2 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2
"industrious" 1 0 1 0 1 0 0 0 0 0 0 4 0 0 1 0 1 4 2 0 0 0 0 0 0 0 1 0 0 0 0 1 3 1 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 2 0 1 0 0 1 0 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 1 1 1 0 0 1 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0
"inquisitive" 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 3 0 0 0 2 1 1 0 0 0 0 0 0 1 0 0 2 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 1 2 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 1 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0 1 0 1
"insolent" 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 2 3 0 0 0 1 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 1 1 2 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 1
"intimate" 0 0 2 0 1 0 0 0 0 0 0 0 0 0 1 0 0 4 1 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 3 0 1 1 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 2 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 3
"intrusive" 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 1 1 0 0 1 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2
"jealous" 1 2 1 1 2 0 0 0 1 0 1 1 0 0 0 0 0 7 1 1 1 0 0 0 0 2 0 0 0 1 0 2 1 1 0 0 0 0 0 0 2 0 0 1 1 0 1 1 1 1 0 1 1 1 0 2 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 1 1 0 0 0 1 0 0 0 0 1 3 0 1 0 1 0 1 0 1 1 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0 0
"kind" 0 2 4 1 1 1 0 1 1 0 1 6 1 0 0 3 0 10 1 2 1 1 5 0 0 1 1 1 1 0 0 2 1 1 1 1 0 1 0 0 0 1 3 0 2 1 0 0 2 1 0 4 1 0 0 1 0 1 3 0 1 2 0 2 0 2 2 1 0 2 3 1 1 0 1 0 1 1 1 1 1 0 0 1 0 5 1 1 0 3 3 0 1 1 1 3 1 1 1 4 1 3 5 0 0 1 1 1 1 3 2 2 0 1 0 3 2 2 1 0 1 1 1 0 1 0 0 1 0 2 1 0 1 0 2 0 0 0 0 4
"literary" 0 0 1 0 3 1 1 0 0 2 0 3 0 0 1 1 0 7 3 0 0 0 1 2 1 0 0 0 0 0 0 1 1 2 0 1 1 0 1 0 0 0 0 2 1 0 0 0 0 5 0 2 0 1 0 1 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 1 0 1 1 0 1 0 0 1 0 0 1 2 2 0 1 0 0 2 0 1 1 0 1 1 0 0 0 1 0 0 0 0 1 0 1 0 1 1 0 0 1 1 1 0 1 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 1 1
"lively" 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 5 1 0 1 0 2 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 1 2 0 1 1 1 3 0 0 0 1 0 1 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 2
"magnanimous" 0 0 2 0 1 0 0 0 1 0 0 0 2 0 1 1 0 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1
"manly" 0 1 1 0 1 1 0 0 0 0 0 2 1 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 1
"maternal" 0 1 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 2 1 0 2 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 2 0 0 1 2 2 0 0 0 0 1 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0
"mercenary" 0 0 0 2 1 0 0 1 0 1 0 0 0 0 0 0 1 4 2 2 0 0 2 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 2 0 0 3 1 0 0 1 1 0 0 1 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 2 1 0 0 0 0 0 2 0 0 1 0 1 1 2 0 0 2 1 0 0 0 0 1 0 1 2 1 1 0 2 0 0 0 0 2 0 1 0 1 0 2 2 0 0 0 1 0 0 0 0 0 0 1 0
"methodical" 1 0 0 0 0 0 1 0 0 0 0 2 0 1 0 1 0 5 0 0 0 0 1 0 0 1 0 0 0 1 0 1 1 0 0 0 0 1 1 1 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 2 2 0 1 0 1 1 1 1 0 0 2 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0
"mild" 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 3 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"modest" 0 1 1 0 1 1 0 0 0 1 1 2 0 0 1 1 0 6 1 0 0 1 1 0 1 0 0 0 2 2 1 1 4 1 1 0 0 0 1 0 0 0 0 1 1 2 0 1 0 1 0 0 0 1 1 1 0 1 6 0 1 0 0 0 1 0 0 1 1 0 0 2 0 0 1 1 0 0 1 0 0 0 0 3 0 1 0 0 1 3 3 0 1 1 0 2 1 0 0 3 2 2 2 1 0 1 1 1 1 1 0 1 1 1 1 2 0 0 3 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 1
"moral" 0 0 3 0 0 0 0 0 0 0 0 1 0 0 2 1 0 5 1 0 1 1 3 0 0 0 0 0 1 1 0 1 2 1 0 1 0 0 1 1 1 0 0 0 0 1 1 1 0 2 0 2 0 1 0 0 0 1 1 0 1 0 0 0 1 0 1 1 0 0 1 0 0 1 0 1 1 0 1 0 0 1 3 0 1 3 0 0 1 0 1 0 1 1 0 0 1 0 0 2 1 1 1 0 0 1 0 2 0 0 1 1 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 1 1 0 1 0
"narrow" 1 0 3 0 0 1 0 0 0 0 0 3 2 0 0 0 0 4 2 2 2 0 0 0 1 1 0 0 0 1 1 1 4 0 0 1 1 2 2 0 1 0 1 0 2 0 0 0 0 1 0 1 2 1 0 2 0 0 2 1 1 0 0 2 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 1 1 1 0 1 0 4 1 0 1 1 2 0 1 3 0 2 1 0 1 2 0 1 6 0 0 0 0 1 0 0 1 1 1 0 0 1 1 1 1 0 0 0 1 0 1 0 1 1 0 0 1 1 0 1 0 0 2 1 1 0
"natural" 1 2 8 1 3 1 0 1 2 2 1 5 1 1 2 1 0 13 4 1 1 0 6 0 0 1 0 1 0 1 3 3 3 0 0 2 0 0 5 0 2 2 0 1 3 1 0 0 2 1 0 4 2 6 1 5 0 0 2 2 2 1 1 4 0 0 1 0 1 2 1 0 3 5 1 1 3 0 2 2 1 0 1 3 4 0 0 2 0 4 5 2 1 1 2 3 2 2 3 7 3 3 9 1 0 0 2 1 2 3 0 2 1 1 2 3 3 3 3 0 2 0 1 1 1 0 2 2 3 2 1 1 0 0 3 0 2 3 0 2
"nervous" 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 1 0 0 0 0 0 2 0 1 0 0 1 1 1 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 2 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0
"observant" 0 0 1 0 0 0 0 0 0 0 1 2 0 1 0 1 0 4 0 0 0 0 2 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 1 2 1 0 0 0 0 1 1 0 1 0 1 0 0 0 1 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 1 0 1 0 2 1 1 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1
