"active" "affectionate" "agreeable" "amiable" "anxious" "aristocratic" "awkward" "bitter" "boastful" "bold" "brave" "bright" "brisk" "calm" "capable" "careful" "careless" "certain" "cheerful" "childish" "clever" "clumsy" "cold" "complimentary" "confident" "confused" "consistent" "contemplative" "conventional" "cool" "cruel" "curious" "deep" "determined" "dignified" "direct" "discreet" "distant" "dull" "eager" "earnest" "elegant" "emphatic" "exact" "expressive" "faithful" "fierce" "foolish" "formal" "friendly" "gallant" "generous" "gentle" "gloomy" "graceful" "gracious" "greedy" "heroic" "honest" "hospitable" "humble" "ignorant" "impatient" "impertinent" "inconsistent" "independent" "indifferent" "industrious" "inquisitive" "insolent" "intimate" "intrusive" "jealous" "kind" "literary" "lively" "magnanimous" "manly" "maternal" "mercenary" "methodical" "mild" "modest" "moral" "narrow" "natural" "nervous" "observant" "orderly" "original" "particular" "passionate" "patient" "peaceful" "playful" "pleasant" "polite" "practical" "proper" "proud" "punctual" "quick" "quiet" "reasonable" "reckless" "responsible" "restless" "rough" "scornful" "selfish" "sensitive" "serious" "severe" "shallow" "shy" "silent" "simple" "slow" "social" "solemn" "sprightly" "stable" "steady" "stern" "strict" "sullen" "suspicious" "sympathetic" "tender" "thoughtful" "tight" "timid" "trustworthy" "underhanded" "vague" "vain" "violent" "warm" "wild" "wise"
"brave" 0 0 1 0 1 0 0 0 1 0 0 2 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 1 0 0 1 0 2 0 3 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"bright" 3 2 6 0 4 2 1 0 2 1 2 0 1 2 1 1 0 14 5 0 1 2 4 1 1 1 0 0 0 1 1 3 4 2 1 1 2 1 2 3 3 2 1 3 1 2 0 1 0 2 0 3 2 3 1 4 1 0 6 2 2 0 0 0 0 3 2 4 1 0 0 0 1 6 3 0 0 2 0 0 2 0 2 1 3 5 0 2 3 5 4 0 1 3 2 3 0 2 0 8 0 5 7 0 0 2 0 1 0 3 1 2 1 0 1 3 1 1 0 0 0 0 3 1 0 0 1 2 2 2 0 2 1 0 1 1 0 2 1 4
"brisk" 0 0 2 0 1 0 0 0 1 0 0 1 0 0 0 0 0 2 1 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 1 0 0 2 0 0 0 0 1 0 1 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 1 0 0 0 0 0 0 2 1 0 0 0 2 0 0 0 1 0 2 1 0 1 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"calm" 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 2 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 3 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0
"capable" 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 2 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 2 2 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 2 0 2 0 0 0 0 4 0 1 0 0 0 1 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"careful" 1 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 3 0 1 0 0 2 0 0 0 0 1 0 0 1 1 3 1 1 0 0 0 0 0 1 0 0 0 0 0 0 2 0 1 0 2 0 0 0 1 0 0 3 0 0 0 1 0 2 1 1 0 0 0 0 0 0 3 1 0 1 0 0 0 1 1 1 1 0 1 0 1 0 2 1 0 0 0 0 1 0 1 0 1 0 1 1 0 0 0 0 1 0 1 0 0 1 1 1 2 1 0 0 1 0 0 0 1 0 0 0 0 0 2 0 0 1 0 1 0 0 0 1 1
"careless" 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 4 0 0 0 0 0 0 1 2 0 0 0 0 0 2 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 1 0 0 2 0 2 1 1 1 1 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 1 0 4 0 0 0 1 0 0 2 0 0 0 4 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 1 0 1 1
"certain" 1 5 10 3 7 3 3 0 1 0 0 14 2 3 5 3 4 0 5 3 3 4 7 3 2 3 4 2 1 7 1 6 9 6 3 1 1 3 7 3 3 2 2 5 8 4 2 2 4 9 3 6 5 5 0 6 1 3 10 4 4 3 3 6 3 4 3 4 3 3 4 2 7 10 7 5 2 1 2 4 5 2 6 5 4 13 2 4 2 7 14 3 3 5 3 7 5 1 3 10 4 6 14 2 1 3 1 7 3 4 0 6 5 0 3 9 2 5 4 2 2 2 3 1 2 1 2 1 1 5 0 4 3 2 3 3 3 5 1 5
"cheerful" 2 0 1 1 1 1 1 0 1 2 0 5 1 0 1 0 0 5 0 0 2 0 2 1 0 0 1 0 0 1 0 1 3 0 0 1 1 0 3 0 0 1 0 2 2 0 0 1 0 0 0 0 1 0 1 3 1 0 1 1 0 1 0 0 0 0 0 2 0 0 1 1 1 1 3 1 1 0 0 2 0 0 1 1 2 4 1 0 0 0 3 0 2 0 1 4 0 1 2 1 0 4 2 0 0 1 0 0 1 0 0 1 1 1 1 1 3 1 1 0 1 0 0 0 0 0 0 2 0 1 2 1 0 0 0 0 1 0 0 1
"childish" 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 1 1 0 0 0 0 0 1 1 1 1 0 2 0 1 1 1 0 2 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 1 2 0 0 0 1 0 2 0 0 0 0 2 1 1 0 0 0 2 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 3 1 1 0 0 0 0 1 0
