"accomplished" "active" "affectionate" "agreeable" "amiable" "anxious" "awkward" "calm" "capable" "careful" "careless" "cautious" "ceremonious" "certain" "charitable" "cheerful" "civil" "clever" "clownish" "coarse" "cold" "compassionate" "confident" "confused" "constant" "cool" "cordial" "cruel" "curious" "decisive" "deep" "dependent" "determined" "direct" "discreet" "distant" "dull" "eager" "earnest" "elegant" "exact" "excessive" "expressive" "faithful" "fearful" "foolish" "friendly" "gallant" "generous" "gentle" "gentlemanlike" "graceful" "hasty" "honest" "humble" "ignorant" "illiterate" "impatient" "imprudent" "independent" "indifferent" "indulgent" "insolent" "intellectual" "intelligent" "intimate" "judicious" "just" "kind" "lively" "mild" "moderate" "modest" "musical" "natural" "negligent" "nervous" "obliging" "original" "particular" "pert" "pleasant" "prompt" "proper" "proud" "prudent" "quick" "quiet" "rational" "reasonable" "reserved" "respectful" "restless" "rude" "scrupulous" "selfish" "serious" "severe" "silent" "simple" "sincere" "slow" "social" "solemn" "solicitous" "steady" "tender" "thorough" "thoughtful" "thoughtless" "unaffected" "unfair" "unfeeling" "ungracious" "unpersuadable" "unreasonable" "unsuspicious" "vain" "warm" "wise" "wild"
"fearful" 0 0 0 1 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 1 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"foolish" 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 2 0 1 0 1 0 0 0 0 0 0 1 0 0 2 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 1 0 0 1 0 0 0 0 0 2 0 1 2 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 2 3 0 0
"friendly" 0 1 0 5 3 2 3 0 0 0 1 1 1 4 0 6 2 1 1 1 3 1 0 0 2 0 0 0 0 0 1 0 2 0 2 0 3 1 2 0 1 0 0 0 0 1 0 1 0 0 1 1 0 0 4 3 1 0 0 0 3 0 0 0 0 0 1 0 5 3 0 0 0 1 2 0 1 0 0 1 0 5 0 5 1 0 1 1 1 1 1 0 0 0 1 1 2 4 5 1 0 1 1 0 1 0 0 1 0 1 0 1 1 2 0 3 0 2 4 1 0
"gallant" 1 0 0 5 3 2 0 0 0 1 0 1 0 2 0 2 0 1 0 0 4 0 2 0 0 0 1 0 0 0 0 1 1 0 0 1 2 2 1 2 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 1 0 1 0 2 0 0 0 0 1 0 1 0 4 1 0 1 0 0 5 0 0 0 0 0 0 1 0 3 0 0 3 1 0 1 0 0 0 0 0 0 1 0 2 2 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 1 3 1 0 0
"generous" 1 2 1 0 2 1 0 0 1 0 1 0 0 0 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 1 1 0 0 1 0 0 0 0 0 1 2 0 1 0 0 2 0 2 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"gentle" 0 2 3 3 3 1 2 0 1 1 0 0 0 0 0 5 2 3 0 0 2 0 0 1 1 1 0 1 0 0 0 0 0 1 0 1 0 2 2 4 0 0 0 0 0 2 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 1 0 1 2 2 0 0 4 1 1 0 0 0 5 0 1 3 0 0 1 4 2 3 0 0 2 3 2 1 1 1 1 0 1 0 1 2 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 2 0 0 0 2 2 0 0
"gentlemanlike" 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0
"graceful" 1 0 0 2 2 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 2 0 0 0 0 1 0 0 0 0 1 0 0 3 0 0 0 0 0 2 0 0 0 0 2 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"hasty" 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 2 0 1 0 2 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0
"honest" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 4 0 2 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1
"humble" 0 0 0 2 2 1 1 0 0 0 0 0 1 1 0 2 3 2 0 1 2 0 0 0 0 0 0 0 0 0 0 0 3 1 1 0 1 0 0 0 1 0 0 0 0 1 4 1 0 0 0 1 0 0 0 1 0 0 0 0 4 0 0 0 0 0 1 0 3 1 0 0 2 1 3 0 0 2 0 2 1 2 0 1 0 1 0 0 1 1 0 0 0 0 0 2 1 2 2 2 0 1 0 0 1 0 0 2 0 1 0 0 1 2 0 0 0 2 1 1 0
"ignorant" 0 0 0 5 3 0 2 0 0 0 0 0 1 1 0 0 1 1 1 1 2 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 3 1 0 1 1 2 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 2 0 1 1 0 0 3 2 0 0 0 1 1 2 1 1 1 0 1 1 1 2 0 0 0 0 0 0 1 3 3 1 0 0 0 0 0 1 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0
"illiterate" 0 0 0 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"impatient" 0 1 0 2 1 1 1 0 1 1 0 1 0 1 0 2 1 1 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1 5 0 1 3 0 5 1 1 0 2 0 1 2 2 1 0 0 0 0 3 1 0 1 0 2 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 1 1 0 2 0 0
"imprudent" 0 0 0 1 1 2 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 2 1 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 2 0 0 1 0 0 0 0 0 0 0 0
"independent" 1 1 0 1 2 0 0 0 0 1 0 0 0 2 1 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 2 0 0 1 0 2 0 3 0 0 0 0 0 0 0 2 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 1 1 0 1 1 0 2 0 3 0 1 0 0 2 1 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 1 0 1 1 0 0 1 0 0 1 0 0 3 1 0 0
"indifferent" 0 0 0 1 1 1 0 0 0 1 1 0 1 4 0 1 4 3 0 1 3 1 0 0 1 0 0 0 0 0 1 0 2 1 1 0 1 0 0 0 1 0 0 0 0 2 3 0 0 0 0 1 0 0 4 1 0 0 0 0 0 1 0 0 0 0 0 1 3 0 0 0 1 2 4 0 0 3 2 4 0 1 0 2 0 1 1 0 0 3 1 0 0 0 0 2 1 2 3 2 1 0 0 0 0 0 0 2 0 0 0 1 0 1 0 1 1 1 3 0 0
"indulgent" 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"insolent" 0 0 0 1 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 1 0 1 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0
"intellectual" 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 2 0 1 0 0 1 0 1 0 0 0 0 0 2 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"intelligent" 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 2 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 2 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0
"intimate" 1 0 0 2 1 3 0 0 0 0 0 0 0 1 1 3 1 0 1 0 2 0 0 1 0 0 0 1 0 1 1 0 1 1 0 2 0 0 2 2 0 0 0 0 0 1 0 0 0 2 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 3 0 2 0 0 0 2 0 0 0 0 2 0 4 0 1 1 0 0 2 2 2 0 0 0 0 0 1 1 2 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"judicious" 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0
"just" 1 1 0 1 1 1 0 0 1 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 1 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"kind" 2 1 2 7 13 6 3 1 2 3 0 1 1 5 2 5 6 4 0 1 8 0 3 0 1 1 0 2 0 0 2 0 5 3 1 1 1 3 6 8 1 0 0 1 0 1 5 4 0 4 0 3 0 0 3 2 0 1 2 3 3 0 0 0 0 3 0 1 0 2 0 1 0 1 14 1 0 7 0 11 0 6 0 8 0 0 7 5 2 5 1 1 2 1 2 0 4 6 4 5 1 1 1 0 1 2 0 2 2 1 1 0 1 4 0 1 1 3 6 2 0
"lively" 0 1 0 3 2 2 1 1 0 0 0 0 0 2 0 5 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 3 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 2 0 0 0 0 0 2 0 0 0 1 1 0 4 0 4 1 0 0 3 0 1 0 0 0 1 1 0 0 0 3 0 0 0 2 0 0 0 0 0 0 2 0 0 1 1 0 1 1 1 5 0 0
"mild" 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 2 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 1 0 0 0 2 0 3 0 2 1 0 1 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"moderate" 1 1 0 3 3 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 2 0 0 0 2 0 0 1 0 0 0 1 1 2 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0
"modest" 0 0 0 1 1 1 0 0 0 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
"musical" 1 1 0 3 3 4 0 0 2 0 1 0 0 1 0 1 1 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 2 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 1 0 0 1 0 1 2 0 0 0 0 0 0 1 1 0 0 1 1 0 3 0 1 2 0 5 1 2 0 2 0 0 2 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 3 0 0
"natural" 1 2 3 10 11 5 1 2 3 3 1 3 1 5 1 8 5 9 0 1 6 1 2 0 1 0 0 0 1 2 0 0 2 2 2 3 2 0 3 6 1 0 0 0 1 2 2 5 2 5 0 2 1 1 3 3 0 5 0 1 4 1 1 2 2 2 1 1 14 2 1 1 1 3 0 1 3 2 1 15 1 6 1 12 2 0 7 9 5 7 1 2 1 1 2 1 5 5 7 6 3 0 2 0 1 2 2 2 0 0 1 1 0 3 0 3 3 2 6 2 0
"negligent" 0 1 0 2 1 2 1 0 0 0 0 0 1 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 2 0 0 1 0 0 0 0 0 0 2 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0
"nervous" 0 0 2 2 1 2 1 1 1 0 0 0 0 1 0 2 1 2 0 0 4 0 0 0 0 2 0 0 0 1 1 0 0 0 1 1 1 3 0 1 0 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 1 0 1 0 1 0 1 1 0 0 1 0 0 0 0 0 1 3 0 0 1 0 1 1 2 0 2 1 0 2 3 2 1 0 0 0 0 0 0 1 2 0 0 1 1 0 1 0 3 0 1 0 0 0 0 0 0 2 0 0 1 1 0 0
"obliging" 0 2 1 4 7 5 1 0 2 0 1 0 0 2 0 0 3 2 0 0 5 0 0 2 0 0 0 1 1 0 0 0 2 1 0 1 0 1 1 3 1 1 1 0 0 2 0 0 0 3 0 0 1 0 2 0 0 3 2 1 3 0 0 0 0 0 0 1 7 0 0 0 2 2 2 0 1 0 0 6 2 2 0 2 0 0 4 1 0 1 0 0 0 4 0 1 2 0 2 2 1 1 0 0 0 1 0 1 1 1 0 0 0 0 0 0 1 2 2 1 0
"original" 0 0 0 1 1 0 0 0 0 0 0 0 0 3 0 2 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"particular" 2 1 0 4 8 6 1 1 4 1 1 1 1 6 1 2 4 5 0 1 5 2 1 1 1 0 0 0 2 2 1 1 4 1 1 1 1 2 2 7 2 1 1 0 1 0 1 0 2 0 0 2 2 4 2 1 0 5 0 2 4 0 1 1 0 2 1 1 11 1 2 2 0 5 15 0 1 6 1 0 1 5 0 10 1 0 2 4 4 5 0 1 0 1 1 0 2 4 1 6 1 0 1 1 0 1 2 4 0 0 0 0 1 1 0 1 2 2 4 0 1
"pert" 0 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 2 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0
"pleasant" 0 1 1 12 6 4 2 0 0 1 0 1 0 4 1 8 6 5 1 0 6 0 0 1 3 1 0 0 1 1 3 0 5 1 1 2 3 3 3 3 1 0 0 2 1 0 5 1 2 4 2 0 1 2 2 2 1 1 1 3 1 1 1 1 2 4 1 0 6 4 3 0 1 2 6 2 2 2 1 5 1 0 0 9 1 2 4 4 2 4 0 0 0 2 0 0 6 5 4 1 0 1 1 0 0 1 1 1 0 2 0 0 1 0 1 0 0 3 3 3 2
"prompt" 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"proper" 0 1 0 9 5 10 1 0 3 0 1 2 0 5 1 8 3 2 0 1 5 0 2 1 1 0 1 0 2 0 1 1 2 1 0 1 2 1 4 4 1 1 1 0 1 1 5 3 1 3 1 1 2 0 1 1 0 2 0 1 2 0 1 0 1 1 1 0 8 4 2 0 0 2 12 0 2 2 1 10 1 9 1 0 0 0 4 9 3 3 1 0 0 1 3 0 3 1 4 0 1 0 2 1 1 0 1 2 1 0 1 1 0 1 0 2 1 2 6 0 1
"proud" 0 1 0 3 1 1 0 0 0 0 0 0 0 0 0 2 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 2 1 1 0 0 1 0 1 0 0 0 0 0 2 1 1 0 0 0 0 0 1 0 0 1 0 0 0 1 2 0 1 1 0 0 0 1 1 0 0 0 1 0 0 1 0 0
"prudent" 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0
"quick" 1 2 3 8 7 4 2 1 2 1 0 0 0 3 1 1 2 4 1 1 4 1 1 1 1 1 1 0 0 1 1 3 2 0 1 1 0 2 1 6 0 0 0 1 0 0 1 3 0 2 0 0 0 0 0 1 1 2 0 2 1 0 0 0 0 0 0 1 7 0 1 1 0 2 7 0 2 4 0 2 1 4 0 4 0 0 0 4 2 3 1 1 1 0 0 0 1 2 3 1 1 2 0 0 1 1 1 0 0 0 0 1 0 1 0 0 0 2 2 0 0
"quiet" 0 1 1 5 1 3 0 2 2 1 0 0 0 4 0 3 1 1 0 0 4 0 1 0 1 0 0 0 1 1 1 0 0 0 1 1 0 2 2 7 0 0 0 1 1 1 1 1 0 3 1 0 1 1 0 1 0 2 1 1 0 0 1 2 0 2 0 0 5 3 1 1 0 0 9 1 3 1 0 4 0 4 1 9 2 0 4 0 2 4 2 2 1 1 1 1 1 3 2 0 2 0 0 1 2 2 0 1 2 1 0 1 1 2 1 0 1 3 3 0 0
"rational" 0 0 2 6 5 1 1 0 1 1 0 1 0 1 0 5 2 2 0 0 3 1 0 0 0 0 0 1 0 0 0 1 2 2 0 1 0 2 0 2 0 1 0 0 0 1 1 0 1 2 0 0 1 0 1 1 0 1 0 1 0 1 2 1 2 2 1 0 2 0 1 2 0 0 5 1 2 0 0 4 0 2 1 3 1 0 2 2 0 3 1 1 1 0 1 0 2 6 1 1 1 0 0 2 0 2 0 0 0 0 2 0 1 2 1 2 0 1 1 0 1
"reasonable" 0 0 1 6 2 4 0 0 0 1 0 0 1 2 1 3 2 1 0 0 6 3 1 0 2 2 0 1 0 0 1 0 1 1 1 2 0 0 0 3 1 1 1 0 0 0 1 1 0 1 0 1 0 1 1 2 0 0 1 0 3 0 0 1 0 2 1 1 5 1 1 1 0 0 7 1 1 1 1 5 0 4 1 3 1 0 3 4 3 0 0 1 0 0 0 1 2 4 2 3 3 1 1 0 1 1 0 1 0 0 0 0 0 1 0 1 1 1 2 0 0
"reserved" 0 0 1 1 1 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 2 1 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 1 1 0 0
"respectful" 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 1 2 1 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"restless" 0 0 2 0 1 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0
"rude" 0 0 0 1 1 2 1 0 0 0 0 0 0 1 0 0 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 4 0 1 0 2 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 2 0 0
"scrupulous" 0 0 0 0 1 1 1 0 0 0 1 1 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 1 0 0 0 0 2 0 0 0 0 1 0 0 0 3 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
"selfish" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 2 0 0 0 0 1 1 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 1 1 1 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0
"serious" 0 0 0 7 3 2 3 1 0 2 0 2 0 1 0 3 2 0 2 1 5 0 0 1 1 2 1 0 0 1 0 0 4 1 0 1 1 1 1 0 0 2 1 0 0 0 2 1 0 1 0 1 0 1 1 1 2 1 1 1 1 0 0 0 0 1 1 1 4 0 0 0 1 1 5 0 1 2 0 2 1 6 0 3 0 0 1 1 2 2 1 0 0 1 1 0 0 2 5 3 0 1 0 2 0 1 0 3 1 0 0 0 0 0 0 0 2 3 2 2 1
"severe" 1 0 2 8 6 2 1 0 1 2 0 0 1 2 0 2 3 1 1 0 2 1 0 1 1 0 0 0 0 2 0 0 1 2 1 0 1 1 1 4 0 0 0 0 1 0 4 0 1 2 1 1 0 1 2 3 1 0 0 1 2 0 0 0 0 2 1 0 6 0 0 2 0 0 5 1 2 0 1 4 0 5 1 1 0 0 2 3 6 4 1 1 1 0 0 0 2 0 1 2 1 0 0 1 0 3 1 1 0 0 1 0 2 3 1 1 0 2 1 0 0
