"affectionate" "agreeable" "amiable" "anxious" "argumentative" "bitter" "bold" "boyish" "brave" "bright" "brisk" "calm" "capable" "capricious" "careful" "certain" "cheerful" "childish" "clever" "clumsy" "coarse" "cold" "communicative" "compassionate" "complimentary" "confused" "consistent" "constant" "contented" "contradictory" "cool" "cordial" "cruel" "cunning" "curious" "decisive" "deep" "definite" "dependent" "determined" "direct" "dissatisfied" "distant" "distrustful" "dull" "eager" "earthy" "elegant" "emphatic" "exact" "expressive" "faithful" "fearful" "fierce" "firm" "foolish" "formal" "frank" "friendly" "generous" "gentle" "gloomy" "graceful" "gracious" "greedy" "haughty" "honest" "humble" "ignorant" "immovable" "impatient" "inconsistent" "independent" "indifferent" "informed" "ingenious" "intelligent" "intimate" "jealous" "judicious" "kind" "lavish" "lifeless" "lively" "loud" "meditative" "moderate" "modest" "moral" "musical" "narrow" "natural" "nervous" "obliging" "particular" "patient" "placid" "playful" "pleasant" "polite" "practical" "profound" "proper" "proud" "quick" "quiet" "reasonable" "reckless" "reproachful" "respectful" "responsible" "responsive" "restless" "rough" "scornful" "sensitive" "serious" "severe" "silent" "simple" "slow" "sluggish" "smart" "social" "solemn" "sour" "steady" "stern" "strict" "suspicious" "talkative" "thoughtful" "timid" "treacherous" "unreasonable" "vague" "vain" "vigorous" "violent" "visionary" "wild" "worldly" "warm" "sympathetic" "tender" "womanly"
"affectionate" 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 2 1 0 0 1 1 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0
"agreeable" 0 0 0 2 1 1 0 0 0 4 1 0 0 0 1 4 1 0 0 0 1 3 0 0 0 1 0 1 1 1 0 0 0 0 1 0 0 1 0 1 1 0 0 0 2 0 0 0 0 2 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 1 1 0 1 1 1 3 2 0 0 0 0 0 0 1 0 0 1 0 0 0 3 1 0 1 0 3 1 2 0 0 0 1 1 0 0 0 0 0 2 1 2 0 0 1 0 0 0 1 2 0 2 2 1 0 0 1 0 0 0 0 0 0 1 0 1 1 1 0
"amiable" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 1 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"anxious" 0 2 0 0 0 0 1 0 0 4 0 0 1 0 0 3 2 0 0 1 0 5 0 0 0 0 0 1 0 0 0 0 0 0 2 0 2 0 0 1 0 0 2 0 2 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 1 2 0 0 0 0 1 0 0 1 1 1 0 3 1 1 0 0 1 1 0 1 1 1 0 0 1 0 0 0 0 3 1 0 1 0 0 0 4 0 0 0 0 1 0 7 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0
"argumentative" 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0
"bitter" 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0 2 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 1 1 1 0 0 0 0 1
"bold" 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"boyish" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"brave" 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0
"bright" 1 4 0 4 2 0 1 0 2 0 1 0 1 0 0 5 2 0 2 0 4 6 0 0 1 2 0 2 1 1 0 0 1 1 2 1 1 0 1 3 1 1 2 0 4 0 0 0 0 1 2 1 1 1 1 0 1 0 0 1 1 5 2 0 0 0 3 1 1 0 0 1 0 2 0 0 1 0 1 0 0 1 1 1 1 0 1 0 0 1 1 2 1 1 4 1 1 0 2 1 0 2 0 5 1 8 0 0 0 0 0 0 1 1 1 0 3 2 4 0 1 1 0 1 0 1 3 0 2 1 1 2 0 0 1 0 1 0 2 0 3 1 3 0 1 0
