"abrupt" "abusive" "affected" "affectionate" "agreeable" "ambitious" "amiable" "anxious" "awkward" "benevolent" "bold" "brutal" "capable" "careful" "careless" "certain" "cheerful" "civil" "cold" "compassionate" "concise" "confident" "confused" "constant" "contrary" "cool" "coy" "critical" "cruel" "curious" "decisive" "deep" "dependent" "determined" "diligent" "distant" "doleful" "dull" "dutiful" "eager" "earnest" "elegant" "explicit" "expressive" "faithful" "fearful" "fearless" "fervent" "firm" "flighty" "foolish" "forgetful" "formal" "friendly" "frivolous" "generous" "genteel" "gentle" "gracious" "hasty" "hearty" "heedless" "hospitable" "humane" "humble" "ignorant" "illiterate" "impatient" "impertinent" "impetuous" "inconsiderate" "indifferent" "indirect" "indulgent" "inelegant" "inexperienced" "informed" "ingenuous" "insolent" "intimate" "invariable" "inward" "ironical" "irresolute" "kind" "lifeless" "lively" "loud" "malicious" "maternal" "mischievous" "modest" "natural" "obliging" "particular" "passionate" "passive" "pleasant" "polite" "productive" "profound" "proper" "proud" "prudent" "quarrelsome" "quick" "quiet" "rash" "rational" "respectful" "rude" "serious" "severe" "silent" "simple" "sincere" "slow" "smart" "solemn" "speedy" "spirited" "spiteful" "strict" "tenacious" "thoughtful" "thoughtless" "tight" "timid" "unaffected" "unamiable" "unassuming" "undisguised" "uneducated" "ungentle" "ungovernable" "unguarded" "unprincipled" "vain" "violent" "warm" "wild"
"abrupt" 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 2 0 3 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
"abusive" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 1 2 0 0
"affected" 1 0 0 1 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 2 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 1 0 0 0 0 2 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"affectionate" 0 0 1 0 1 0 1 0 1 1 1 0 0 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 2 0 0 0 0 0 2 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 2 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0
"agreeable" 0 0 0 1 0 2 1 0 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 3 0 0 0 1 0 0 1 3 0 0 3 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 2 0 2 0 1 0 0 0 0 0 4 0 0 1 0 0 2 0 0 0 0 1 0 0 0 2 2 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 3 0 0
"ambitious" 0 0 0 0 2 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0
"amiable" 0 1 1 1 1 1 0 1 0 2 0 0 1 0 0 1 2 0 0 0 1 0 1 0 1 0 0 1 4 1 1 3 0 0 0 2 0 0 0 2 2 0 0 0 3 0 1 0 0 1 1 0 0 1 0 2 1 3 0 1 2 0 1 1 3 1 1 0 1 0 1 4 0 0 0 0 0 1 0 1 0 0 0 0 1 1 1 0 0 0 0 0 4 1 3 0 0 1 1 1 0 4 3 0 0 1 0 1 1 2 1 2 1 3 1 1 1 0 1 0 0 0 0 1 2 1 0 0 1 2 0 0 1 1 0 0 1 1 1 0 0
"anxious" 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 1 0 0 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 2 0 0 1 1 0 1 2 0 1 0 0 2 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 1
"awkward" 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 1 2 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 2 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0
"benevolent" 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
