"active" "affected" "affectionate" "agreeable" "ambitious" "amiable" "anxious" "assured" "awkward" "benevolent" "bitter" "blunt" "bright" "calm" "capable" "careless" "cautious" "certain" "cheerful" "civil" "clever" "cold" "communicative" "conscientious" "considerate" "consistent" "constant" "contented" "contradictory" "contrary" "cool" "cordial" "courteous" "critical" "cruel" "curious" "decisive" "deep" "determined" "dignified" "direct" "distant" "dull" "eager" "earnest" "economical" "elegant" "excessive" "expressive" "faithful" "fearful" "fearless" "feminine" "foolish" "formal" "fraternal" "friendly" "generous" "genteel" "gentle" "gentlemanlike" "gloomy" "graceful" "harsh" "hasty" "hearty" "honest" "humble" "ignorant" "impatient" "imprudent" "indefinite" "independent" "indifferent" "indulgent" "injudicious" "intimate" "irrational" "jealous" "judicious" "kind" "languid" "lazy" "literary" "lively" "loud" "maternal" "mercenary" "merciful" "methodical" "mild" "moderate" "modest" "moral" "narrow" "natural" "negative" "negligent" "nervous" "noisy" "original" "particular" "placid" "playful" "pleasant" "practical" "proper" "proud" "prudent" "punctual" "quick" "quiet" "rational" "reasonable" "resentful" "respectful" "rough" "scrupulous" "selfish" "serious" "severe" "shy" "silent" "simple" "sincere" "slovenly" "slow" "solemn" "speedy" "spirited" "stable" "steady" "strict" "sympathetic" "tender" "thorough" "thoughtful" "thoughtless" "timid" "treacherous" "ungenerous" "unkind" "unreasonable" "unsophisticated" "unsuspicious" "vain" "warm" "worldly" "wild"
"active" 0 0 0 3 0 1 3 0 0 0 0 0 0 0 1 0 0 2 2 2 1 0 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 2 0 0 0 1 1 0 0 0 0 0 0 0 2 0 0 1 0 0 1 0 0 0 0 2 0 3 1 0 0 1 0 0 1 1 0 0 2 0 0 0 1 0 0 0 0 2 0 0 2 2 0 3 0 0 0 0 0 1 0 0 2 0 4 0 0 0 0 4 0 0 0 0 1 0 1 0 1 0 0 1 1 1 0 0 0 1 1 3 0 0 1 0 0 0 1 1 0 1 1 0 0 0 0 2 0
"affected" 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 1 0 0
"affectionate" 0 1 0 3 0 0 4 0 0 1 0 0 0 1 0 0 0 1 1 0 1 1 0 0 2 1 1 0 0 0 1 0 0 1 0 1 1 0 4 0 0 1 1 1 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 1 1 0 0 1 0 1 0 0 0 0 0 3 0 0 0 1 0 1 0 2 0 0 1 3 0 1 3 0 0 0 0 1 1 0 0 1 0 4 1 0 1 2 1 1 1 0 0 0 2 0 1 0 0 3 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 1 4 0 0
"agreeable" 3 0 3 0 0 2 5 0 2 0 1 0 1 3 5 2 1 7 4 2 6 2 1 1 0 0 2 2 0 1 0 2 3 1 0 2 1 2 3 1 0 2 0 3 2 0 8 1 1 0 1 0 1 2 0 0 3 1 0 5 0 1 2 0 3 2 2 1 0 1 0 0 3 3 1 1 3 1 0 0 8 1 0 0 6 2 1 0 0 1 2 2 4 0 0 12 0 0 0 1 2 6 2 2 15 0 5 2 0 1 5 7 1 3 0 0 1 3 2 5 1 0 3 3 2 1 0 0 0 0 2 2 0 1 3 0 1 1 0 1 0 0 2 0 1 2 6 2 1
"ambitious" 0 0 0 0 0 0 2 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0
"amiable" 1 1 0 2 0 0 3 0 0 0 0 1 0 0 2 1 0 4 1 0 2 3 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 1 1 2 1 2 1 2 0 0 1 0 0 0 0 1 1 0 0 1 0 1 0 3 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 1 3 0 0 0 3 2 0 0 0 0 0 0 1 2 0 3 1 0 1 2 0 1 0 1 2 0 2 1 0 0 1 2 0 2 0 1 1 1 2 1 0 0 1 2 1 0 0 1 0 1 0 2 0 0 0 1 1 0 0 0 0 1 1 1 0 0 2 0 1
"anxious" 3 1 4 5 2 3 0 0 0 1 2 0 2 1 1 3 0 4 3 2 1 2 0 0 1 4 1 2 0 0 1 1 1 2 0 0 1 0 4 1 0 0 3 3 3 0 2 1 0 0 1 0 0 0 0 0 3 1 1 3 2 0 1 0 1 1 2 1 3 4 2 1 2 2 2 2 1 0 0 0 4 2 1 0 3 2 2 1 0 1 1 0 2 1 0 6 0 1 0 0 1 2 1 1 3 0 7 2 0 1 4 3 2 0 0 0 1 1 1 5 1 0 3 1 1 0 3 2 1 0 0 4 1 0 1 0 0 0 1 0 0 3 1 0 0 2 4 2 1
"assured" 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"awkward" 0 1 0 2 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 2 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 1 0 0
"benevolent" 0 0 1 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 2 0 1 0 1 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0
"bitter" 0 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0
"blunt" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0
"bright" 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0
"calm" 0 0 1 3 0 0 1 1 1 0 0 0 0 0 1 0 1 2 0 0 1 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 2 0 0 3 0 0 0 1 0 1 0 0 2 0 2 0 1 0 1 0 0 0 0 0 0 0 0 3 0 1 3 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"capable" 1 0 0 5 1 2 1 1 2 2 1 0 0 1 0 1 0 3 1 0 0 4 0 0 1 2 2 0 1 0 0 0 0 1 0 0 0 1 4 1 1 0 0 3 1 2 2 0 0 1 1 0 1 1 0 0 2 2 1 3 0 0 0 1 1 0 1 0 0 0 0 0 3 0 0 0 1 1 2 2 2 0 0 1 2 0 2 1 1 0 2 1 4 1 0 5 1 0 1 0 0 2 0 1 3 1 5 0 1 0 3 2 0 3 1 0 2 0 1 4 1 0 1 1 0 1 1 0 1 0 0 3 1 1 2 1 2 1 0 0 2 2 1 0 1 2 5 0 0
"careless" 0 0 0 2 0 1 3 0 0 0 0 0 1 0 1 0 0 0 1 0 1 2 0 0 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 2 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 2 1 0 0 0 0 0 3 0 0 0 0 0 0 0 0 3 0 0 0 0 1 1 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0
"cautious" 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"certain" 2 2 1 7 0 4 4 1 0 0 0 0 0 2 3 0 0 0 2 0 1 5 0 2 0 1 3 0 0 0 0 0 0 0 1 0 0 0 1 2 0 1 0 1 0 0 2 0 1 0 0 0 0 1 0 1 0 0 0 2 0 1 0 0 1 1 1 1 0 0 0 0 1 2 0 0 4 0 0 0 2 1 1 0 2 0 0 0 0 1 1 1 2 0 0 7 1 1 0 0 0 4 0 1 4 0 4 1 0 2 3 6 0 2 1 0 2 2 2 3 0 0 2 2 0 0 0 2 0 0 0 2 0 0 3 2 2 1 0 0 0 1 1 0 0 0 0 1 2
"cheerful" 2 0 1 4 0 1 3 0 0 0 0 0 1 0 1 1 0 2 0 1 1 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 2 1 1 1 0 3 0 0 1 0 0 1 0 0 0 0 1 0 0 0 2 1 1 0 1 0 2 1 1 1 1 4 0 0 1 1 1 1 1 0 4 0 2 0 0 0 1 3 0 2 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 2 3 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 1 0
"civil" 2 0 0 2 0 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 4 0 0 1 0 0 0 0 0 0 0 4 0 0 0 1 0 0 0 0 0 0 0 1 0 1 3 0 0 0 0 0 1 1 0 3 0 3 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 2 0 1 0 0 0 0 1 0 0 0 0 0 0 0 2 0 1
"clever" 1 1 1 6 0 2 1 0 0 1 0 0 0 1 0 1 1 1 1 0 0 0 0 0 1 1 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 2 0 0 0 0 0 1 1 0 0 0 0 0 3 0 0 1 0 1 0 1 0 1 0 0 0 0 1 1 0 1 0 0 1 3 0 1 0 1 3 0 0 0 0 0 0 2 0 0 2 0 1 1 1 0 2 0 0 4 0 4 0 0 0 3 0 0 1 0 0 0 0 2 5 0 0 0 2 1 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 1
