"accomplished" "active" "adventurous" "affable" "affectionate" "agreeable" "amiable" "anxious" "aristocratic" "audacious" "awkward" "bitter" "bold" "brave" "bright" "calm" "candid" "capable" "capricious" "careful" "careless" "certain" "cheerful" "childish" "clever" "coarse" "cold" "compassionate" "complacent" "complimentary" "confident" "confused" "congenial" "considerate" "constant" "contradictory" "contrary" "conversational" "cool" "cordial" "cruel" "curious" "dainty" "deep" "defiant" "dependent" "determined" "dignified" "direct" "disdainful" "distant" "distrustful" "dull" "dutiful" "eager" "earnest" "earthy" "elegant" "eloquent" "emphatic" "energetic" "exact" "expressive" "faithful" "fearful" "fierce" "fiery" "foolish" "formal" "frank" "friendly" "gallant" "generous" "genial" "genteel" "gentle" "gloomy" "graceful" "gracious" "hasty" "haughty" "hearty" "honest" "hospitable" "humble" "immovable" "impatient" "indifferent" "industrious" "inflexible" "ingenuous" "inquisitive" "intellectual" "intelligent" "intemperate" "intense" "inward" "jealous" "kind" "languid" "literal" "lively" "loud" "loving" "mercenary" "merry" "methodical" "mild" "modest" "moral" "murderous" "musical" "narrow" "natural" "nervous" "observant" "orderly" "original" "particular" "patient" "peaceful" "placid" "playful" "pleasant" "polite" "practical" "profound" "proper" "proud" "prudent" "punctual" "quick" "quiet" "reasonable" "reproachful" "respectful" "responsible" "restless" "rigid" "rough" "selfish" "sensitive" "serene" "serious" "severe" "shrewd" "shy" "silent" "simple" "slow" "social" "solemn" "speedy" "spirited" "sprightly" "stable" "stalwart" "steady" "stern" "strict" "sunny" "suspicious" "tender" "thoughtful" "tight" "timid" "unreasonable" "unvarying" "vague" "violent" "vivacious" "warm" "whimsical" "wild" "zealous" "worldly" "vigorous" "wise" "vain"
"accomplished" 0 0 0 0 1 3 3 2 1 0 0 0 0 0 1 0 0 0 0 0 0 2 0 1 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 1 1 0 1 0 0 0 0 0 1 0 0 1 1 1 0 0 1 2 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 2 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 1 0 0 1 0 0 0 0
"active" 0 0 0 0 1 3 1 1 0 0 1 0 0 1 0 0 1 0 0 3 0 5 0 0 0 0 3 0 2 0 0 0 0 0 1 1 0 0 2 0 0 1 0 2 0 1 1 0 0 0 3 0 0 0 0 1 1 1 0 1 0 1 1 2 1 0 0 0 0 0 0 1 1 0 0 0 3 0 2 0 1 0 1 0 0 1 0 1 0 0 1 1 0 6 1 1 0 0 1 2 0 0 0 1 0 0 0 1 1 1 0 2 0 4 0 0 0 1 0 0 2 0 2 1 0 1 0 1 2 2 0 1 5 2 0 1 2 1 1 0 0 0 0 0 0 0 1 3 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 1 1 1 1 0 1 1 0
"adventurous" 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 2 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0
"affable" 0 0 0 0 1 0 2 1 1 0 1 0 0 1 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0
"affectionate" 1 1 0 1 0 3 1 1 0 0 0 0 1 1 5 0 1 0 0 1 1 4 2 0 4 0 1 0 1 0 0 1 1 0 2 0 0 0 1 2 0 5 1 0 0 0 1 0 0 0 2 0 1 3 1 1 0 1 1 0 0 1 2 3 0 0 1 0 1 1 1 2 0 1 1 3 1 1 2 1 0 1 1 1 0 0 3 1 2 0 0 1 0 0 0 1 0 1 4 1 1 1 0 2 0 2 0 1 1 0 1 1 0 3 0 0 1 0 2 2 0 0 0 3 1 1 1 2 0 0 0 3 5 0 0 2 1 0 0 2 1 0 0 2 3 1 2 3 3 0 1 0 1 1 0 0 0 3 0 1 0 0 2 2 1 2 1 1 1 0 0 1 0 2 1 0 0 1 1
"agreeable" 3 3 0 0 3 0 5 6 1 0 0 0 3 0 7 2 3 4 0 2 1 7 4 2 1 1 6 0 2 0 2 2 0 0 0 1 2 3 1 0 0 7 0 2 2 0 3 1 2 1 6 0 5 1 2 5 1 2 3 0 0 1 2 3 1 0 0 3 0 0 2 1 3 3 2 3 1 1 1 0 0 1 0 2 1 0 1 3 3 0 3 0 2 2 2 0 1 0 4 2 2 1 3 2 0 2 1 1 1 3 0 1 2 6 1 2 1 1 4 1 1 0 3 12 3 7 4 2 3 1 0 3 7 2 1 0 4 0 1 3 0 0 2 2 3 0 1 5 4 3 3 2 0 2 2 0 0 3 1 0 0 1 2 2 3 0 2 0 0 3 2 1 1 1 1 3 0 1 1
"amiable" 3 1 1 2 1 5 0 4 2 0 0 0 0 0 3 1 1 0 0 1 0 4 2 2 1 0 4 0 1 0 0 1 0 0 0 1 1 0 1 0 1 3 0 1 0 1 2 1 1 1 2 0 3 1 1 2 0 2 0 0 0 0 0 3 1 1 0 3 0 1 1 0 2 0 2 1 0 1 2 0 1 0 1 0 0 1 0 1 1 1 0 0 0 0 0 1 0 1 4 2 1 0 0 0 0 0 0 1 1 0 0 1 3 7 0 0 0 0 0 0 0 1 1 4 0 2 1 2 3 0 0 3 4 0 1 0 0 0 0 1 0 0 0 0 1 1 1 0 2 0 0 0 0 1 0 2 0 0 0 0 1 0 1 1 1 2 1 0 0 1 0 3 1 1 2 2 0 0 0
"anxious" 2 1 1 1 1 6 4 0 1 0 0 0 1 0 6 1 3 2 0 2 3 9 4 2 0 0 4 0 0 0 2 2 0 1 1 0 0 0 2 2 2 7 0 2 0 0 1 0 0 0 1 0 3 2 3 2 0 1 1 0 0 0 0 1 1 1 1 0 1 0 2 1 1 0 1 3 2 0 2 3 1 0 5 0 1 0 1 0 0 1 0 0 2 0 0 0 0 0 6 2 0 0 2 2 1 0 0 2 1 0 0 1 5 6 1 2 1 0 3 0 0 2 1 8 0 3 0 4 2 0 1 4 7 2 0 0 0 3 0 0 2 2 2 2 2 0 1 0 4 4 0 0 0 0 0 2 0 0 0 0 1 0 1 4 0 0 2 0 2 1 1 3 1 2 0 2 0 0 1
"aristocratic" 1 0 0 1 0 1 2 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 2 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0
"audacious" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0
"awkward" 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"bitter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 2 0 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"bold" 0 0 0 0 1 3 0 1 0 0 0 0 0 0 1 0 0 2 0 0 1 2 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 3 0 1 0 0 1 0 1 0 1 0 0 0 2 1 0 0 1 0 0 1 0 0 0 0 1 1 0 1 0 0 2 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 2 0 0 0 0 2 1 1 0 1 1 0 0 0 2 0 0 0 0 1 0 2 0 0 1 1 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0
"brave" 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 3 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0
"bright" 1 0 1 0 5 7 3 6 0 2 0 1 1 0 0 3 0 1 2 4 0 10 5 2 2 1 13 1 2 2 0 1 1 3 2 1 0 0 3 2 2 12 2 7 0 1 2 1 0 3 12 1 6 1 4 4 1 1 0 0 1 1 1 2 0 0 2 3 1 1 3 2 2 1 2 5 1 2 3 1 1 1 5 2 0 3 1 6 0 3 3 0 0 0 0 2 0 0 9 2 1 1 4 1 2 1 2 1 0 0 1 2 3 14 0 2 2 1 9 2 1 1 0 11 4 3 1 2 8 0 4 9 11 0 0 0 4 3 0 3 2 0 3 2 1 0 1 6 2 3 0 3 0 1 2 3 2 2 2 2 1 0 1 5 2 1 1 0 1 2 0 5 1 4 1 2 2 1 1
"calm" 0 0 0 0 0 2 1 1 0 0 0 0 0 0 3 0 0 1 1 2 0 1 0 1 1 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 2 0 2 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0
"candid" 0 1 1 0 1 3 1 3 0 0 0 0 0 0 0 0 0 1 0 0 1 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 1 1 0 0 0 1 2 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 3 3 1 3 0 1 0 0 0 1 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 2 0 0 1 0 0 1
"capable" 0 0 0 0 0 4 0 2 1 0 1 0 2 0 1 1 1 0 0 1 1 1 3 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0 2 1 0 0 1 1 0 3 0 0 0 0 0 1 2 0 0 0 0 0 1 2 1 0 1 1 1 0 0 0 0 0 2 0 0 0 1 0 0 1 1 1 0 0 0 1 0 0 1 0 0 0 3 0 0 0 0 0 0 0 0
"capricious" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 2 0 1 0 1 0 0 0 0 0
"careful" 0 3 0 0 1 2 1 2 0 0 0 0 0 0 4 2 0 1 1 0 2 4 1 3 0 0 0 0 0 0 0 2 1 2 1 0 0 0 0 1 2 5 0 5 0 1 0 0 0 0 2 0 2 0 0 3 0 1 0 0 1 0 0 2 0 0 1 0 0 1 1 0 1 1 0 1 1 0 0 3 0 0 1 1 1 1 1 1 1 0 1 0 0 2 1 1 0 0 1 1 0 1 2 1 0 0 0 0 0 0 1 1 3 2 0 0 0 0 5 0 0 0 1 5 0 1 0 1 0 1 0 0 6 1 1 0 0 0 1 0 1 0 0 2 0 0 0 0 2 0 0 0 0 0 1 0 0 1 1 1 1 0 1 0 0 1 1 1 1 0 0 3 0 1 1 0 0 1 0
"careless" 0 0 0 0 1 1 0 3 0 0 0 0 1 0 0 0 1 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 2 0 0 0 0 1 0 1 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 2 0 0 0 0 3 0 1 0 0 0 1 0 1 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 2 0 1 2 0 0 0 1 0 1 0
"certain" 2 5 1 3 4 7 4 9 0 1 1 1 2 1 10 1 2 1 0 4 1 0 5 2 2 1 4 1 0 0 2 3 1 1 2 0 1 1 4 1 1 4 1 7 0 2 0 1 1 0 4 0 2 0 4 7 1 2 2 1 1 2 2 8 3 1 3 3 2 0 3 2 5 1 2 2 1 0 3 1 0 2 4 1 2 0 2 2 0 2 0 1 1 1 0 1 1 1 8 3 1 2 1 0 0 1 0 1 3 2 0 3 3 15 1 2 1 2 8 1 1 2 3 13 1 5 2 2 5 1 0 6 15 2 0 1 3 5 0 5 0 1 1 3 2 0 1 4 2 3 0 4 1 0 1 4 1 8 1 0 0 1 0 1 2 2 2 0 1 1 1 2 2 4 2 3 0 1 1
"cheerful" 0 0 0 0 2 4 2 4 0 0 0 0 1 0 5 0 0 3 0 1 0 5 0 1 0 1 3 1 0 0 1 1 0 0 0 0 0 1 0 1 0 6 0 3 0 0 0 1 0 0 1 0 2 1 1 1 0 0 0 0 0 0 0 3 0 2 0 2 0 1 2 0 2 0 0 4 2 0 1 0 0 0 3 0 0 1 0 0 1 0 0 0 0 0 0 1 1 1 1 0 0 2 1 3 0 1 1 0 0 2 0 1 1 2 1 0 1 0 3 1 0 0 0 5 0 2 0 0 2 1 0 2 9 1 0 0 0 0 0 3 1 0 3 2 0 0 0 3 2 0 0 0 1 0 0 0 0 2 1 0 2 1 1 3 0 0 1 0 0 1 0 1 0 3 0 1 1 0 0
"childish" 1 0 0 0 0 2 2 2 1 0 0 0 0 0 2 1 0 0 0 3 0 2 1 0 0 0 4 0 0 0 0 2 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 2 1 0 1 0 0 0 1 0 0 1 0 1 2 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 2 2 1 0 0 0 0 1 0 0 0 3 0 3 0 1 1 0 1 3 4 0 1 0 0 0 0 1 0 1 0 1 0 0 0 2 1 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 1 0 0 0
"clever" 0 0 0 1 4 1 1 0 0 0 0 0 1 0 2 1 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 2 0 0 0 0 0 0 1 1 0 0 0 1 2 1 1 1 0 2 1 0 1 0 1 1 1 0 0 0 0 0 1 3 0 0 0 1 0 0 1 0 0 0 0 1 1 1 1 1 0 1 0 0 1 0 0 0 0 1 1 0 0 0 2 0 1 1 0 0 1 0 1 0 2 1 0 0 0 1
"coarse" 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0
