"accomplished" "active" "affected" "affectionate" "agreeable" "amiable" "anxious" "aristocratic" "awkward" "benevolent" "bright" "calm" "candid" "capable" "careful" "careless" "cautious" "certain" "charitable" "cheerful" "civil" "clever" "cold" "confident" "confused" "consistent" "constant" "contrary" "cool" "cordial" "courteous" "cruel" "curious" "deep" "dependent" "determined" "direct" "distant" "durable" "dutiful" "eager" "earnest" "elegant" "eloquent" "exact" "extravagant" "fearful" "fervent" "foolish" "formal" "friendly" "gallant" "generous" "gentle" "gentlemanlike" "hardened" "hasty" "headstrong" "hearty" "honest" "hospitable" "humble" "ignorant" "impatient" "imprudent" "inconsistent" "independent" "indifferent" "indiscreet" "intelligent" "intimate" "jealous" "kind" "lavish" "lively" "mature" "merciful" "moderate" "modest" "moral" "natural" "negative" "nervous" "noisy" "obliging" "observant" "particular" "patient" "pensive" "pleasant" "polished" "polite" "proper" "proud" "prudent" "quick" "quiet" "rational" "reasonable" "responsible" "rigid" "rough" "scrupulous" "selfish" "serious" "severe" "shy" "silent" "simple" "sincere" "solicitous" "spontaneous" "steady" "stern" "strict" "submissive" "suspicious" "sympathetic" "thorough" "thoughtful" "unaffected" "unkind" "vague" "vain" "vigorous" "violent" "warm" "wild" "wise" "zealous" "worldly" "unbending"
"accomplished" 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"active" 0 0 0 0 2 0 2 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 2 0 1 0 1 1 3 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 1 1 1 0 0
"affected" 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"affectionate" 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"agreeable" 0 2 0 1 0 3 5 0 3 0 2 1 1 0 3 2 2 5 1 1 2 2 6 0 0 1 3 0 1 1 1 2 1 2 0 5 2 2 1 1 4 0 4 0 0 1 2 0 1 1 2 1 2 3 1 0 2 0 0 0 2 1 1 2 1 1 1 2 0 0 2 1 5 0 3 1 1 2 1 1 6 0 1 1 0 2 6 1 0 4 1 2 7 0 2 1 2 3 2 0 0 0 1 2 4 1 1 4 0 0 1 1 2 1 0 1 1 1 0 1 0 1 1 1 0 2 7 1 1 0 3 0
"amiable" 0 0 0 0 3 0 1 0 0 0 0 0 1 1 0 2 1 2 1 0 0 1 1 0 1 0 2 0 0 0 0 1 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 2 0 1 0 1 1 0 1 0 0 2 0 0 0 0 1 2 0 0 0 0 1 1 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 2 1 0 0 1 0 0 0 1 1 0 0 0 1 4 0 0 0 1 0
"anxious" 1 2 1 0 5 1 0 1 1 1 2 0 0 3 0 0 1 2 1 2 4 2 1 1 1 1 0 0 0 0 1 1 0 0 1 2 0 1 0 0 2 1 2 1 1 1 2 1 0 0 3 0 1 4 1 0 1 1 0 1 0 0 0 2 0 0 1 0 1 0 1 2 2 1 2 0 0 0 1 0 3 1 0 0 0 1 1 0 0 1 0 1 2 0 2 2 1 3 3 0 1 0 0 2 2 2 0 0 1 1 2 1 0 0 1 0 1 1 0 0 0 1 0 0 1 0 2 2 1 1 1 1
"aristocratic" 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0
"awkward" 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"benevolent" 0 0 0 0 0 0 1 1 0 0 0 0 0 2 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 1 0 0 1 0 0 0 2 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0
