"MR1";"MR2";"MR3"
"#-beautiful";0.229618556914674;-0.0543379495775069;0.288644450053866
"accustomed";0.520039258525344;0.116766115223255;0.179139740774904
"adventure";0.0276062808745314;0.781364412228125;-0.234687067518317
"afraid";0.101784895707145;-0.104038247223759;0.228617675371578
"almighty";0.229618556914673;-0.0543379495775065;0.288644450053865
"beautiful";0.691182730333184;0.205980413617101;-0.0662194804718892
"best";0.36817922268926;0.172236052829753;0.302560659293243
"blessed";0.236988772459644;0.109894694618675;0.031778846886829
"brave";0.341239205935702;-0.0491252794100579;0.279971971391445
"calm";0.388886343683053;0.337870283306904;0.124246735858224
"capable";0.785701379073157;0.145599248902595;0.0344901085213494
"cheerful";0.716943991638161;0.0781905623897713;-0.014473854418921
"clean";0.7129085834769;-0.0192013012447894;0.0160275495569285
"clever";0.0579422384066155;0.0381871436468274;-0.547678998033735
"comfortable";0.345636835907809;0.0962063956418111;0.123306272702163
"competent";0.182138923626432;0.00280277754255091;0.159891770820642
"complex";0.115730069694376;0.202964425737824;-0.0572992877845264
"confident";0.0714587962693952;0.408672670055291;0.0505306461297624
"cruel";0.251432394038546;-0.0323201466991567;-0.517909052649219
"dangerous";0.180538862408505;0.0808466335029332;0.320856368774729
"delicate";0.21161515976494;-0.0850298705399426;0.117882013558098
"delicious";0.21022005027741;0.0108639530991096;0.039237270182192
"delighted";0.60316003910528;-0.11567720470584;0.0113744987085234
"delightful";0.444620526532428;0.0494323478422575;0.0369141644231783
"determined";-0.074387618948646;0.108956723807625;-0.0281768008299234
"different";0.7703022080332;0.0742577856397004;0.0717134140679036
"direct";0.673595412758687;-0.131008221529362;0.0809192413988236
"encouraging";-0.0359130607283688;0.365681055720324;0.234334465554211
"enthusiastic";0.452175103255185;-0.129429019786688;0.149739922365285
"exciting";0.624297282516223;-0.0530428705021126;0.169585948397045
"extraordinary";-0.109272408631501;0.398067380588069;0.267480826877954
"extreme";0.7101462934271;0.102089326348124;0.0458636061778918
"fair";0.623410972620686;0.153262391150681;-0.00869502869507916
"faithful";0.462221583680808;0.253685675888808;-0.398404490646888
"familiar";0.448099854447737;0.257307177109227;0.214276442500386
"fancy";0.316177998468497;0.181107176987104;-0.230395885131456
"free";0.491873545990754;0.239012246931799;0.265121319313867
"generous";0.34185166628318;-0.160708823710492;0.256918345503862
"happier";0.173614067653257;0.718548277304446;0.0339073122057938
"harmless";0.303099607056995;-0.119117579941263;0.264117327518554
"heavenly";0.248600578227519;0.46168146502252;0.313114157849817
"historical";0.297841825248144;0.0488340347094806;0.129289291532627
"holy";0.0276062808745308;0.781364412228124;-0.234687067518317
"honest";0.212076636579001;-0.0581025207791527;0.285452507523544
"intellectual";-0.0359130607283687;0.365681055720324;0.234334465554211
"interesting";0.159904717191604;0.112039247173377;0.420996523898043
"irregular";0.437843634151635;0.071266321900228;0.075043993410611
"liberal";0.0983044373151169;-0.0239471910120561;0.173219075341952
"loose";0.361867637204406;0.0187850927821464;0.252667630731702
"married";0.0579422384066155;0.0381871436468273;-0.547678998033735
"mighty";0.579381944269992;-0.0853027111931925;0.296126230989807
"modest";0.0579422384066155;0.0381871436468273;-0.547678998033735
"moral";0.0918201362754365;0.667611783245067;-0.19681983210765
"mysterious";-0.0266371637067502;0.815131768343089;-0.097323839608
"natural";0.539060398908458;0.421365684842528;-0.236257416059492
"neat";0.403921384665149;0.0165432286128946;0.249211423732879
"original";0.349918549390099;-0.13784975674429;0.189579108732095
"passionate";0.0859130072814389;0.041316583409922;0.1473194109215
"peaceful";0.326189658002889;0.552634856436828;-0.12588146563513
"pleasant";0.538194871722622;0.254742469671478;0.221996316026358
"popular";0.272869602336099;-0.117785197879564;0.00517676800609427
"powerful";0.515348421966728;0.113257513218057;0.10843550121574
"proud";0.0700567470557492;0.26494709273022;0.214405981559815
"prudent";-0.064367271976762;-0.0292459523758703;0.181702176249116
"quiet";0.320870098396897;0.16603013820504;0.286277457594786
"safe";0.281378329462738;0.205707864903055;0.407683294242857
"secure";-0.0316704017733083;-0.0491191843068005;0.265741004241184
"selfish";0.450219575909026;0.111187967300584;0.207367402609291
"sincere";0.149975358380205;0.136121617632234;0.398483426586968
"social";0.624297282516223;-0.0530428705021126;0.169585948397046
"surprising";0.302078437054463;0.32962984313571;0.124497900208384
"unfair";0.436753669264389;0.0400018331451686;-0.0238774289637789
"weak";0.153346342732311;0.0831687313432976;0.4254561233093
"professional";0.134257236941718;-0.0899171288586749;0.228618786429843
"suited";0.0850388760391809;-0.139314575796679;0.088409889567295
"superior";0.589864984142443;0.178238313381823;0.159011826873458
"universal";0.13080823762882;0.0857802707701111;0.00205322715614117
"thoughtful";0.0276062808745307;0.781364412228124;-0.234687067518317
"warmth";0.101784895707146;-0.104038247223758;0.228617675371577
"graceful";0.653349070001865;-0.0886759023004158;-0.106907575717246
"minded";0.187086791018721;0.0197288319726024;0.0805538366159152
"rich";0.589892885916128;0.152086081869706;-0.497991772924941
"uncertain";0.215327117800555;0.548518550342439;-0.129365818006357
"strong";0.278036448895249;0.139858785946132;0.174348536226743
"sacred";-0.0463442746784326;0.669170293070366;0.29719076134316
"welcome";0.0765294376059492;0.203195090092361;0.438447962909623
"wise";-0.109272408631501;0.398067380588069;0.267480826877954
"curious";0.225715759132792;0.242902308496418;-0.0337940143865685
"pleasing";0.248507486167937;0.090179064655059;-0.057953439671234
"worth";0.557952865278881;0.0635655814321062;-0.082438322412823
"kindly";0.430674417412258;-0.07301793041396;-0.108049161067513
"reasonable";0.180377027266589;0.0621238083282214;0.0977621339473556
