"MR1";"MR2";"MR4";"MR9";"MR8";"MR7";"MR11";"MR12";"MR3";"MR6";"MR5";"MR10"
"#-beautiful";-0.0278779036801881;-0.0688973664568514;0.727178463130232;0.0159806241528303;-0.00801267806072216;0.0891453105558344;0.0911826098815531;0.0307264483730634;-0.0520529727911886;-0.0129643467187273;0.134023501747164;-0.0446480060621479
"accustomed";0.359327629689648;0.0412049426878826;0.228093103853226;0.0637027075750403;0.0694429871474901;0.159839156785702;0.494855983375374;-0.177136220934949;-0.00592311772414009;0.108023240135821;-0.0590637199864473;0.113393191476926
"adventure";0.0126805758942264;0.92242514585038;-0.00461663496599076;-0.00848484494816315;-0.0228626338890667;0.0189831053412977;0.036625052051252;-0.00956478809802859;0.0502358559184939;0.0247836421851993;-0.083575222682442;0.0549338102498345
"afraid";0.0934375331559259;-0.056357930859826;-0.112248560547708;0.83240326739682;0.0248138412932865;-0.021778659134411;-0.0930487457676824;0.00890952122399284;-0.0205016641281354;-0.0237346314768989;0.121110293542292;-0.0703836425876462
"almighty";-0.0278779036801881;-0.06889736645685;0.727178463130233;0.0159806241528298;-0.00801267806072276;0.0891453105558355;0.091182609881553;0.0307264483730635;-0.0520529727911884;-0.0129643467187266;0.134023501747163;-0.0446480060621479
"beautiful";0.697620311274667;0.195009482834206;0.0248385789058643;0.0779540053316691;0.209279819734634;0.00457084686223547;0.0831075847728868;0.100501070925139;0.136160309484741;0.228241764084332;0.00670550371523798;-0.119342707510291
"best";0.262825007407245;0.103056535608975;0.111919352409878;0.215850201564785;0.145823163172512;0.0476660949126016;0.134081600968077;0.184484104469173;-0.114549319945487;0.210306590088156;0.252012971833284;0.0125479257741584
"blessed";0.271965327746731;0.167067256481499;-0.117606564523297;0.162053267590042;-0.103355432378659;-0.115346559645951;0.145017947113569;0.480694314922752;0.0446967551659315;0.0836779237229536;-0.0180727864122245;-0.12539931887105
"brave";0.13201962063477;-0.0276948392747192;0.613989916214261;0.00982525469594395;0.00236090962227873;0.199042096653444;0.159088455406817;0.015031098599811;-0.0477317477964418;-0.0928556329379639;0.0788061556111802;-0.146656752916319
"calm";0.276634278567877;0.284396369867606;0.336438736986094;0.166853159790252;0.0336001691395935;-0.0786655923125597;0.0838553339250561;0.0473001666242641;-0.0840047325786451;0.232446810577919;0.0505890077869399;0.210499689475486
"capable";0.658016383604877;0.124586689552709;0.283906539963103;0.0529023667576555;0.31121046769904;0.0574030007059816;0.125984386148835;0.0406105791192145;-0.00454590756496013;-0.0180979073114769;-0.00448057420524057;0.160711774434223
"cheerful";0.739543445543522;0.0648988621638893;0.186899372683256;0.048150500669234;0.0195181330328819;-0.0547172399753419;0.0336263759000568;0.11869448942955;0.0312932784250438;0.0614626230254767;0.157919333914227;0.0125673296458982
"clean";0.753060560774521;-0.0399391201969722;-0.105499503781018;0.111392271969009;0.103173468111023;-0.119800594388284;0.240348557423751;0.0743965179562811;-0.0309516835325323;0.0878163798194593;0.18129432704208;0.0497309744901222
"clever";-0.0114418786092174;0.0352366311152757;0.0165300824089564;-0.0352676261538383;-0.0642794107810857;-0.0444801085872072;-0.0414259409359273;-0.0501208745962631;0.853747757314835;-0.0352965633708398;-0.0360494658526507;-0.00624560060836475
"comfortable";0.0745742800630644;0.104864730328087;-0.110015138584738;0.137761168145657;0.487663276353509;-0.0980098740599825;0.370207056214084;0.373800548768487;0.036226724567519;-0.00810955470713182;0.283397061360475;0.171846419983089
"competent";0.0759561959939946;0.0272769145403928;0.169945079863583;0.122788871760068;0.0462503910057442;-0.0755152513791028;-0.04859230806405;-0.0304242795270917;-0.0655416213543021;-0.0470674692740142;0.787447201012416;-0.0430769196105805
"complex";0.194297545728156;0.129638784205703;-0.0121301579076618;-0.107907022492742;-0.073244112419033;0.020158729208428;-0.104512021855622;0.170919558069116;-0.101196029771184;-0.134878905421402;-0.0238867856292069;0.403596785281662
"confident";0.123250630760623;0.127571754513516;-0.107341431375392;-0.0557264900952858;0.00717342183175333;0.254124245432855;-0.0632967634667653;-0.0359380017071111;-0.0207811540331351;0.142140040087485;0.0543908152499598;0.600607657444753
"cruel";0.119190859807648;-0.0217571565753607;-0.0361460231402595;-0.097817719524138;0.264727156630832;-0.0254645170051486;0.0638850911332556;-0.114970924353325;0.750993027138629;-0.0639795333020213;-0.0612085176498367;-0.0110411630472973
"dangerous";0.0471031819551498;0.016613087773325;0.27261988972433;-0.0959805918397291;-0.0277795213855407;0.287418013814612;0.192655673514166;0.561103393873;-0.111579228763759;-0.173087374676503;-0.065026221120603;0.0967929356862077
"delicate";0.281514103058857;-0.112754720104859;-0.09669050838047;-0.219306641922759;-0.140977573596891;0.223232128708618;0.373879396684797;-0.286164820333914;-0.0994722418124847;0.00757683702637771;0.159639226918842;-0.228434999793155
"delicious";0.217272753989641;0.0571587053548942;0.3000716418883;-0.232744576609668;-0.0457055230820214;0.0453815180479261;-0.169707457706143;-0.0903729324472888;-0.0582184774347084;-0.06507777058144;0.547768975091414;-0.234739049128151
"delighted";0.540406751699668;-0.114544783197885;-0.0175246594784734;-0.0682390763998252;0.226935370230229;0.0298543245651988;0.399473621709648;-0.124462097621295;-0.0114700712976607;-0.0116539429649235;-0.0388744765308081;-0.0130973819198056
"delightful";0.433015562217809;0.0504547818320181;0.500074740654787;-0.0906128742869217;-0.139307955140023;0.119081384451176;-0.125960447260609;-0.0242798315227595;0.137011833969727;0.0420082440376141;0.310957056515377;-0.261632226239288
"determined";-0.0814294655163553;0.188079294005758;-0.00251672874954765;0.000906151042799966;0.0429569293043789;-0.0643844948637422;-0.0660978567916296;0.0109989495258703;-0.08281911610725;-0.0571338096844558;0.0662597739626492;-0.0299930822649086
"different";0.59634082755568;0.0429032282436465;0.189278901099528;0.0889466593599597;0.388089618343432;0.0596929620003108;0.193923900540846;0.138946026430638;0.0869990536124097;0.0370696796839893;0.11008879303754;0.0631010484158727
"direct";0.422447002977583;-0.100811550937343;0.4460908451608;0.0641411127575567;0.49926985410801;-0.0471458603950365;0.199025470158452;-0.0221498825539197;-0.0128124424316396;-0.00434548847967612;-0.227197394496394;0.0427292918601458
"encouraging";0.0172593540958417;0.0561996862482298;-0.0474824841025013;-0.0455742855781611;-0.00946476892167972;0.162159216125583;0.0108823542941946;-0.080705939291019;-0.0581296906502547;0.829574299408719;-0.00890137019601926;0.0482477394453117
"enthusiastic";0.524349807870489;-0.208457683356709;0.0920754432059254;0.0649147069694172;-0.187349563067023;0.216686138278478;0.246922219813264;-0.0943196848252317;-0.0782263504557594;-0.128084291380039;-0.146922799664436;0.0967940650660862
