"affectionate" "alone" "beautiful" "bitter" "blind" "bright" "busy" "calm" "capable" "cheerful" "cold" "delighted" "devoted" "evil" "excellent" "expressive" "fair" "familiar" "fortunate" "generous" "gentle" "good" "great" "happy" "hard" "ignorant" "innocent" "kind" "little" "lively" "lovely" "natural" "old" "open" "peaceful" "pleasant" "poor" "rude" "sad" "satisfied" "short" "strange" "surprised" "sweet" "terrible" "unhappy" "violent" "warm" "wonderful" "young"
"affectionate" 0 1 0 0 1 0 0 1 0 1 0 0 0 0 3 0 0 0 1 2 2 2 1 1 0 1 1 0 3 1 1 0 2 0 0 1 2 1 1 1 0 2 1 1 0 2 0 1 2 2
"alone" 1 0 3 6 3 0 2 1 2 0 3 0 3 0 3 1 0 1 1 2 2 4 4 5 1 2 2 0 3 0 4 2 1 1 2 0 3 1 0 3 0 2 0 2 2 1 0 0 1 0
"beautiful" 0 3 0 2 2 1 1 2 3 3 2 1 2 1 3 1 5 1 0 0 4 4 7 7 1 0 1 0 4 0 7 2 6 1 2 2 5 1 4 0 2 3 1 4 2 2 3 0 3 2
"bitter" 0 6 2 0 3 0 2 1 5 0 5 0 3 2 3 1 2 0 0 3 4 4 8 6 1 2 5 2 3 0 3 2 2 1 1 0 6 1 2 2 2 2 0 1 0 1 0 2 2 1
"blind" 1 3 2 3 0 1 0 0 1 3 1 0 2 1 3 0 1 2 0 2 4 6 4 4 0 2 1 1 6 1 4 0 5 0 1 1 3 2 1 0 0 2 0 1 1 3 0 0 2 1
"bright" 0 0 1 0 1 0 1 2 1 2 1 2 1 0 0 0 1 2 1 0 3 0 1 3 0 0 0 0 5 0 3 1 0 0 1 1 3 0 0 1 2 1 1 3 0 3 2 1 0 2
"busy" 0 2 1 2 0 1 0 2 3 0 1 1 1 0 1 0 0 0 2 0 1 2 3 1 0 0 0 0 1 0 2 2 0 3 2 0 1 0 0 2 1 2 0 1 1 0 1 0 1 1
"calm" 1 1 2 1 0 2 2 0 1 0 5 0 1 1 1 2 2 2 3 0 1 4 6 6 0 1 2 1 6 1 2 2 2 2 2 2 3 0 2 4 4 5 1 2 1 4 3 1 2 2
"capable" 0 2 3 5 1 1 3 1 0 2 5 1 0 1 1 0 2 0 1 0 3 4 6 6 1 0 3 2 2 0 2 2 3 4 1 2 3 1 1 3 3 2 2 3 2 1 1 1 1 3
"cheerful" 1 0 3 0 3 2 0 0 2 0 2 1 1 0 4 0 4 2 1 0 5 4 4 9 0 1 0 2 5 0 5 1 5 1 0 2 2 2 2 0 2 3 0 2 2 2 0 1 2 4
"cold" 0 3 2 5 1 1 1 5 5 2 0 3 1 4 3 2 3 0 1 1 8 8 9 8 1 4 3 2 6 3 3 2 5 4 1 5 5 0 2 4 5 7 3 5 4 2 2 2 2 3
"delighted" 0 0 1 0 0 2 1 0 1 1 3 0 0 0 1 0 1 0 0 0 3 2 1 1 0 0 0 0 2 1 3 0 2 1 0 1 4 0 1 0 1 2 1 3 1 1 0 1 1 3
"devoted" 0 3 2 3 2 1 1 1 0 1 1 0 0 0 1 1 1 1 0 1 2 2 3 3 1 1 1 0 2 0 3 2 0 0 1 1 2 0 0 1 0 1 1 0 0 2 0 0 1 1
"evil" 0 0 1 2 1 0 0 1 1 0 4 0 0 0 0 0 1 1 0 1 2 5 4 4 1 1 2 1 3 1 0 1 2 0 1 1 1 0 2 0 1 1 0 1 0 2 0 0 2 0
"excellent" 3 3 3 3 3 0 1 1 1 4 3 1 1 0 0 1 3 2 0 3 5 4 7 3 0 0 3 1 4 1 5 3 6 0 1 2 4 2 3 1 2 4 1 2 0 2 1 1 6 4
"expressive" 0 1 1 1 0 0 0 2 0 0 2 0 1 0 1 0 1 0 0 0 2 4 2 3 1 0 0 1 3 1 1 2 1 0 0 0 2 1 0 1 1 1 2 2 0 1 2 0 1 2
"fair" 0 0 5 2 1 1 0 2 2 4 3 1 1 1 3 1 0 1 0 1 4 3 4 4 1 0 3 2 5 1 4 1 4 0 0 2 6 1 2 0 2 1 0 4 0 1 1 1 1 2
"familiar" 0 1 1 0 2 2 0 2 0 2 0 0 1 1 2 0 1 0 1 0 1 3 3 4 2 0 1 0 6 0 2 2 3 0 0 1 2 2 1 0 3 2 0 1 1 2 1 0 2 1
"fortunate" 1 1 0 0 0 1 2 3 1 1 1 0 0 0 0 0 0 1 0 0 0 2 3 3 1 1 0 2 4 0 1 1 2 3 1 0 1 1 0 1 2 2 0 2 0 0 1 0 0 1
"generous" 2 2 0 3 2 0 0 0 0 0 1 0 1 1 3 0 1 0 0 0 3 4 4 2 1 2 4 2 2 0 2 0 1 0 0 0 5 0 1 0 0 2 0 0 0 1 0 0 2 1
"gentle" 2 2 4 4 4 3 1 1 3 5 8 3 2 2 5 2 4 1 0 3 0 7 10 7 1 3 2 1 11 3 9 1 7 1 1 4 6 3 2 0 5 7 3 6 1 6 2 2 5 8
"good" 2 4 4 4 6 0 2 4 4 4 8 2 2 5 4 4 3 3 2 4 7 0 12 11 3 4 4 6 14 3 8 5 10 3 1 2 7 3 3 3 5 8 4 4 4 2 2 0 4 7
"great" 1 4 7 8 4 1 3 6 6 4 9 1 3 4 7 2 4 3 3 4 10 12 0 14 2 3 5 7 16 1 6 7 9 7 2 6 9 2 4 3 5 13 3 2 2 4 2 4 8 3
"happy" 1 5 7 6 4 3 1 6 6 9 8 1 3 4 3 3 4 4 3 2 7 11 14 0 3 2 5 6 13 2 6 3 6 3 2 3 8 2 5 5 2 8 4 6 3 7 2 4 5 7
