"alone" "bad" "certain" "cold" "curious" "fine" "glad" "good" "great" "happy" "hard" "little" "natural" "old" "plain" "poor" "proud" "quiet" "remarkable" "short" "strong" "young"
"alone" 0 2 2 3 2 3 3 10 9 1 2 13 2 5 2 5 5 6 3 3 3 7
"bad" 2 0 5 1 3 5 2 18 12 4 3 22 2 13 4 14 2 4 3 8 8 16
"certain" 2 5 0 4 0 3 3 9 6 1 2 10 1 8 1 4 0 6 3 2 3 7
"cold" 3 1 4 0 2 2 5 10 8 4 3 12 4 6 0 2 3 3 3 2 2 6
"curious" 2 3 0 2 0 2 2 8 8 2 2 9 2 7 2 6 2 2 1 3 2 9
"fine" 3 5 3 2 2 0 4 12 11 4 6 11 3 9 3 3 3 5 1 3 2 10
"glad" 3 2 3 5 2 4 0 8 9 6 2 10 2 4 2 3 4 4 3 3 2 7
"good" 10 18 9 10 8 12 8 0 43 13 15 61 10 37 11 26 8 20 9 19 15 39
"great" 9 12 6 8 8 11 9 43 0 13 9 48 8 33 10 18 8 15 10 17 14 33
"happy" 1 4 1 4 2 4 6 13 13 0 2 15 2 6 4 5 1 4 2 4 4 7
"hard" 2 3 2 3 2 6 2 15 9 2 0 12 4 9 3 5 2 2 2 3 1 9
"little" 13 22 10 12 9 11 10 61 48 15 12 0 11 42 11 28 8 22 11 20 15 40
"natural" 2 2 1 4 2 3 2 10 8 2 4 11 0 5 0 5 3 4 3 4 2 10
"old" 5 13 8 6 7 9 4 37 33 6 9 42 5 0 3 19 6 14 7 10 6 25
"plain" 2 4 1 0 2 3 2 11 10 4 3 11 0 3 0 6 0 1 2 5 4 7
"poor" 5 14 4 2 6 3 3 26 18 5 5 28 5 19 6 0 2 9 3 9 6 17
"proud" 5 2 0 3 2 3 4 8 8 1 2 8 3 6 0 2 0 4 3 1 1 7
"quiet" 6 4 6 3 2 5 4 20 15 4 2 22 4 14 1 9 4 0 3 8 6 13
"remarkable" 3 3 3 3 1 1 3 9 10 2 2 11 3 7 2 3 3 3 0 5 1 8
"short" 3 8 2 2 3 3 3 19 17 4 3 20 4 10 5 9 1 8 5 0 4 10
"strong" 3 8 3 2 2 2 2 15 14 4 1 15 2 6 4 6 1 6 1 4 0 10
"young" 7 16 7 6 9 10 7 39 33 7 9 40 10 25 7 17 7 13 8 10 10 0
