"affectionate" "afraid" "agreeable" "angry" "anxious" "ashamed" "bad" "capable" "certain" "charming" "delightful" "excellent" "extraordinary" "fair" "fine" "fortunate" "glad" "good" "great" "handsome" "happy" "interesting" "kind" "little" "lively" "natural" "old" "pleasant" "pleased" "pleasing" "poor" "proper" "proud" "respectable" "satisfied" "sensible" "serious" "short" "strong" "surprised" "young"
"affectionate" 0 5 2 1 3 3 2 1 2 2 1 2 0 4 1 1 2 12 10 2 9 0 3 13 2 3 0 1 2 4 4 3 2 0 3 1 2 2 4 1 9
"afraid" 5 0 7 4 5 5 6 4 11 5 5 4 5 4 4 5 8 25 19 5 13 2 4 24 1 5 3 6 7 4 6 5 4 3 6 5 6 11 3 5 15
"agreeable" 2 7 0 2 6 4 3 3 11 6 5 9 0 6 4 5 7 22 23 9 16 4 3 20 5 3 3 6 10 7 3 4 6 3 7 10 4 12 5 9 19
"angry" 1 4 2 0 4 2 0 1 6 0 4 1 3 2 5 1 1 9 10 3 5 0 1 13 3 1 1 2 3 2 1 3 2 0 2 2 3 5 2 3 8
"anxious" 3 5 6 4 0 2 4 2 5 3 3 4 2 3 4 1 4 18 16 6 11 2 3 16 4 1 1 0 4 5 3 0 5 3 2 7 3 7 0 4 12
"ashamed" 3 5 4 2 2 0 1 2 2 1 3 2 3 2 0 1 3 12 11 1 6 2 1 9 2 3 3 2 6 0 2 3 3 2 3 6 4 4 3 1 7
"bad" 2 6 3 0 4 1 0 2 5 1 0 2 1 0 3 2 4 10 10 2 6 0 2 9 1 2 0 2 3 3 4 1 2 3 3 1 1 4 2 2 6
"capable" 1 4 3 1 2 2 2 0 6 1 2 0 0 3 1 1 3 8 8 3 5 3 2 10 2 1 2 2 5 1 5 1 4 1 2 2 2 2 2 4 9
"certain" 2 11 11 6 5 2 5 6 0 4 7 7 5 4 7 4 8 24 21 6 16 2 5 22 2 6 7 7 8 5 6 3 3 5 5 6 5 11 4 5 20
"charming" 2 5 6 0 3 1 1 1 4 0 2 2 2 0 4 4 2 10 12 8 8 2 2 10 1 1 1 1 6 6 1 2 4 3 3 5 3 3 0 3 8
"delightful" 1 5 5 4 3 3 0 2 7 2 0 2 1 4 3 3 2 14 11 4 5 0 2 9 2 2 3 4 1 1 1 1 3 0 4 2 1 6 3 4 8
"excellent" 2 4 9 1 4 2 2 0 7 2 2 0 2 2 4 4 4 12 16 1 8 1 1 9 2 1 2 5 5 3 5 1 1 4 1 8 2 4 4 3 12
"extraordinary" 0 5 0 3 2 3 1 0 5 2 1 2 0 2 5 0 3 10 8 4 4 2 3 10 1 2 3 1 6 0 3 3 2 3 2 5 2 4 1 2 9
"fair" 4 4 6 2 3 2 0 3 4 0 4 2 2 0 1 1 5 12 12 2 9 2 4 14 0 2 2 0 2 1 3 4 1 2 1 7 2 7 3 3 12
"fine" 1 4 4 5 4 0 3 1 7 4 3 4 5 1 0 2 3 12 15 10 6 2 2 14 5 3 6 6 4 5 5 5 5 3 5 3 2 3 2 2 12
"fortunate" 1 5 5 1 1 1 2 1 4 4 3 4 0 1 2 0 2 12 9 4 9 1 0 12 2 1 0 2 5 4 1 3 3 1 1 4 1 3 1 1 9
"glad" 2 8 7 1 4 3 4 3 8 2 2 4 3 5 3 2 0 14 15 5 7 1 5 17 1 3 5 5 5 4 6 3 3 1 2 4 4 3 3 6 18
"good" 12 25 22 9 18 12 10 8 24 10 14 12 10 12 12 12 14 0 59 16 39 10 10 65 10 16 10 10 20 15 19 11 11 11 17 22 11 28 8 13 49
"great" 10 19 23 10 16 11 10 8 21 12 11 16 8 12 15 9 15 59 0 15 34 7 11 59 11 10 8 12 16 15 17 13 11 10 13 21 11 23 9 15 48
"handsome" 2 5 9 3 6 1 2 3 6 8 4 1 4 2 10 4 5 16 15 0 10 4 2 15 4 4 4 6 10 7 4 3 7 3 7 5 1 4 1 3 14
"happy" 9 13 16 5 11 6 6 5 16 8 5 8 4 9 6 9 7 39 34 10 0 4 8 34 4 7 4 4 13 6 2 10 4 5 12 12 9 14 7 7 29
"interesting" 0 2 4 0 2 2 0 3 2 2 0 1 2 2 2 1 1 10 7 4 4 0 3 9 1 3 1 1 3 2 4 0 5 2 4 5 2 3 0 2 7
"kind" 3 4 3 1 3 1 2 2 5 2 2 1 3 4 2 0 5 10 11 2 8 3 0 11 2 3 1 1 1 2 4 0 2 1 2 3 4 3 0 3 10
"little" 13 24 20 13 16 9 9 10 22 10 9 9 10 14 14 12 17 65 59 15 34 9 11 0 12 11 9 12 20 14 20 12 14 5 10 18 10 24 10 14 52
"lively" 2 1 5 3 4 2 1 2 2 1 2 2 1 0 5 2 1 10 11 4 4 1 2 12 0 1 2 4 4 2 3 2 5 2 2 3 1 0 1 0 8
"natural" 3 5 3 1 1 3 2 1 6 1 2 1 2 2 3 1 3 16 10 4 7 3 3 11 1 0 2 4 2 3 4 1 3 3 6 4 3 6 4 3 9
"old" 0 3 3 1 1 3 0 2 7 1 3 2 3 2 6 0 5 10 8 4 4 1 1 9 2 2 0 2 1 1 4 4 2 1 1 3 1 1 2 2 8
"pleasant" 1 6 6 2 0 2 2 2 7 1 4 5 1 0 6 2 5 10 12 6 4 1 1 12 4 4 2 0 5 3 6 1 2 1 1 1 1 2 4 4 8
"pleased" 2 7 10 3 4 6 3 5 8 6 1 5 6 2 4 5 5 20 16 10 13 3 1 20 4 2 1 5 0 5 5 5 6 5 6 8 3 8 4 5 13
"pleasing" 4 4 7 2 5 0 3 1 5 6 1 3 0 1 5 4 4 15 15 7 6 2 2 14 2 3 1 3 5 0 5 3 4 2 3 3 2 4 0 2 12
"poor" 4 6 3 1 3 2 4 5 6 1 1 5 3 3 5 1 6 19 17 4 2 4 4 20 3 4 4 6 5 5 0 0 4 1 3 6 3 4 3 4 14
"proper" 3 5 4 3 0 3 1 1 3 2 1 1 3 4 5 3 3 11 13 3 10 0 0 12 2 1 4 1 5 3 0 0 1 3 4 2 2 2 3 4 9
"proud" 2 4 6 2 5 3 2 4 3 4 3 1 2 1 5 3 3 11 11 7 4 5 2 14 5 3 2 2 6 4 4 1 0 2 3 3 3 3 0 2 8
"respectable" 0 3 3 0 3 2 3 1 5 3 0 4 3 2 3 1 1 11 10 3 5 2 1 5 2 3 1 1 5 2 1 3 2 0 4 7 1 4 0 1 10
"satisfied" 3 6 7 2 2 3 3 2 5 3 4 1 2 1 5 1 2 17 13 7 12 4 2 10 2 6 1 1 6 3 3 4 3 4 0 5 3 8 4 4 12
"sensible" 1 5 10 2 7 6 1 2 6 5 2 8 5 7 3 4 4 22 21 5 12 5 3 18 3 4 3 1 8 3 6 2 3 7 5 0 3 10 2 4 19
"serious" 2 6 4 3 3 4 1 2 5 3 1 2 2 2 2 1 4 11 11 1 9 2 4 10 1 3 1 1 3 2 3 2 3 1 3 3 0 5 0 3 10
"short" 2 11 12 5 7 4 4 2 11 3 6 4 4 7 3 3 3 28 23 4 14 3 3 24 0 6 1 2 8 4 4 2 3 4 8 10 5 0 2 7 16
"strong" 4 3 5 2 0 3 2 2 4 0 3 4 1 3 2 1 3 8 9 1 7 0 0 10 1 4 2 4 4 0 3 3 0 0 4 2 0 2 0 3 7
"surprised" 1 5 9 3 4 1 2 4 5 3 4 3 2 3 2 1 6 13 15 3 7 2 3 14 0 3 2 4 5 2 4 4 2 1 4 4 3 7 3 0 9
"young" 9 15 19 8 12 7 6 9 20 8 8 12 9 12 12 9 18 49 48 14 29 7 10 52 8 9 8 8 13 12 14 9 8 10 12 19 10 16 7 9 0
