"bad" "eager" "excellent" "famous" "fine" "glad" "good" "great" "hard" "honest" "ignorant" "innocent" "little" "old" "open" "pleased" "proper" "rich" "short" "strange" "sweet" "wise" "young"
"bad" 0 0 1 1 0 0 5 7 1 1 0 1 6 0 1 1 1 3 1 2 0 1 2
"eager" 0 0 1 0 1 1 2 2 2 0 0 2 3 0 1 0 0 2 2 0 1 3 1
"excellent" 1 1 0 1 0 2 5 6 1 1 0 1 5 0 1 1 0 2 1 0 2 1 1
"famous" 1 0 1 0 0 0 1 3 0 0 1 0 3 1 1 2 0 2 0 2 0 2 1
"fine" 0 1 0 0 0 1 4 3 1 1 2 1 4 2 3 0 0 0 1 0 0 2 0
"glad" 0 1 2 0 1 0 4 2 1 2 1 1 5 1 1 0 1 0 1 0 3 1 0
"good" 5 2 5 1 4 4 0 16 4 4 5 3 15 4 5 2 3 7 6 4 4 2 8
"great" 7 2 6 3 3 2 16 0 3 2 5 2 17 3 6 2 2 7 6 4 3 5 6
"hard" 1 2 1 0 1 1 4 3 0 0 1 2 2 0 1 0 1 1 3 0 1 1 1
"honest" 1 0 1 0 1 2 4 2 0 0 0 1 4 1 2 0 0 2 1 1 1 0 1
"ignorant" 0 0 0 1 2 1 5 5 1 0 0 0 4 2 2 0 1 2 1 1 2 1 1
"innocent" 1 2 1 0 1 1 3 2 2 1 0 0 3 0 2 0 0 1 1 2 1 1 0
"little" 6 3 5 3 4 5 15 17 2 4 4 3 0 4 6 2 3 8 5 3 3 6 4
"old" 0 0 0 1 2 1 4 3 0 1 2 0 4 0 1 0 1 1 0 2 0 0 0
"open" 1 1 1 1 3 1 5 6 1 2 2 2 6 1 0 2 0 2 2 1 2 2 2
"pleased" 1 0 1 2 0 0 2 2 0 0 0 0 2 0 2 0 0 1 0 1 1 2 1
"proper" 1 0 0 0 0 1 3 2 1 0 1 0 3 1 0 0 0 1 2 0 1 1 1
"rich" 3 2 2 2 0 0 7 7 1 2 2 1 8 1 2 1 1 0 3 2 0 3 2
"short" 1 2 1 0 1 1 6 6 3 1 1 1 5 0 2 0 2 3 0 0 1 3 4
"strange" 2 0 0 2 0 0 4 4 0 1 1 2 3 2 1 1 0 2 0 0 0 1 1
"sweet" 0 1 2 0 0 3 4 3 1 1 2 1 3 0 2 1 1 0 1 0 0 1 1
"wise" 1 3 1 2 2 1 2 5 1 0 1 1 6 0 2 2 1 3 3 1 1 0 2
"young" 2 1 1 1 0 0 8 6 1 1 1 0 4 0 2 1 1 2 4 1 1 2 0
