"affectionate" "afraid" "agreeable" "anxious" "ashamed" "bad" "beautiful" "certain" "charming" "comfortable" "delightful" "eager" "excellent" "extraordinary" "fair" "fine" "glad" "good" "great" "handsome" "happy" "interesting" "kind" "little" "natural" "old" "open" "pleasant" "pleased" "poor" "pretty" "proper" "remarkable" "satisfied" "short" "strange" "strong" "surprised" "sweet" "tired" "young"
"affectionate" 0 1 0 2 2 0 2 2 1 2 2 3 0 0 1 2 3 9 7 2 6 3 2 7 2 3 2 1 1 6 1 0 2 4 5 3 2 0 1 3 6
"afraid" 1 0 4 2 4 0 3 0 1 0 6 0 3 4 2 5 5 13 11 4 4 2 2 10 2 5 4 2 4 5 1 2 1 1 5 3 4 6 2 2 12
"agreeable" 0 4 0 3 1 3 1 1 4 2 4 0 2 2 3 4 5 11 13 3 6 0 1 14 2 5 1 3 2 3 1 1 0 0 6 2 1 1 1 3 11
"anxious" 2 2 3 0 2 2 2 1 3 4 3 2 2 1 5 7 3 7 10 3 6 0 3 10 2 4 4 2 2 3 2 1 0 2 6 5 1 2 3 1 7
"ashamed" 2 4 1 2 0 2 3 1 2 1 2 1 2 1 3 5 4 7 6 1 6 2 4 8 1 4 2 2 1 4 2 0 2 4 5 0 1 4 2 2 6
"bad" 0 0 3 2 2 0 1 1 3 3 1 0 3 2 1 4 1 6 6 3 4 1 2 7 0 4 0 0 0 2 2 0 1 0 5 2 1 1 0 2 4
"beautiful" 2 3 1 2 3 1 0 2 3 1 5 2 1 0 3 7 3 7 9 2 6 2 0 7 1 4 3 2 3 3 2 1 3 2 4 0 2 2 1 2 9
"certain" 2 0 1 1 1 1 2 0 1 2 1 3 2 0 2 4 1 8 5 1 6 2 1 9 1 2 4 2 2 4 2 0 1 0 4 1 0 0 1 1 5
"charming" 1 1 4 3 2 3 3 1 0 2 3 3 4 1 4 4 3 10 8 5 7 2 4 10 2 5 1 2 1 1 1 1 2 3 6 2 2 2 4 5 10
"comfortable" 2 0 2 4 1 3 1 2 2 0 1 2 1 1 1 4 3 5 7 1 5 2 1 9 1 3 3 0 0 4 1 0 1 0 5 4 0 2 0 2 3
