"afraid" "alone" "anxious" "bad" "beautiful" "certain" "cold" "gentle" "glad" "good" "great" "happy" "hard" "little" "loud" "old" "open" "poor" "quiet" "short" "strange" "strong" "sweet" "violent" "young"
"afraid" 0 3 4 8 5 4 6 3 5 17 17 3 2 20 3 20 5 13 3 12 4 8 3 6 20
"alone" 3 0 2 3 5 0 6 3 2 17 15 3 2 14 3 18 4 8 6 11 5 5 3 5 18
"anxious" 4 2 0 5 3 7 7 4 8 19 15 6 1 16 1 20 7 8 7 9 4 6 3 1 20
"bad" 8 3 5 0 3 4 7 4 4 21 19 10 3 17 2 20 6 13 6 9 9 8 6 3 18
"beautiful" 5 5 3 3 0 5 5 6 2 15 15 9 5 14 0 19 3 8 4 6 1 8 3 2 18
"certain" 4 0 7 4 5 0 12 3 3 17 17 5 5 21 3 17 5 12 8 8 4 10 4 4 17
"cold" 6 6 7 7 5 12 0 8 8 28 33 9 8 27 10 34 10 18 8 13 8 12 7 6 26
"gentle" 3 3 4 4 6 3 8 0 4 23 18 10 8 21 1 22 2 14 5 6 5 6 9 3 23
"glad" 5 2 8 4 2 3 8 4 0 18 17 6 2 17 2 19 9 8 5 11 7 6 1 2 19
"good" 17 17 19 21 15 17 28 23 18 0 78 26 19 78 12 90 21 50 22 32 19 28 16 18 85
"great" 17 15 15 19 15 17 33 18 17 78 0 23 17 73 11 83 25 47 21 37 13 28 14 16 81
"happy" 3 3 6 10 9 5 9 10 6 26 23 0 7 25 2 25 4 15 9 11 3 12 7 2 24
"hard" 2 2 1 3 5 5 8 8 2 19 17 7 0 14 1 19 2 11 3 5 4 2 4 5 12
"little" 20 14 16 17 14 21 27 21 17 78 73 25 14 0 14 87 29 45 22 41 17 26 15 13 82
"loud" 3 3 1 2 0 3 10 1 2 12 11 2 1 14 0 15 6 7 3 9 4 5 1 6 11
"old" 20 18 20 20 19 17 34 22 19 90 83 25 19 87 15 0 26 52 24 43 24 33 18 19 97
"open" 5 4 7 6 3 5 10 2 9 21 25 4 2 29 6 26 0 9 3 16 7 9 1 3 26
"poor" 13 8 8 13 8 12 18 14 8 50 47 15 11 45 7 52 9 0 10 16 8 18 11 11 51
"quiet" 3 6 7 6 4 8 8 5 5 22 21 9 3 22 3 24 3 10 0 9 6 10 3 3 21
"short" 12 11 9 9 6 8 13 6 11 32 37 11 5 41 9 43 16 16 9 0 11 13 4 11 43
"strange" 4 5 4 9 1 4 8 5 7 19 13 3 4 17 4 24 7 8 6 11 0 5 4 3 20
"strong" 8 5 6 8 8 10 12 6 6 28 28 12 2 26 5 33 9 18 10 13 5 0 5 7 28
"sweet" 3 3 3 6 3 4 7 9 1 16 14 7 4 15 1 18 1 11 3 4 4 5 0 3 14
"violent" 6 5 1 3 2 4 6 3 2 18 16 2 5 13 6 19 3 11 3 11 3 7 3 0 15
"young" 20 18 20 18 18 17 26 23 19 85 81 24 12 82 11 97 26 51 21 43 20 28 14 15 0
