"alone" "bad" "bright" "certain" "cold" "difficult" "glad" "good" "great" "hard" "little" "natural" "old" "open" "poor" "proud" "quiet" "short" "strange" "strong" "young"
"alone" 0 2 7 4 1 4 1 14 11 4 17 7 9 7 8 4 6 5 4 3 10
"bad" 2 0 1 1 1 3 3 13 9 2 12 2 9 0 8 0 3 6 3 5 9
"bright" 7 1 0 5 5 1 6 19 14 7 21 3 11 5 12 3 4 8 7 6 12
"certain" 4 1 5 0 1 3 5 17 11 7 21 3 14 8 8 1 2 6 7 6 10
"cold" 1 1 5 1 0 1 2 12 9 1 10 1 9 7 7 3 2 4 4 3 7
"difficult" 4 3 1 3 1 0 2 10 7 2 10 3 4 5 8 3 2 2 2 4 7
"glad" 1 3 6 5 2 2 0 12 8 5 16 0 6 4 4 0 1 6 5 2 11
"good" 14 13 19 17 12 10 12 0 39 14 55 8 33 21 25 10 15 18 10 17 38
"great" 11 9 14 11 9 7 8 39 0 13 39 7 21 15 23 8 10 15 8 8 25
"hard" 4 2 7 7 1 2 5 14 13 0 18 3 8 6 10 3 4 5 5 1 11
"little" 17 12 21 21 10 10 16 55 39 18 0 10 35 22 33 10 17 24 18 16 50
"natural" 7 2 3 3 1 3 0 8 7 3 10 0 6 2 8 5 5 2 4 0 7
"old" 9 9 11 14 9 4 6 33 21 8 35 6 0 11 18 6 11 12 12 9 25
"open" 7 0 5 8 7 5 4 21 15 6 22 2 11 0 12 5 5 5 5 6 14
"poor" 8 8 12 8 7 8 4 25 23 10 33 8 18 12 0 4 7 12 11 6 22
"proud" 4 0 3 1 3 3 0 10 8 3 10 5 6 5 4 0 4 2 1 1 9
"quiet" 6 3 4 2 2 2 1 15 10 4 17 5 11 5 7 4 0 8 4 6 14
"short" 5 6 8 6 4 2 6 18 15 5 24 2 12 5 12 2 8 0 4 6 14
"strange" 4 3 7 7 4 2 5 10 8 5 18 4 12 5 11 1 4 4 0 3 10
"strong" 3 5 6 6 3 4 2 17 8 1 16 0 9 6 6 1 6 6 3 0 14
"young" 10 9 12 10 7 7 11 38 25 11 50 7 25 14 22 9 14 14 10 14 0
