"afraid" "alone" "beautiful" "bright" "certain" "cold" "extraordinary" "gentle" "glad" "good" "great" "happy" "hard" "innocent" "kind" "little" "natural" "old" "open" "poor" "proud" "quiet" "short" "strange" "strong" "sweet" "young"
"afraid" 0 15 14 15 14 11 10 11 18 52 43 17 10 10 10 60 12 46 15 29 14 13 24 12 10 10 38
"alone" 15 0 14 9 8 14 8 10 9 40 37 15 12 11 6 54 12 39 5 19 22 11 11 8 10 7 27
"beautiful" 14 14 0 16 13 16 5 13 16 43 47 21 10 11 9 55 13 42 11 22 19 12 20 11 14 15 35
"bright" 15 9 16 0 15 12 11 13 19 42 44 19 10 10 11 56 5 43 10 21 13 16 19 13 11 11 33
"certain" 14 8 13 15 0 13 11 8 18 43 39 11 9 6 6 52 9 40 12 18 13 8 15 5 14 7 28
"cold" 11 14 16 12 13 0 8 12 11 38 46 10 16 9 6 54 10 45 16 25 16 13 18 16 13 11 34
"extraordinary" 10 8 5 11 11 8 0 4 9 32 33 14 1 3 7 40 8 27 5 11 10 11 16 7 5 11 21
"gentle" 11 10 13 13 8 12 4 0 10 24 26 15 5 6 7 36 8 34 11 20 11 12 8 6 8 11 23
"glad" 18 9 16 19 18 11 9 10 0 53 59 26 14 11 19 71 14 52 17 26 16 14 25 13 12 14 48
"good" 52 40 43 42 43 38 32 24 53 0 155 62 36 38 30 191 36 157 42 92 52 34 66 33 36 39 119
"great" 43 37 47 44 39 46 33 26 59 155 0 59 42 31 33 215 42 170 49 81 53 36 74 45 41 37 129
"happy" 17 15 21 19 11 10 14 15 26 62 59 0 9 15 20 68 15 54 16 30 17 22 29 13 15 20 48
"hard" 10 12 10 10 9 16 1 5 14 36 42 9 0 10 7 49 7 41 8 22 9 7 18 8 13 11 33
"innocent" 10 11 11 10 6 9 3 6 11 38 31 15 10 0 11 45 8 32 11 20 14 7 9 7 14 10 31
"kind" 10 6 9 11 6 6 7 7 19 30 33 20 7 11 0 45 11 29 10 20 9 6 12 8 9 12 22
"little" 60 54 55 56 52 54 40 36 71 191 215 68 49 45 45 0 49 198 57 103 64 52 88 53 47 46 156
"natural" 12 12 13 5 9 10 8 8 14 36 42 15 7 8 11 49 0 32 10 19 11 7 14 9 8 8 27
"old" 46 39 42 43 40 45 27 34 52 157 170 54 41 32 29 198 32 0 51 86 56 35 67 43 38 33 122
"open" 15 5 11 10 12 16 5 11 17 42 49 16 8 11 10 57 10 51 0 21 12 13 18 10 15 12 31
"poor" 29 19 22 21 18 25 11 20 26 92 81 30 22 20 20 103 19 86 21 0 30 21 32 21 22 23 64
"proud" 14 22 19 13 13 16 10 11 16 52 53 17 9 14 9 64 11 56 12 30 0 18 14 12 11 11 29
"quiet" 13 11 12 16 8 13 11 12 14 34 36 22 7 7 6 52 7 35 13 21 18 0 12 17 9 16 23
"short" 24 11 20 19 15 18 16 8 25 66 74 29 18 9 12 88 14 67 18 32 14 12 0 21 12 16 50
"strange" 12 8 11 13 5 16 7 6 13 33 45 13 8 7 8 53 9 43 10 21 12 17 21 0 8 11 33
"strong" 10 10 14 11 14 13 5 8 12 36 41 15 13 14 9 47 8 38 15 22 11 9 12 8 0 10 30
"sweet" 10 7 15 11 7 11 11 11 14 39 37 20 11 10 12 46 8 33 12 23 11 16 16 11 10 0 33
"young" 38 27 35 33 28 34 21 23 48 119 129 48 33 31 22 156 27 122 31 64 29 23 50 33 30 33 0
