"afraid" "agreeable" "anxious" "bad" "capable" "certain" "comfortable" "determined" "excellent" "fair" "fine" "glad" "good" "great" "happy" "kind" "little" "lively" "natural" "old" "open" "pleasant" "pleased" "poor" "pretty" "proper" "quiet" "satisfied" "serious" "short" "strong" "useful" "warm" "young"
"afraid" 0 7 7 8 1 1 5 4 4 7 7 9 19 16 15 3 23 5 7 11 3 3 4 11 5 3 6 7 9 10 6 6 2 15
"agreeable" 7 0 5 9 5 7 5 3 6 8 9 11 34 33 20 8 30 6 12 10 8 15 10 6 11 5 7 11 5 10 10 8 6 26
"anxious" 7 5 0 6 1 4 6 4 2 9 7 12 25 25 13 4 29 3 6 9 6 3 4 14 6 7 3 10 5 14 5 4 4 15
"bad" 8 9 6 0 6 5 2 5 6 10 10 8 32 24 14 5 31 2 6 11 3 9 4 17 7 9 6 10 4 9 10 7 0 20
"capable" 1 5 1 6 0 3 2 4 1 3 6 5 15 15 8 2 19 2 5 3 4 3 3 5 3 5 2 4 4 3 4 3 5 6
"certain" 1 7 4 5 3 0 4 1 3 3 2 6 16 13 6 2 17 2 7 10 2 4 4 5 3 4 6 7 3 9 5 3 0 11
"comfortable" 5 5 6 2 2 4 0 4 3 4 7 7 17 16 12 6 21 3 7 9 2 5 2 6 1 1 3 5 3 9 8 5 3 9
"determined" 4 3 4 5 4 1 4 0 2 2 5 7 14 13 10 3 14 2 6 3 2 5 4 3 1 6 1 3 1 6 6 1 1 10
"excellent" 4 6 2 6 1 3 3 2 0 6 2 1 16 16 9 4 15 0 3 6 2 6 5 8 2 6 6 2 3 5 6 4 1 9
"fair" 7 8 9 10 3 3 4 2 6 0 10 11 20 23 9 5 23 3 5 9 3 7 5 15 9 8 4 3 5 6 4 5 2 12
"fine" 7 9 7 10 6 2 7 5 2 10 0 15 31 27 13 3 32 4 6 15 5 11 9 15 8 6 3 6 4 7 6 9 4 16
"glad" 9 11 12 8 5 6 7 7 1 11 15 0 39 34 24 10 43 7 15 16 8 13 8 18 12 7 4 12 9 14 9 8 9 23
"good" 19 34 25 32 15 16 17 14 16 20 31 39 0 94 60 27 109 14 27 37 16 32 25 38 22 21 16 31 20 39 31 27 17 64
"great" 16 33 25 24 15 13 16 13 16 23 27 34 94 0 52 28 95 13 22 32 16 23 19 34 22 18 16 27 20 34 30 24 16 53
"happy" 15 20 13 14 8 6 12 10 9 9 13 24 60 52 0 18 64 11 20 16 11 18 15 23 12 13 12 16 14 20 15 16 12 38
"kind" 3 8 4 5 2 2 6 3 4 5 3 10 27 28 18 0 21 5 7 5 4 8 6 5 3 4 1 7 6 6 9 6 5 13
"little" 23 30 29 31 19 17 21 14 15 23 32 43 109 95 64 21 0 14 26 39 15 26 18 47 20 20 19 32 20 37 31 25 18 63
"lively" 5 6 3 2 2 2 3 2 0 3 4 7 14 13 11 5 14 0 7 7 4 7 5 6 5 4 1 4 5 6 8 1 7 12
"natural" 7 12 6 6 5 7 7 6 3 5 6 15 27 22 20 7 26 7 0 12 6 10 5 11 7 8 5 9 5 12 10 10 5 17
"old" 11 10 9 11 3 10 9 3 6 9 15 16 37 32 16 5 39 7 12 0 5 11 9 19 10 9 8 10 6 13 6 10 4 23
"open" 3 8 6 3 4 2 2 2 2 3 5 8 16 16 11 4 15 4 6 5 0 5 5 8 1 7 2 7 6 5 1 2 4 12
"pleasant" 3 15 3 9 3 4 5 5 6 7 11 13 32 23 18 8 26 7 10 11 5 0 10 9 11 6 6 6 5 8 9 3 6 20
"pleased" 4 10 4 4 3 4 2 4 5 5 9 8 25 19 15 6 18 5 5 9 5 10 0 7 8 6 2 5 5 7 8 4 4 20
"poor" 11 6 14 17 5 5 6 3 8 15 15 18 38 34 23 5 47 6 11 19 8 9 7 0 11 13 6 12 12 12 10 14 8 26
"pretty" 5 11 6 7 3 3 1 1 2 9 8 12 22 22 12 3 20 5 7 10 1 11 8 11 0 3 3 7 6 8 5 3 4 18
"proper" 3 5 7 9 5 4 1 6 6 8 6 7 21 18 13 4 20 4 8 9 7 6 6 13 3 0 4 4 5 7 6 6 3 13
"quiet" 6 7 3 6 2 6 3 1 6 4 3 4 16 16 12 1 19 1 5 8 2 6 2 6 3 4 0 7 2 10 5 7 0 13
"satisfied" 7 11 10 10 4 7 5 3 2 3 6 12 31 27 16 7 32 4 9 10 7 6 5 12 7 4 7 0 5 11 9 8 2 17
"serious" 9 5 5 4 4 3 3 1 3 5 4 9 20 20 14 6 20 5 5 6 6 5 5 12 6 5 2 5 0 9 10 4 6 12
"short" 10 10 14 9 3 9 9 6 5 6 7 14 39 34 20 6 37 6 12 13 5 8 7 12 8 7 10 11 9 0 14 11 5 16
"strong" 6 10 5 10 4 5 8 6 6 4 6 9 31 30 15 9 31 8 10 6 1 9 8 10 5 6 5 9 10 14 0 8 7 20
"useful" 6 8 4 7 3 3 5 1 4 5 9 8 27 24 16 6 25 1 10 10 2 3 4 14 3 6 7 8 4 11 8 0 1 12
"warm" 2 6 4 0 5 0 3 1 1 2 4 9 17 16 12 5 18 7 5 4 4 6 4 8 4 3 0 2 6 5 7 1 0 10
"young" 15 26 15 20 6 11 9 10 9 12 16 23 64 53 38 13 63 12 17 23 12 20 20 26 18 13 13 17 12 16 20 12 10 0
