"afraid" "alone" "beautiful" "bright" "certain" "glad" "good" "great" "happy" "hard" "kind" "little" "natural" "old" "open" "poor" "proud" "quiet" "rich" "short" "strong" "young"
"afraid" 0 10 6 6 6 13 44 37 10 6 10 46 8 32 13 28 10 11 6 11 10 14
"alone" 10 0 8 7 13 11 38 29 6 4 8 44 10 32 6 22 8 13 6 12 12 21
"beautiful" 6 8 0 9 11 11 34 28 10 4 3 44 7 33 10 24 7 15 7 11 11 24
"bright" 6 7 9 0 15 9 37 33 9 8 10 45 7 34 8 22 7 12 10 12 10 16
"certain" 6 13 11 15 0 25 59 47 14 12 12 72 14 52 15 32 11 14 11 28 16 32
"glad" 13 11 11 9 25 0 55 45 15 7 13 61 14 45 13 30 8 17 10 17 13 29
"good" 44 38 34 37 59 55 0 158 41 30 38 224 35 154 45 112 34 52 32 66 51 92
"great" 37 29 28 33 47 45 158 0 39 31 30 195 30 132 38 94 26 40 26 60 52 78
"happy" 10 6 10 9 14 15 41 39 0 5 11 49 11 34 7 32 11 10 8 13 9 18
"hard" 6 4 4 8 12 7 30 31 5 0 3 43 6 29 8 24 2 11 4 12 8 16
"kind" 10 8 3 10 12 13 38 30 11 3 0 39 7 31 5 23 4 13 4 13 9 13
"little" 46 44 44 45 72 61 224 195 49 43 39 0 40 184 57 128 39 62 39 81 63 108
"natural" 8 10 7 7 14 14 35 30 11 6 7 40 0 28 10 17 6 10 6 17 12 18
"old" 32 32 33 34 52 45 154 132 34 29 31 184 28 0 40 97 33 42 21 57 41 74
"open" 13 6 10 8 15 13 45 38 7 8 5 57 10 40 0 28 7 10 7 17 21 23
"poor" 28 22 24 22 32 30 112 94 32 24 23 128 17 97 28 0 25 33 14 32 26 50
"proud" 10 8 7 7 11 8 34 26 11 2 4 39 6 33 7 25 0 6 6 13 5 16
"quiet" 11 13 15 12 14 17 52 40 10 11 13 62 10 42 10 33 6 0 7 10 15 26
"rich" 6 6 7 10 11 10 32 26 8 4 4 39 6 21 7 14 6 7 0 11 6 16
"short" 11 12 11 12 28 17 66 60 13 12 13 81 17 57 17 32 13 10 11 0 25 36
"strong" 10 12 11 10 16 13 51 52 9 8 9 63 12 41 21 26 5 15 6 25 0 25
"young" 14 21 24 16 32 29 92 78 18 16 13 108 18 74 23 50 16 26 16 36 25 0
