"affectionate" "afraid" "agreeable" "alone" "anxious" "capable" "certain" "charming" "cold" "comfortable" "delighted" "delightful" "determined" "eager" "fine" "glad" "good" "great" "handsome" "happy" "interesting" "kind" "little" "natural" "old" "open" "pleased" "poor" "pretty" "proper" "quiet" "respectable" "rich" "satisfied" "serious" "short" "strange" "strong" "surprised" "unhappy" "violent" "young"
"affectionate" 0 3 2 1 0 4 7 0 4 1 1 1 1 4 1 3 16 9 3 10 2 2 10 5 2 6 2 7 2 4 3 0 2 3 3 4 4 5 2 3 2 8
"afraid" 3 0 4 0 3 2 5 3 2 5 3 1 2 4 3 7 11 14 4 9 1 2 14 5 5 3 3 5 3 1 2 1 2 1 2 4 3 0 5 2 2 9
"agreeable" 2 4 0 0 4 1 4 5 4 1 5 4 1 3 3 8 16 15 4 9 1 2 10 4 5 1 8 2 6 0 2 4 1 2 5 7 3 5 4 2 2 9
"alone" 1 0 0 0 4 1 4 0 0 0 1 1 2 0 1 5 8 11 0 8 3 0 12 5 3 2 3 5 2 2 2 0 0 3 1 10 1 4 1 3 0 5
"anxious" 0 3 4 4 0 4 4 3 4 5 2 4 3 1 4 7 17 17 4 10 1 5 14 6 7 4 6 2 5 2 1 1 4 4 4 3 2 7 2 4 5 11
"capable" 4 2 1 1 4 0 4 0 4 4 3 1 1 1 2 4 15 9 2 6 0 1 10 6 7 6 1 1 1 2 3 4 1 1 2 3 1 4 2 4 2 8
"certain" 7 5 4 4 4 4 0 2 1 3 1 3 3 3 3 10 15 15 0 11 5 3 19 6 4 12 4 10 5 4 3 4 3 3 3 10 4 4 8 3 2 15
"charming" 0 3 5 0 3 0 2 0 1 1 4 4 1 2 3 7 9 7 1 6 0 2 7 3 5 3 6 4 3 0 2 0 1 1 0 4 0 2 0 0 2 6
"cold" 4 2 4 0 4 4 1 1 0 2 2 2 1 5 5 1 13 11 7 5 3 2 9 4 6 4 3 2 3 0 2 2 2 4 3 3 1 5 0 2 4 10
"comfortable" 1 5 1 0 5 4 3 1 2 0 4 3 1 3 4 6 13 14 5 9 0 4 17 4 6 4 3 5 0 5 2 4 3 3 3 5 4 3 2 5 0 13
"delighted" 1 3 5 1 2 3 1 4 2 4 0 2 1 2 3 8 11 8 2 6 0 0 8 2 4 2 5 1 2 1 0 3 1 0 2 4 2 4 3 1 1 8
"delightful" 1 1 4 1 4 1 3 4 2 3 2 0 1 2 2 6 10 11 4 8 3 2 8 4 3 5 3 3 4 1 0 1 0 2 0 3 0 0 1 1 2 8
"determined" 1 2 1 2 3 1 3 1 1 1 1 1 0 3 2 3 9 9 1 11 1 2 7 1 3 6 1 2 2 1 0 0 1 2 1 5 3 5 1 2 1 5
"eager" 4 4 3 0 1 1 3 2 5 3 2 2 3 0 5 5 13 13 2 11 1 0 16 2 3 6 4 5 2 3 1 1 1 5 3 4 2 5 2 2 2 8
"fine" 1 3 3 1 4 2 3 3 5 4 3 2 2 5 0 7 13 14 6 8 3 1 11 4 5 7 4 6 2 1 3 2 6 4 4 7 1 2 2 2 3 10
"glad" 3 7 8 5 7 4 10 7 1 6 8 6 3 5 7 0 28 25 5 19 5 3 24 4 11 5 12 10 7 4 1 4 4 2 5 13 4 6 4 2 2 17
"good" 16 11 16 8 17 15 15 9 13 13 11 10 9 13 13 28 0 58 14 44 11 10 56 19 26 20 15 21 13 13 9 10 9 12 16 25 9 18 7 10 8 41
