"alone" "bad" "bold" "bright" "certain" "cheerful" "cold" "fine" "gentle" "glad" "good" "great" "handsome" "happy" "hard" "honest" "little" "natural" "old" "open" "pleasant" "poor" "private" "proud" "quiet" "short" "strange" "strong" "young"
"alone" 0 5 2 7 6 3 9 7 4 10 30 23 4 8 5 2 28 6 25 12 4 12 5 3 14 12 12 8 14
"bad" 5 0 4 9 7 3 5 5 4 5 30 28 7 3 6 6 27 3 26 10 6 13 6 6 8 10 3 10 17
"bold" 2 4 0 8 9 3 6 5 2 11 30 30 4 7 5 5 19 2 25 6 4 12 3 8 8 13 8 12 17
"bright" 7 9 8 0 11 10 19 6 10 14 42 43 8 9 7 4 43 4 45 12 7 27 5 8 16 19 12 19 20
"certain" 6 7 9 11 0 12 12 6 4 11 42 49 8 9 6 7 44 10 37 13 5 19 11 9 11 19 12 20 25
"cheerful" 3 3 3 10 12 0 7 1 5 13 27 27 5 10 2 5 28 3 24 9 11 15 5 5 7 9 8 10 16
"cold" 9 5 6 19 12 7 0 7 8 11 34 35 8 6 8 7 35 10 36 16 8 19 5 5 10 18 6 13 18
"fine" 7 5 5 6 6 1 7 0 6 9 26 22 7 4 4 2 27 8 19 7 5 12 2 7 7 12 6 11 13
"gentle" 4 4 2 10 4 5 8 6 0 7 22 22 3 8 2 10 25 4 22 5 8 12 5 3 10 7 4 8 15
"glad" 10 5 11 14 11 13 11 9 7 0 39 38 6 11 4 9 30 6 30 12 8 24 8 10 9 19 8 9 21
"good" 30 30 30 42 42 27 34 26 22 39 0 152 25 30 30 30 136 29 128 47 25 68 23 29 44 53 38 58 86
"great" 23 28 30 43 49 27 35 22 22 38 152 0 23 34 24 29 141 25 131 51 26 69 24 30 44 58 34 65 85
"handsome" 4 7 4 8 8 5 8 7 3 6 25 23 0 1 6 5 24 3 22 6 5 13 4 5 5 11 6 6 19
"happy" 8 3 7 9 9 10 6 4 8 11 30 34 1 0 3 7 29 4 26 10 9 19 7 11 10 14 8 11 13
"hard" 5 6 5 7 6 2 8 4 2 4 30 24 6 3 0 5 27 5 23 8 6 12 3 3 7 15 6 7 17
"honest" 2 6 5 4 7 5 7 2 10 9 30 29 5 7 5 0 24 3 27 9 5 8 4 8 7 9 6 7 17
"little" 28 27 19 43 44 28 35 27 25 30 136 141 24 29 27 24 0 25 120 42 27 67 23 24 41 54 33 55 75
"natural" 6 3 2 4 10 3 10 8 4 6 29 25 3 4 5 3 25 0 24 10 5 10 2 5 4 12 5 5 15
"old" 25 26 25 45 37 24 36 19 22 30 128 131 22 26 23 27 120 24 0 40 22 53 19 22 44 46 36 56 76
"open" 12 10 6 12 13 9 16 7 5 12 47 51 6 10 8 9 42 10 40 0 6 19 9 8 16 19 8 13 26
"pleasant" 4 6 4 7 5 11 8 5 8 8 25 26 5 9 6 5 27 5 22 6 0 13 4 7 7 8 7 6 18
"poor" 12 13 12 27 19 15 19 12 12 24 68 69 13 19 12 8 67 10 53 19 13 0 6 19 20 29 15 27 41
"private" 5 6 3 5 11 5 5 2 5 8 23 24 4 7 3 4 23 2 19 9 4 6 0 3 7 12 6 8 14
"proud" 3 6 8 8 9 5 5 7 3 10 29 30 5 11 3 8 24 5 22 8 7 19 3 0 6 9 6 7 15
"quiet" 14 8 8 16 11 7 10 7 10 9 44 44 5 10 7 7 41 4 44 16 7 20 7 6 0 15 16 20 23
"short" 12 10 13 19 19 9 18 12 7 19 53 58 11 14 15 9 54 12 46 19 8 29 12 9 15 0 20 23 34
"strange" 12 3 8 12 12 8 6 6 4 8 38 34 6 8 6 6 33 5 36 8 7 15 6 6 16 20 0 22 15
"strong" 8 10 12 19 20 10 13 11 8 9 58 65 6 11 7 7 55 5 56 13 6 27 8 7 20 23 22 0 31
"young" 14 17 17 20 25 16 18 13 15 21 86 85 19 13 17 17 75 15 76 26 18 41 14 15 23 34 15 31 0
