"afraid" "agreeable" "anxious" "bad" "beautiful" "certain" "cheerful" "cold" "comfortable" "delighted" "delightful" "excellent" "fair" "fine" "fortunate" "glad" "good" "great" "handsome" "happy" "interesting" "kind" "little" "natural" "old" "open" "pleasant" "pleased" "poor" "pretty" "proper" "quiet" "respectable" "sad" "satisfied" "sensible" "serious" "short" "strong" "sweet" "warm" "young"
"fortunate" 7 6 2 4 0 1 6 8 6 6 3 6 3 1 0 8 21 20 5 13 5 8 18 5 13 4 5 6 15 3 7 3 2 3 3 3 3 8 5 2 3 16
"glad" 11 15 5 11 6 4 9 10 9 4 6 9 5 8 8 0 32 34 6 25 11 9 37 7 15 5 7 12 14 5 7 3 4 2 5 6 6 10 8 2 7 23
"good" 37 34 23 27 15 17 21 25 22 15 22 20 14 25 21 32 0 98 22 68 21 27 106 28 47 19 27 28 52 15 27 19 14 15 29 18 19 42 25 15 19 79
"great" 36 29 21 34 14 19 21 25 20 14 27 19 17 23 20 34 98 0 20 70 22 36 105 33 50 18 23 28 56 16 27 18 13 17 28 22 16 39 30 17 18 72
"handsome" 5 10 4 5 5 2 8 3 5 2 3 7 3 5 5 6 22 20 0 11 6 7 21 6 13 4 8 8 8 6 7 5 6 3 10 2 2 11 5 4 6 19
"happy" 28 18 15 20 11 12 15 15 14 14 20 15 7 17 13 25 68 70 11 0 15 24 69 20 35 16 17 19 38 13 18 14 8 12 17 9 12 25 14 10 12 50
"interesting" 7 9 5 5 4 4 4 5 4 3 6 3 3 5 5 11 21 22 6 15 0 5 26 10 8 3 4 10 11 3 7 3 2 2 7 7 3 10 7 3 5 14
"kind" 14 7 6 8 3 5 5 8 8 6 8 4 9 7 8 9 27 36 7 24 5 0 32 14 16 5 6 10 20 6 8 5 6 8 9 7 4 13 10 6 6 27
"little" 40 30 24 33 18 21 23 25 25 17 26 23 19 27 18 37 106 105 21 69 26 32 0 36 49 20 25 30 57 19 33 21 14 19 33 21 15 44 31 18 22 80
"natural" 9 10 5 8 5 5 8 6 10 5 6 9 8 7 5 7 28 33 6 20 10 14 36 0 16 3 6 8 19 6 12 9 8 8 8 7 5 14 11 5 6 23
"old" 19 12 7 14 7 8 10 9 11 10 11 13 9 10 13 15 47 50 13 35 8 16 49 16 0 10 14 13 29 12 14 15 9 12 14 7 4 16 13 7 6 32
"open" 6 8 6 5 3 3 6 4 5 3 8 5 2 4 4 5 19 18 4 16 3 5 20 3 10 0 7 6 10 5 8 5 2 2 7 2 5 4 4 4 4 17
"pleasant" 7 12 4 3 3 4 8 6 6 5 6 5 2 7 5 7 27 23 8 17 4 6 25 6 14 7 0 5 11 3 9 4 2 6 8 5 6 10 4 9 3 21
"pleased" 12 12 9 5 7 5 5 8 7 4 5 9 8 6 6 12 28 28 8 19 10 10 30 8 13 6 5 0 12 7 13 8 3 5 7 5 6 16 3 3 6 22
"poor" 22 16 12 16 5 8 8 13 9 7 8 8 8 11 15 14 52 56 8 38 11 20 57 19 29 10 11 12 0 9 18 12 5 11 17 6 8 24 11 7 4 37
"pretty" 6 6 5 5 4 3 5 3 3 1 2 5 5 3 3 5 15 16 6 13 3 6 19 6 12 5 3 7 9 0 6 4 4 8 7 3 0 5 5 2 4 14
"proper" 11 9 10 6 5 5 8 5 4 5 7 4 4 8 7 7 27 27 7 18 7 8 33 12 14 8 9 13 18 6 0 9 3 8 11 6 3 10 7 3 6 23
"quiet" 7 5 3 3 4 4 3 4 5 4 7 4 4 6 3 3 19 18 5 14 3 5 21 9 15 5 4 8 12 4 9 0 2 5 5 2 1 6 9 4 3 14
"respectable" 5 3 3 4 5 0 5 0 5 1 4 3 4 1 2 4 14 13 6 8 2 6 14 8 9 2 2 3 5 4 3 2 0 2 5 3 0 8 4 4 5 12
"sad" 6 4 2 4 2 3 5 7 4 4 4 6 3 5 3 2 15 17 3 12 2 8 19 8 12 2 6 5 11 8 8 5 2 0 4 3 4 9 5 2 1 13
"satisfied" 9 8 7 12 5 6 5 7 6 4 7 4 4 9 3 5 29 28 10 17 7 9 33 8 14 7 8 7 17 7 11 5 5 4 0 5 3 9 8 8 6 23
"sensible" 7 6 3 4 4 1 4 4 2 2 2 2 4 6 3 6 18 22 2 9 7 7 21 7 7 2 5 5 6 3 6 2 3 3 5 0 4 4 5 1 5 11
"serious" 3 7 2 4 1 1 3 5 5 3 3 4 5 1 3 6 19 16 2 12 3 4 15 5 4 5 6 6 8 0 3 1 0 4 3 4 0 9 4 3 2 16
"short" 13 10 7 11 6 9 6 14 12 3 9 7 9 7 8 10 42 39 11 25 10 13 44 14 16 4 10 16 24 5 10 6 8 9 9 4 9 0 11 10 9 30
"strong" 5 10 2 9 2 9 6 4 6 2 6 2 6 9 5 8 25 30 5 14 7 10 31 11 13 4 4 3 11 5 7 9 4 5 8 5 4 11 0 6 5 20
"sweet" 4 5 3 4 1 2 2 4 6 1 8 4 1 4 2 2 15 17 4 10 3 6 18 5 7 4 9 3 7 2 3 4 4 2 8 1 3 10 6 0 4 14
"warm" 6 5 4 2 5 4 9 3 4 3 6 7 1 5 3 7 19 18 6 12 5 6 22 6 6 4 3 6 4 4 6 3 5 1 6 5 2 9 5 4 0 16
"young" 31 26 13 20 10 15 15 13 17 12 20 14 13 24 16 23 79 72 19 50 14 27 80 23 32 17 21 22 37 14 23 14 12 13 23 11 16 30 20 14 16 0
