"afraid" "alone" "bad" "bright" "certain" "glad" "good" "great" "happy" "hard" "little" "natural" "old" "open" "poor" "quiet" "short" "strong" "young"
"afraid" 0 3 8 8 14 11 35 18 10 11 36 9 23 10 19 8 18 5 17
"alone" 3 0 14 10 15 7 23 13 5 6 32 9 26 7 16 6 14 5 16
"bad" 8 14 0 11 23 13 56 36 8 13 62 9 45 23 28 17 18 13 28
"bright" 8 10 11 0 14 7 28 18 6 12 36 5 32 11 20 7 13 10 15
"certain" 14 15 23 14 0 10 69 45 16 17 79 13 63 21 28 14 30 19 41
"glad" 11 7 13 7 10 0 34 25 5 10 45 8 24 7 24 8 16 8 19
"good" 35 23 56 28 69 34 0 99 27 40 184 27 120 48 79 31 63 43 89
"great" 18 13 36 18 45 25 99 0 22 24 121 16 85 31 55 22 35 26 55
"happy" 10 5 8 6 16 5 27 22 0 7 36 7 21 5 15 3 15 11 19
"hard" 11 6 13 12 17 10 40 24 7 0 49 9 36 8 22 6 17 16 18
"little" 36 32 62 36 79 45 184 121 36 49 0 36 150 57 109 37 79 47 108
"natural" 9 9 9 5 13 8 27 16 7 9 36 0 19 3 18 9 15 6 18
"old" 23 26 45 32 63 24 120 85 21 36 150 19 0 42 70 25 51 30 71
"open" 10 7 23 11 21 7 48 31 5 8 57 3 42 0 28 6 16 12 28
"poor" 19 16 28 20 28 24 79 55 15 22 109 18 70 28 0 17 35 19 51
"quiet" 8 6 17 7 14 8 31 22 3 6 37 9 25 6 17 0 10 8 19
"short" 18 14 18 13 30 16 63 35 15 17 79 15 51 16 35 10 0 17 38
"strong" 5 5 13 10 19 8 43 26 11 16 47 6 30 12 19 8 17 0 17
"young" 17 16 28 15 41 19 89 55 19 18 108 18 71 28 51 19 38 17 0
