"afraid" "agreeable" "anxious" "bad" "certain" "cold" "comfortable" "desirable" "excellent" "fair" "fine" "glad" "good" "great" "handsome" "happy" "interesting" "kind" "little" "natural" "old" "open" "pleasant" "pleased" "poor" "pretty" "proper" "satisfied" "sensible" "serious" "short" "strong" "warm" "young"
"afraid" 0 5 2 4 4 0 2 3 4 2 4 5 9 7 2 4 0 2 9 2 4 5 2 2 3 0 2 3 2 2 5 1 0 4
"agreeable" 5 0 5 8 5 6 2 5 5 3 5 8 25 24 6 18 4 5 26 6 10 10 4 6 11 3 7 7 8 4 16 8 7 14
"anxious" 2 5 0 2 2 1 1 3 2 1 6 2 14 10 3 8 4 2 14 3 3 2 1 1 3 3 2 2 4 2 10 4 2 7
"bad" 4 8 2 0 2 4 4 1 4 4 7 9 20 16 0 8 3 5 17 2 6 6 5 4 10 4 6 3 4 5 10 3 2 13
"certain" 4 5 2 2 0 3 3 2 3 2 1 3 9 8 4 4 0 1 8 6 5 4 1 1 4 1 4 5 3 3 4 3 4 6
"cold" 0 6 1 4 3 0 2 3 0 0 1 2 9 8 1 6 1 1 10 4 3 3 1 3 5 2 4 1 4 2 6 5 2 6
"comfortable" 2 2 1 4 3 2 0 1 3 1 3 9 10 8 2 6 0 2 10 2 8 2 3 0 5 1 2 1 0 2 4 1 0 4
"desirable" 3 5 3 1 2 3 1 0 3 0 3 3 7 7 1 5 0 1 9 3 2 4 1 1 4 0 4 1 3 0 4 5 2 2
"excellent" 4 5 2 4 3 0 3 3 0 3 7 9 18 12 4 8 1 4 16 2 8 4 4 4 5 3 2 1 4 5 5 7 5 9
"fair" 2 3 1 4 2 0 1 0 3 0 4 4 8 7 2 5 1 2 10 1 6 2 1 2 0 3 3 5 3 1 6 2 1 8
"fine" 4 5 6 7 1 1 3 3 7 4 0 7 21 14 3 12 3 4 20 3 6 1 2 5 10 3 3 2 4 0 8 6 2 14
"glad" 5 8 2 9 3 2 9 3 9 4 7 0 21 21 4 12 1 5 23 3 11 7 6 4 9 3 7 5 3 7 7 4 2 13
"good" 9 25 14 20 9 9 10 7 18 8 21 21 0 53 12 31 9 8 58 13 26 15 9 14 24 11 11 11 18 14 32 20 12 35
"great" 7 24 10 16 8 8 8 7 12 7 14 21 53 0 8 30 7 5 49 13 21 15 9 10 21 7 12 12 15 10 22 19 9 24
"handsome" 2 6 3 0 4 1 2 1 4 2 3 4 12 8 0 6 1 3 11 3 6 3 2 3 6 2 1 3 6 1 5 4 2 9
"happy" 4 18 8 8 4 6 6 5 8 5 12 12 31 30 6 0 5 10 36 8 15 12 8 5 14 4 8 9 8 6 17 11 6 16
"interesting" 0 4 4 3 0 1 0 0 1 1 3 1 9 7 1 5 0 2 10 1 5 2 2 2 7 2 2 0 5 1 3 3 3 5
"kind" 2 5 2 5 1 1 2 1 4 2 4 5 8 5 3 10 2 0 9 2 3 3 3 2 6 1 3 2 1 1 4 2 2 7
"little" 9 26 14 17 8 10 10 9 16 10 20 23 58 49 11 36 10 9 0 16 24 15 9 15 24 11 11 10 17 12 32 19 13 37
"natural" 2 6 3 2 6 4 2 3 2 1 3 3 13 13 3 8 1 2 16 0 5 7 2 3 8 2 2 5 5 4 5 5 3 10
"old" 4 10 3 6 5 3 8 2 8 6 6 11 26 21 6 15 5 3 24 5 0 10 8 4 12 3 5 6 7 4 12 9 4 14
"open" 5 10 2 6 4 3 2 4 4 2 1 7 15 15 3 12 2 3 15 7 10 0 5 1 7 1 7 4 6 4 9 4 3 8
"pleasant" 2 4 1 5 1 1 3 1 4 1 2 6 9 9 2 8 2 3 9 2 8 5 0 1 6 1 4 2 1 3 4 3 2 6
"pleased" 2 6 1 4 1 3 0 1 4 2 5 4 14 10 3 5 2 2 15 3 4 1 1 0 5 2 1 1 4 2 9 3 1 10
"poor" 3 11 3 10 4 5 5 4 5 0 10 9 24 21 6 14 7 6 24 8 12 7 6 5 0 2 6 4 9 6 7 6 6 15
"pretty" 0 3 3 4 1 2 1 0 3 3 3 3 11 7 2 4 2 1 11 2 3 1 1 2 2 0 1 2 5 2 5 2 2 8
"proper" 2 7 2 6 4 4 2 4 2 3 3 7 11 12 1 8 2 3 11 2 5 7 4 1 6 1 0 5 3 2 6 5 3 7
"satisfied" 3 7 2 3 5 1 1 1 1 5 2 5 11 12 3 9 0 2 10 5 6 4 2 1 4 2 5 0 6 3 7 2 1 9
"sensible" 2 8 4 4 3 4 0 3 4 3 4 3 18 15 6 8 5 1 17 5 7 6 1 4 9 5 3 6 0 5 8 7 5 10
"serious" 2 4 2 5 3 2 2 0 5 1 0 7 14 10 1 6 1 1 12 4 4 4 3 2 6 2 2 3 5 0 6 4 3 8
"short" 5 16 10 10 4 6 4 4 5 6 8 7 32 22 5 17 3 4 32 5 12 9 4 9 7 5 6 7 8 6 0 9 5 18
"strong" 1 8 4 3 3 5 1 5 7 2 6 4 20 19 4 11 3 2 19 5 9 4 3 3 6 2 5 2 7 4 9 0 7 9
"warm" 0 7 2 2 4 2 0 2 5 1 2 2 12 9 2 6 3 2 13 3 4 3 2 1 6 2 3 1 5 3 5 7 0 8
"young" 4 14 7 13 6 6 4 2 9 8 14 13 35 24 9 16 5 7 37 10 14 8 6 10 15 8 7 9 10 8 18 9 8 0
