"afraid" "agreeable" "bad" "beautiful" "bright" "certain" "glad" "good" "great" "happy" "kind" "little" "natural" "old" "open" "pleasant" "poor" "pretty" "quiet" "short" "strange" "strong" "surprised" "sweet" "young"
"afraid" 0 13 15 17 17 21 25 57 63 28 13 84 16 69 11 15 32 20 23 39 12 13 13 11 41
"agreeable" 13 0 8 10 5 8 15 32 33 14 6 44 13 38 3 7 16 8 7 16 5 4 8 11 19
"bad" 15 8 0 9 12 10 16 46 31 17 12 54 9 44 9 9 25 15 10 23 9 11 10 7 24
"beautiful" 17 10 9 0 12 11 17 42 38 23 5 51 6 38 9 11 27 12 13 17 11 8 6 11 22
"bright" 17 5 12 12 0 6 18 44 36 22 8 55 14 38 8 10 20 16 15 22 8 6 9 15 20
"certain" 21 8 10 11 6 0 13 53 48 19 11 61 11 51 14 5 19 11 14 22 12 11 8 8 27
"glad" 25 15 16 17 18 13 0 66 67 36 12 88 18 70 12 11 27 16 19 28 11 16 16 12 42
"good" 57 32 46 42 44 53 66 0 164 84 38 225 40 176 44 35 92 47 52 78 35 41 31 29 100
"great" 63 33 31 38 36 48 67 164 0 68 32 205 36 161 41 25 76 33 43 67 31 43 35 25 108
"happy" 28 14 17 23 22 19 36 84 68 0 17 102 20 83 11 19 40 16 25 38 11 23 14 24 43
"kind" 13 6 12 5 8 11 12 38 32 17 0 44 7 35 7 6 24 13 8 13 8 10 9 4 21
"little" 84 44 54 51 55 61 88 225 205 102 44 0 52 230 50 46 118 52 63 104 49 54 40 42 130
"natural" 16 13 9 6 14 11 18 40 36 20 7 52 0 44 7 7 19 12 11 20 7 11 4 7 22
"old" 69 38 44 38 38 51 70 176 161 83 35 230 44 0 41 36 91 36 54 83 39 49 28 32 101
"open" 11 3 9 9 8 14 12 44 41 11 7 50 7 41 0 5 20 7 7 17 11 6 7 9 22
"pleasant" 15 7 9 11 10 5 11 35 25 19 6 46 7 36 5 0 18 10 12 20 8 5 9 9 14
"poor" 32 16 25 27 20 19 27 92 76 40 24 118 19 91 20 18 0 28 27 45 26 20 13 15 51
"pretty" 20 8 15 12 16 11 16 47 33 16 13 52 12 36 7 10 28 0 18 15 10 8 7 10 21
"quiet" 23 7 10 13 15 14 19 52 43 25 8 63 11 54 7 12 27 18 0 18 15 14 5 11 24
"short" 39 16 23 17 22 22 28 78 67 38 13 104 20 83 17 20 45 15 18 0 12 16 17 15 47
"strange" 12 5 9 11 8 12 11 35 31 11 8 49 7 39 11 8 26 10 15 12 0 9 4 5 22
"strong" 13 4 11 8 6 11 16 41 43 23 10 54 11 49 6 5 20 8 14 16 9 0 11 4 24
"surprised" 13 8 10 6 9 8 16 31 35 14 9 40 4 28 7 9 13 7 5 17 4 11 0 5 20
"sweet" 11 11 7 11 15 8 12 29 25 24 4 42 7 32 9 9 15 10 11 15 5 4 5 0 17
"young" 41 19 24 22 20 27 42 100 108 43 21 130 22 101 22 14 51 21 24 47 22 24 20 17 0
