"afraid" "agreeable" "bad" "beautiful" "bright" "certain" "cold" "curious" "fine" "glad" "good" "great" "happy" "little" "natural" "old" "open" "pleasant" "poor" "pretty" "quiet" "short" "strong" "young"
"afraid" 0 10 9 8 14 6 5 10 7 16 52 40 17 55 16 38 11 8 31 8 15 17 12 26
"agreeable" 10 0 6 8 7 7 6 7 13 13 39 34 13 45 6 24 11 12 19 10 7 13 5 23
"bad" 9 6 0 4 8 15 10 13 10 14 53 39 9 57 13 45 15 4 20 9 12 20 11 30
"beautiful" 8 8 4 0 13 9 7 8 10 11 39 41 15 47 12 34 8 8 18 13 12 15 9 30
"bright" 14 7 8 13 0 10 13 12 16 16 48 45 18 56 14 45 12 11 25 10 11 14 9 28
"certain" 6 7 15 9 10 0 4 4 12 13 42 33 12 52 15 40 10 13 12 11 15 13 7 30
"cold" 5 6 10 7 13 4 0 8 7 8 34 32 9 46 7 31 11 5 22 11 11 13 7 21
"curious" 10 7 13 8 12 4 8 0 9 9 42 37 17 44 9 35 12 7 21 6 13 18 11 27
"fine" 7 13 10 10 16 12 7 9 0 16 47 42 9 54 11 43 12 11 19 11 10 13 13 33
"glad" 16 13 14 11 16 13 8 9 16 0 61 53 24 73 14 48 16 12 32 14 12 24 10 47
"good" 52 39 53 39 48 42 34 42 47 61 0 181 68 254 47 170 53 42 103 40 47 67 48 129
"great" 40 34 39 41 45 33 32 37 42 53 181 0 62 220 44 156 45 36 88 37 46 70 35 112
"happy" 17 13 9 15 18 12 9 17 9 24 68 62 0 77 15 59 20 12 41 19 13 21 9 43
"little" 55 45 57 47 56 52 46 44 54 73 254 220 77 0 58 209 66 49 119 44 64 89 47 153
"natural" 16 6 13 12 14 15 7 9 11 14 47 44 15 58 0 47 15 7 23 13 10 18 12 31
"old" 38 24 45 34 45 40 31 35 43 48 170 156 59 209 47 0 44 31 80 36 47 60 35 105
"open" 11 11 15 8 12 10 11 12 12 16 53 45 20 66 15 44 0 11 26 12 14 17 9 32
"pleasant" 8 12 4 8 11 13 5 7 11 12 42 36 12 49 7 31 11 0 13 6 9 14 10 25
"poor" 31 19 20 18 25 12 22 21 19 32 103 88 41 119 23 80 26 13 0 20 29 31 18 65
"pretty" 8 10 9 13 10 11 11 6 11 14 40 37 19 44 13 36 12 6 20 0 11 10 7 30
"quiet" 15 7 12 12 11 15 11 13 10 12 47 46 13 64 10 47 14 9 29 11 0 18 6 30
"short" 17 13 20 15 14 13 13 18 13 24 67 70 21 89 18 60 17 14 31 10 18 0 17 40
"strong" 12 5 11 9 9 7 7 11 13 10 48 35 9 47 12 35 9 10 18 7 6 17 0 26
"young" 26 23 30 30 28 30 21 27 33 47 129 112 43 153 31 105 32 25 65 30 30 40 26 0
