"anxious" "bad" "beautiful" "certain" "cold" "extraordinary" "fine" "glad" "good" "great" "happy" "hard" "kind" "little" "loud" "natural" "old" "open" "pleasant" "poor" "private" "quiet" "short" "strong" "violent" "worthy" "young"
"anxious" 0 3 4 10 9 12 9 7 27 38 13 8 7 38 7 9 28 8 8 22 5 7 18 9 5 9 28
"bad" 3 0 7 9 8 9 6 4 36 33 15 10 7 42 10 4 29 13 8 19 1 6 12 8 10 8 33
"beautiful" 4 7 0 8 8 13 5 9 40 36 16 9 9 43 6 8 29 5 10 19 6 5 21 11 8 3 34
"certain" 10 9 8 0 6 13 10 9 40 50 12 12 8 52 5 12 40 13 8 29 3 12 21 14 8 9 44
"cold" 9 8 8 6 0 10 5 10 41 41 13 12 7 45 7 3 25 16 6 23 11 10 19 11 8 4 31
"extraordinary" 12 9 13 13 10 0 12 11 48 61 18 6 13 54 9 11 41 13 15 27 11 9 27 13 8 15 50
"fine" 9 6 5 10 5 12 0 6 29 33 10 7 7 38 5 8 34 12 11 22 8 9 15 6 5 8 31
"glad" 7 4 9 9 10 11 6 0 37 42 15 6 6 43 7 8 30 10 8 26 3 9 19 15 3 8 32
"good" 27 36 40 40 41 48 29 37 0 169 55 42 32 187 31 34 132 41 34 99 25 30 74 43 28 32 141
"great" 38 33 36 50 41 61 33 42 169 0 59 37 35 209 40 35 145 53 44 109 29 35 90 49 39 40 164
"happy" 13 15 16 12 13 18 10 15 55 59 0 12 15 64 8 14 45 8 19 36 8 14 34 16 13 13 50
"hard" 8 10 9 12 12 6 7 6 42 37 12 0 7 49 7 7 40 10 3 33 7 8 20 6 7 5 34
"kind" 7 7 9 8 7 13 7 6 32 35 15 7 0 35 6 6 22 8 9 27 4 7 22 6 4 12 25
"little" 38 42 43 52 45 54 38 43 187 209 64 49 35 0 44 40 167 57 39 118 29 38 93 52 42 40 171
"loud" 7 10 6 5 7 9 5 7 31 40 8 7 6 44 0 4 32 10 7 18 4 10 19 6 5 6 29
"natural" 9 4 8 12 3 11 8 8 34 35 14 7 6 40 4 0 27 8 8 21 5 11 20 10 3 4 32
"old" 28 29 29 40 25 41 34 30 132 145 45 40 22 167 32 27 0 41 28 87 26 33 72 38 28 30 125
"open" 8 13 5 13 16 13 12 10 41 53 8 10 8 57 10 8 41 0 13 22 9 15 24 15 13 8 33
"pleasant" 8 8 10 8 6 15 11 8 34 44 19 3 9 39 7 8 28 13 0 21 7 12 13 10 7 9 29
"poor" 22 19 19 29 23 27 22 26 99 109 36 33 27 118 18 21 87 22 21 0 13 24 48 26 17 27 91
"private" 5 1 6 3 11 11 8 3 25 29 8 7 4 29 4 5 26 9 7 13 0 4 17 8 3 7 25
"quiet" 7 6 5 12 10 9 9 9 30 35 14 8 7 38 10 11 33 15 12 24 4 0 16 11 3 7 25
"short" 18 12 21 21 19 27 15 19 74 90 34 20 22 93 19 20 72 24 13 48 17 16 0 16 26 21 74
"strong" 9 8 11 14 11 13 6 15 43 49 16 6 6 52 6 10 38 15 10 26 8 11 16 0 8 7 46
"violent" 5 10 8 8 8 8 5 3 28 39 13 7 4 42 5 3 28 13 7 17 3 3 26 8 0 5 36
"worthy" 9 8 3 9 4 15 8 8 32 40 13 5 12 40 6 4 30 8 9 27 7 7 21 7 5 0 25
"young" 28 33 34 44 31 50 31 32 141 164 50 34 25 171 29 32 125 33 29 91 25 25 74 46 36 25 0
