"big" "good" "great" "happy" "hard" "little" "old" "open" "poor" "proper" "short" "strange" "strong" "surprised" "terrible" "thankful" "young"
"big" 0 9 17 2 5 13 4 1 5 5 2 3 10 3 1 2 5
"good" 9 0 77 10 13 70 20 13 24 20 16 13 19 23 12 16 22
"great" 17 77 0 16 16 90 23 17 30 24 25 17 28 27 17 18 27
"happy" 2 10 16 0 1 14 6 1 5 3 2 5 5 6 1 4 8
"hard" 5 13 16 1 0 11 3 3 4 3 1 1 6 6 2 2 6
"little" 13 70 90 14 11 0 25 15 28 21 26 14 29 22 18 16 23
"old" 4 20 23 6 3 25 0 6 9 5 7 4 7 5 1 3 16
"open" 1 13 17 1 3 15 6 0 4 4 5 4 5 5 4 2 5
"poor" 5 24 30 5 4 28 9 4 0 6 5 4 9 11 3 6 8
"proper" 5 20 24 3 3 21 5 4 6 0 5 3 7 8 2 3 6
"short" 2 16 25 2 1 26 7 5 5 5 0 2 8 6 5 3 6
"strange" 3 13 17 5 1 14 4 4 4 3 2 0 6 6 3 4 4
"strong" 10 19 28 5 6 29 7 5 9 7 8 6 0 6 3 3 8
"surprised" 3 23 27 6 6 22 5 5 11 8 6 6 6 0 7 5 10
"terrible" 1 12 17 1 2 18 1 4 3 2 5 3 3 7 0 0 3
"thankful" 2 16 18 4 2 16 3 2 6 3 3 4 3 5 0 0 3
"young" 5 22 27 8 6 23 16 5 8 6 6 4 8 10 3 3 0
