"","Words","count.present","A Tale of Two Cities","Barnaby Rudge","Bleak House","David Copperfield","Dombey and Son","Great Expectations","Hard Times","Little Dorrit","Martin Chuzzlewit","Mystery of Edwin Drood","Nicholas Nickleby","Oliver Twist","Our Mutual Friend","Pickwick","The Old Curiosity Shop"
"1","abrupt",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2","active",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3","affectionate",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4","airy",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5","awkward",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6","bitter",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7","busy",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8","calm",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9","careful",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10","careless",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"11","certain",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"12","cheerful",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"13","christian",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14","clean",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15","close",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"16","cold",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"17","complimentary",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"18","confidential",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19","constant",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"20","curious",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"21","delicate",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"22","domestic",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23","easy",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"24","exact",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"25","expressive",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"26","familiar",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"27","fast",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"28","fearful",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"29","fierce",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"30","formal",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"31","free",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"32","fresh",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"33","friendly",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"34","gallant",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"35","gay",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"36","general",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"37","generous",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"38","genteel",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"39","gentle",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"40","gracious",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"41","grateful",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"42","grave",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"43","handsome",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"44","hasty",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"45","heavy",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"46","honest",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"47","hopeless",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"48","humble",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"49","independent",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"50","lofty",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51","lonely",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
