"MR1";"MR2";"MR3";"MR4"
"#-happy";0.34041817117375;0.412777898044525;0.506767924029285;0.212509905592433
"accomplished";0.151050967905948;0.103322700821267;0.490892806617623;0.257232327475735
"accustomed";0.342450687156767;0.210294563142239;0.269185585627043;0.290559133975203
"afraid";0.55914396804611;0.439326393367038;0.248467055460837;0.320544618730859
"beautiful";0.640429355369024;0.45078571236782;0.244974563912889;0.332273370834223
"best";0.383291909890977;0.472145026286692;0.423712519212839;0.2277670792453
"brave";0.100288666793013;0.61848206243247;0.301275795449331;0.0296649332112195
"calm";0.571376451632771;0.285893671130651;0.189314982238488;0.23906553058711
"capable";0.0513677664358388;0.247623875143147;0.0893330271980371;0.283271520209887
"careful";0.598910737391643;0.269120859393696;0.404544671626261;-0.00828630743170897
"cheerful";0.351578287675716;0.42192933411025;0.416065583518548;0.345508329377765
"clean";0.355483310974802;0.396746411701662;-0.00855514486011726;0.351974609831355
"clever";0.261352352650413;0.485635524736769;0.295881062406674;0.0786630611587495
"comfortable";0.529411919669892;0.2019925802264;0.306909283339104;0.388498559637362
"confident";0.290479390568323;0.404167472349175;0.39643037786456;0.437446450948694
"conventional";0.415724084772023;0.0388590374579615;0.323419363629151;-0.108550729738137
"cruel";0.376062746627665;0.654057351924209;0.183018785116634;0.175334034648532
"curious";0.392590683003209;0.396783454915642;0.315167891839719;0.398038898262463
"dangerous";0.505670145055646;0.162101092308458;-0.0442640782118982;0.238798152973075
"delicate";0.491896913465415;0.377043476234555;0.300999151682168;0.3908187603613
"delighted";0.254001441319628;0.144193963470267;0.196169538831092;0.596226971490461
"delightful";0.574010456304925;0.177891387216658;0.302581407775751;0.112711015796496
"determined";0.179746707629376;0.481952276984254;0.321745175188074;0.257076217795459
"different";0.624370114793628;0.427477326218215;0.316868850770873;0.240141052884337
"direct";0.749368432057078;0.0686233471617654;0.256943117708837;0.0931585482123924
"encouraging";0.201050823175782;0.130230101505872;0.255473274284869;0.193178011516417
"expensive";0.535405933482137;0.136057261592176;0.0418342070840958;0.508553101742791
"extraordinary";0.0871611215511349;0.324095833681839;0.316239869577843;-0.0864830525200818
"fair";0.489583800780154;0.303224504997787;0.496956709711593;0.294628942660953
"faithful";0.402690122468002;0.676408160155199;0.221110186553771;0.177255827909356
"familiar";0.55292510119694;0.497341512926096;0.231462610721512;0.252694108403916
"famous";0.1198313944887;0.188890676715893;0.506570611848088;0.171698683422739
"free";0.460161751580554;0.486722994264659;0.350508527231441;0.286171363513894
"friendly";0.510705351741657;0.421814720470577;0.275890959603666;0.178156791677617
"generous";0.475642465532408;0.424783602347345;0.301979888559354;0.260531240601134
"gentle";0.54290028694696;0.387372795339005;0.241851122278366;0.144455307161018
