"accomplished" "accustomed" "afraid" "beautiful" "best" "blessed" "brave" "calm" "capable" "careful" "cautious" "cheerful" "clean" "clever" "comfortable" "cruel" "curious" "dangerous" "delicate" "delighted" "delightful" "determined" "different" "direct" "extraordinary" "extreme" "fair" "faithful" "familiar" "famous" "fancy" "free" "friendly" "generous" "gentle" "genuine" "graceful" "greatest" "happier" "happy" "harmless" "honest" "humble" "independent" "individual" "intellectual" "interesting" "liberal" "loose" "married" "mighty" "modest" "moral" "mysterious" "natural" "neat" "original" "passionate" "peaceful" "pleasant" "polite" "popular" "powerful" "proud" "quiet" "reasonable" "rich" "sacred" "safe" "scared" "selfish" "shocked" "sincere" "smart" "social" "special" "strong" "superior" "surprising" "thoughtful" "uncertain" "weak" "welcome" "wise" "united" "worth" "unpleasant"
"accomplished" 0 0 1 3 3 0 0 2 0 0 0 1 0 0 0 2 0 0 0 2 1 0 0 0 3 0 1 1 0 0 1 1 1 0 0 1 0 0 1 5 1 0 0 0 0 0 0 0 0 2 0 0 0 2 1 1 0 1 1 2 0 0 0 3 1 1 1 0 1 0 0 1 0 1 0 0 3 0 0 1 0 3 0 0 0 0 0
"accustomed" 0 0 4 3 7 0 0 2 1 1 1 1 1 0 1 0 1 1 1 2 0 1 6 1 3 2 0 0 1 2 1 3 0 1 4 1 1 1 0 4 0 2 1 0 0 1 0 0 1 0 1 0 0 1 2 0 1 0 1 0 1 0 5 7 4 0 2 0 1 0 0 0 1 1 1 1 3 3 0 4 0 3 0 0 1 1 0
"afraid" 1 4 0 14 11 0 1 2 0 2 1 9 5 2 1 4 3 1 2 4 2 1 7 2 10 2 4 2 6 1 1 12 4 2 11 2 1 4 2 17 1 7 3 0 2 0 3 1 1 3 1 2 6 1 12 1 5 2 2 4 2 1 3 14 13 0 6 1 1 2 2 1 1 1 1 2 10 1 2 6 2 5 2 0 0 3 0
"beautiful" 3 3 14 0 14 1 4 4 4 1 2 7 1 2 0 4 5 2 10 3 5 3 12 1 5 3 5 4 2 0 2 7 0 0 13 1 7 3 0 21 1 5 2 0 1 1 1 0 1 4 4 5 0 3 13 0 1 1 1 8 3 1 2 19 12 0 10 3 2 1 1 2 2 0 1 2 14 2 2 9 2 6 4 2 0 2 2
"best" 3 7 11 14 0 0 4 3 2 1 1 4 6 2 2 5 2 2 2 6 2 2 11 0 12 1 6 5 6 1 2 8 3 4 3 0 3 4 1 17 0 3 2 1 1 1 2 1 3 4 3 2 6 3 16 2 2 1 3 4 3 1 4 15 10 0 9 3 4 1 1 1 1 3 4 3 12 3 1 8 1 6 0 2 2 4 2
"blessed" 0 0 0 1 0 0 0 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 1 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 0 0 1 0
"brave" 0 0 1 4 4 0 0 1 1 0 0 2 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 1 1 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 2 0 0 3 0 0 0 0 0 0 0 0 1 2 0 2 0 0 0 0 1 0 0 1 0 3 0 0 1 1 0 0 0 1 1 0
"calm" 2 2 2 4 3 2 1 0 0 1 0 3 1 0 1 3 1 0 1 1 0 0 4 0 2 0 2 2 1 1 1 1 0 0 3 1 1 1 1 6 1 3 0 0 0 0 0 0 1 0 0 2 2 1 1 3 0 0 2 4 0 0 0 3 6 0 2 2 2 0 0 1 0 0 0 0 2 0 0 2 0 2 0 0 0 1 1
"capable" 0 1 0 4 2 0 1 0 0 0 0 1 0 0 0 1 2 0 2 0 0 0 3 0 2 2 2 0 0 0 0 2 0 1 0 0 1 0 0 1 0 1 0 0 1 0 1 0 2 0 2 0 1 1 2 0 1 1 0 0 1 0 1 4 2 1 0 1 0 1 0 1 0 1 0 0 2 0 0 1 2 0 0 0 0 0 1
"careful" 0 1 2 1 1 0 0 1 0 0 1 1 0 0 2 1 3 0 0 1 0 0 4 1 1 1 3 0 1 1 0 1 0 0 0 0 1 0 1 4 1 1 2 0 0 0 0 0 1 2 0 1 0 1 2 0 0 0 0 1 0 0 2 4 1 0 0 1 0 0 0 0 1 0 0 1 2 2 0 1 0 2 0 0 0 0 0
