"MR1";"MR5";"MR10";"MR4";"MR2";"MR3";"MR8";"MR7";"MR6";"MR9";"MR11"
"#-happy";0.350924989547576;0.346405198914515;0.272273575455761;0.141659910158425;0.0979084389644311;0.322816934235257;0.152963474872017;0.365193077364575;0.207753063615523;-0.0326183787662789;0.0704455240430788
"accomplished";0.204078817832225;0.102167781627744;0.163582977258789;0.305574330796838;0.101771308964048;0.321079114997653;-0.0408009447933554;-0.000560452956807106;0.240858309679025;-0.0342463353901093;0.435112056327543
"accustomed";0.362431738248975;0.0407842607639371;0.396211916169277;0.226664533318462;0.371016396584005;0.071574362455875;0.0286616790019585;-0.137790845867537;0.164631366962746;0.0816198952913987;0.0305966107104995
"afraid";0.445417384240529;0.430532803736183;0.178688577710138;0.222871000460658;0.267172193727622;0.310732102347874;0.335605816145553;0.0733603268897807;-0.180215875882314;0.0277261142788504;-0.0455900066261394
"beautiful";0.527258757133288;0.441625205930639;0.204394615488315;0.262182782990609;0.22183299568549;0.198451027283789;0.351277582866098;0.074601094685132;-0.0652461567630373;0.0386728871225559;0.120820842834224
"best";0.300756169159253;0.516521424477172;0.262824616431639;0.210822531917517;0.0708864251119243;0.225336747556367;0.205682402419206;0.0882364367872232;0.166827003884096;0.144601010272762;0.347194019213422
"brave";0.115101908976844;0.487410615918924;0.0909532186418884;-0.0568987407713071;0.345758491944545;0.270479737191323;0.0646752725425991;0.0543736176964799;0.181053708990574;0.283896592748935;-0.120100309830424
"calm";0.429863273512547;0.262057455182029;0.364435702171168;0.0950842582505207;0.0790726352577199;0.0780527424866811;0.350177371035617;0.095468420488755;-0.048555376240069;0.0871850878798722;0.0936883172444413
"capable";0.037058017467436;0.113728469812794;0.0841425879950028;0.126779942077556;0.0878259172356626;-0.00154653836271896;0.1222038539027;0.567297820955505;0.0518165948041051;-0.0399439145500873;0.0711422185178851
"careful";0.642472120982188;0.361228334866267;0.0438633396264033;0.0693940793609071;-0.026985245052208;0.277732243082877;-0.00683110719525793;0.209454241528829;0.0258787466462427;0.0908444020567161;0.155269418115402
"cheerful";0.419635003784896;0.257299592209008;0.193632166981112;0.349473387117249;0.398151147215289;0.254737568436608;0.107866454843975;0.0311565144480447;0.292693427059283;-0.00593779948968676;0.008178533701643
"clean";0.177728854317785;0.24824286130008;0.149716504921806;0.0596435363186722;0.217301518240263;0.0548751108126041;0.599623009260166;0.180626263853893;-0.0627573358515657;0.106731391648279;0.0683734766114715
