"accustomed" "afraid" "beautiful" "best" "capable" "careful" "cheerful" "clean" "comfortable" "compassionate" "conventional" "cruel" "curious" "dangerous" "delighted" "delightful" "determined" "different" "direct" "expensive" "extraordinary" "extreme" "fair" "faithful" "familiar" "famous" "free" "friendly" "generous" "gentle" "genuine" "greatest" "greedy" "happier" "happy" "honest" "humble" "interesting" "legal" "liberal" "loose" "married" "modest" "mysterious" "natural" "neat" "official" "playful" "pleasant" "polite" "powerful" "proud" "qualified" "quiet" "reasonable" "responsible" "rich" "sacred" "safe" "smart" "special" "strong" "superior" "surprising" "sympathetic" "thoughtful" "top" "weak" "welcome" "social" "uncertain" "worth"
"accustomed" 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 1 2 0 0 1 0 1 0 0 0 0 0 1 0 0
"afraid" 1 0 6 11 1 3 2 2 0 1 0 1 3 0 1 0 1 0 1 0 3 0 0 1 2 0 1 1 0 1 0 3 1 0 2 2 2 1 1 0 1 1 0 2 2 2 1 1 4 2 2 3 1 7 0 0 5 1 5 0 1 6 0 1 1 1 1 2 0 0 0 0
"beautiful" 0 6 0 6 0 0 0 0 1 0 0 2 3 0 1 0 0 3 1 0 1 0 0 1 0 1 2 1 0 1 1 3 1 1 3 0 0 0 0 0 1 1 0 1 3 1 0 1 3 1 1 7 0 6 0 0 3 0 1 0 0 4 1 1 1 1 0 1 0 0 1 2
"best" 1 11 6 0 3 2 4 5 5 3 0 1 6 2 4 2 5 5 2 3 2 3 1 3 2 0 4 4 1 1 0 4 0 3 9 5 5 1 2 2 1 2 1 2 6 4 1 0 11 3 1 4 1 12 0 0 4 1 10 3 3 11 2 2 2 3 2 4 2 0 4 4
"capable" 0 1 0 3 0 1 1 1 0 0 0 0 1 0 0 1 2 1 0 1 1 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 1 0 1 0
"careful" 0 3 0 2 1 0 1 1 0 0 0 1 2 0 0 0 1 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 1 0 1 0 0 1 1 0 1 0 1 1 0 1 3 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0
"cheerful" 0 2 0 4 1 1 0 4 2 0 0 0 1 1 2 1 0 0 0 1 0 1 1 0 1 0 1 0 1 2 0 2 0 0 1 1 1 1 1 0 0 0 1 1 2 0 1 1 3 1 2 0 2 3 0 1 3 0 1 0 0 1 0 0 1 0 1 0 1 0 1 1
"clean" 0 2 0 5 1 1 4 0 3 2 0 1 2 0 1 1 0 1 0 0 1 1 0 0 1 1 3 0 1 1 0 0 0 0 2 0 0 0 0 0 0 0 0 1 2 1 1 0 4 0 2 1 1 0 0 1 4 0 1 0 0 0 0 1 1 2 2 0 0 0 1 1
"comfortable" 1 0 1 5 0 0 2 3 0 0 0 0 0 0 0 0 1 3 0 1 3 0 1 0 0 0 1 0 0 1 0 0 0 2 1 1 0 1 2 0 1 1 1 1 3 2 0 0 3 1 1 1 1 3 1 0 1 1 1 0 1 0 0 1 1 1 0 0 0 2 1 3
"compassionate" 0 1 0 3 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0
"conventional" 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 2 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0
"cruel" 0 1 2 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 2 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"curious" 0 3 3 6 1 2 1 2 0 1 1 0 0 0 2 1 2 2 0 1 2 2 0 0 1 0 1 2 0 2 0 3 0 0 1 0 1 1 1 0 3 1 1 2 1 2 2 1 3 0 0 0 1 4 1 1 1 0 1 0 1 3 0 2 0 0 1 3 2 0 1 1
"dangerous" 0 0 0 2 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 2 1 0 0 1 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1
"delighted" 0 1 1 4 0 0 2 1 0 0 0 0 2 0 0 0 1 0 0 0 0 1 1 0 0 1 0 1 0 0 1 2 0 0 1 1 1 1 0 0 0 1 0 0 2 0 1 0 2 0 0 1 0 2 0 0 0 0 2 1 0 1 0 1 0 0 0 1 0 0 0 2
