"MR1";"MR2"
"#-worth";0.0400905120519734;0.418279608960215
"accomplished";-0.1052634335945;0.736142141660511
"afraid";0.725631229663073;0.211810769318958
"beautiful";0.536262227149837;0.443181223114744
"best";0.758535706822804;0.194649611625472
"calm";0.49180253255946;0.158062225499125
"capable";0.644879494188884;0.318630156224192
"careful";0.1141059116908;0.695554702250392
"cautious";0.464793621216011;0.287327013922162
"cheerful";0.512534769571286;0.291924423622078
"clever";0.648826711097998;-0.0651880165657616
"comfortable";0.765325093057161;0.0368159511161628
"confident";0.24400036994597;0.203887622381305
"cruel";0.425266927634959;0.531561777698137
"curious";0.469759063420603;0.27652299219429
"delicate";0.776408579544896;0.162698223334709
"delighted";0.579836029648061;0.466332500541604
"delightful";0.681662402996442;0.19485268483964
"determined";0.537183354409496;0.276295815859599
"different";0.300258073053898;0.514836026477722
"encouraging";0.441222200824408;-0.241263505182612
"extraordinary";0.64214620056366;0.25034326506437
"extreme";0.19281572320828;0.172840858702413
"fair";0.78906054175119;0.11684449685244
"familiar";0.544639178711911;0.25016621071594
"fancy";0.617087566320252;0.0697832358326578
"free";0.720859782735919;0.0600004005357088
"friendly";0.458125532016699;0.493088699004291
"generous";0.800378700427516;0.219710489054653
"gentle";0.276798154282033;0.37730832387441
"greatest";0.530124127200174;0.468239959777213
"happier";0.357863325731111;0.333406278543524
"happy";0.495517117533411;0.271680911294299
"humble";0.461529881972248;0.224111406940361
"improper";0.20161658556203;0.386531234863401
"independent";0.440818487906526;0.321860636410928
"intelligent";0.129554579558299;0.581038764817694
"interesting";0.51692432519965;0.373823914487522
"liberal";-0.0330576970427809;0.724757725400714
"married";0.749636001780088;0.259506048479572
"minded";0.0013350070490819;0.642189966067812
"natural";0.729552393885256;0.181508342826262
"original";0.211149644238225;0.625810058989161
"pleasant";0.566886599411569;0.373593667869968
"pleasing";0.447082234813024;0.620767085649558
"polite";0.0736977350106483;0.605477861519755
"popular";-0.152868310752134;0.732037329221685
"powerful";0.338042125060441;0.658121409796732
"proud";0.439882884444179;0.551798070856418
"prudent";0.511107831813846;0.314602795231328
"qualified";0.478283900435745;0.114457200138572
"quiet";0.435385997175491;0.425895708892256
"reasonable";0.620830774269016;0.230438340636571
"rich";0.580173392904778;0.414121325147789
"safe";0.360085628402798;0.164949503481372
"secure";0.557407186992549;0.241496064865934
"selfish";0.434118365187949;0.119025685814638
"shocked";0.594535838562403;-0.042813245790253
"sincere";0.555490706795859;0.484326323139237
"strong";0.715600905569211;-0.00262375387689448
"superior";0.568523727068143;0.532410794366391
"unpleasant";0.536386818642173;0.27568836157464
"welcome";0.783757383834987;0.0997012370199484
"wise";0.568728718606827;0.175999368410639
"worth";0.207599388192652;0.721107141896355
"weak";0.675232800654005;0.00245522129496381
