"MR1";"MR3";"MR2"
"#-worth";0.0449387082789991;0.055453372321711;0.415294963628019
"accomplished";0.0382638114988565;-0.103764783930831;0.733867504553032
"afraid";0.434841923186012;0.605383472977949;0.166761488286086
"beautiful";0.412219865902767;0.390841084749224;0.400403027230706
"best";0.54200603674777;0.547084137183934;0.136873620623063
"calm";0.687076425479972;0.0522288697472988;0.0773061764207819
"capable";0.37168919202875;0.565607263788429;0.281413817919953
"careful";0.210022006774153;0.0300941180657052;0.674840609300811
"cautious";-0.0188341153094086;0.690034636113118;0.299509830891065
"cheerful";0.279186960983032;0.468637033680795;0.264867742260665
"clever";0.212051267366988;0.687555349046986;-0.0897663441066784
"comfortable";0.394605774753538;0.680669341165996;-0.00457401650387873
"confident";0.261814211009689;0.108830141879273;0.175045112574417
"cruel";0.204097210525612;0.4443940751818;0.515698947884171
"curious";0.449524654210021;0.248701387270543;0.227666880552045
"delicate";0.548211942194624;0.562034631692915;0.104432434908549
"delighted";0.358872349549971;0.503540935073006;0.43127606227799
"delightful";0.576171428152035;0.410962002572026;0.131897087811333
"determined";0.553068133664524;0.245068796239965;0.215469718837008
"different";0.164197124919545;0.30896888662558;0.501566821341537
"encouraging";0.0878857018281762;0.499801082057392;-0.253247503051399
"extraordinary";0.678444054297408;0.270883258504576;0.174036972345595
"extreme";0.324117369011545;-0.0227897804330147;0.136808177017055
"fair";0.471932151933986;0.647238102673542;0.0674602755197952
"familiar";0.526026013873741;0.277158536453913;0.192377015228988
"fancy";0.481901610126242;0.397801765465147;0.0170412166857081
"free";0.462159006847915;0.556484850372554;0.0111892464706946
"friendly";0.479211655253506;0.226905647136955;0.442492733963678
"generous";0.520896255085882;0.626660746192423;0.165365117792026
"gentle";0.213752652631698;0.216141173886821;0.356142206585009
"greatest";0.397849498109939;0.398521689521865;0.42734982940578
"happier";0.256578420313982;0.282600436347615;0.306717925590714
"happy";0.50316874631568;0.234380485485624;0.215834131736075
"humble";0.0000235274377041265;0.661032751950759;0.231284889684986
"improper";0.237932913171196;0.0913903632019831;0.362234246977963
"independent";0.0746756258942776;0.568388851165697;0.321731498347074
"intelligent";0.11100121719014;0.132689668288247;0.571791357871245
"interesting";0.217257771680275;0.542176718392176;0.356097843707984
"liberal";-0.120421356745642;0.138609314551969;0.75102554450215
"married";0.678034363424818;0.416378465945809;0.184677699156984
"minded";0.206790113268207;-0.127322978143426;0.623040638000382
"natural";0.536752139741952;0.511167613805671;0.123822706733091
"original";0.201912966394075;0.163279330410692;0.60661230412232
"pleasant";0.480707343109786;0.361656615277551;0.322110973720799
"pleasing";0.346548557954697;0.349030339939453;0.586230187643812
"polite";-0.0272691842686975;0.186553243228642;0.617245629622659
"popular";0.0234494966107673;-0.155400401720006;0.731439523336065
"powerful";0.191826308450754;0.348955279059155;0.643696719111041
"proud";0.309294382982193;0.367609604767409;0.521153304284479
"prudent";0.568956933941059;0.198581546774902;0.252318420868406
"qualified";0.0352849673879095;0.639716733340977;0.113660649449217
"quiet";0.618670795958498;0.0599723155312892;0.361771456055873
"reasonable";0.648150255933296;0.267154422305339;0.15772186529952
"rich";0.356629341496218;0.500128827553709;0.379370903395805
"safe";0.291670867790654;0.234864270019323;0.13342973837225
"secure";0.206645072485351;0.595130510091432;0.223565963110022
"selfish";0.720366841175622;-0.0583491196858698;0.0317757108703554
"shocked";0.661928976458469;0.195852576203654;-0.125010373835957
"sincere";0.538592519449049;0.303650411973636;0.426797516647829
"strong";0.419986816710807;0.582984885522775;-0.046976390742884
"superior";0.302700725146644;0.547776783874596;0.506035611121085
"unpleasant";0.563673938650503;0.233781049723429;0.213846614755617
"welcome";0.645254312326809;0.47616306762405;0.0284840150825345
"wise";0.43386503028083;0.388065952192063;0.128778769443396
"worth";0.451488823321118;-0.0691043859999495;0.68169996987933
"weak";0.372015421351378;0.574202916788202;-0.0370024431379306
