"MR1";"MR2";"MR3";"MR4";"MR5"
"#-happy";0.338017816720056;0.301036536409331;0.439600254677002;0.23524734614778;0.372752219865292
"accomplished";0.138446119356597;0.0327144529847997;0.40764255799968;0.344572029293904;0.244974965446835
"accustomed";0.398070273414754;0.294137435800642;0.388473770932748;0.111005284473874;-0.107515760733342
"afraid";0.568978908752411;0.38753658048471;0.213730112980358;0.285988698323422;0.267954339766944
"beautiful";0.643312927860708;0.379661283140335;0.185787877910214;0.322627475787703;0.316748786001639
"best";0.363213017791414;0.324780481207693;0.304901174330219;0.305510719165168;0.4801868497106
"brave";0.118229742712067;0.536373561284347;0.323619240697691;-0.063950986121242;0.296987954767696
"calm";0.586281427414447;0.264064216677308;0.189489621976769;0.179543321093031;0.143321241848218
"capable";0.0591945453256844;0.255065430930844;0.0607926616020317;0.281353466509724;0.116307181414603
"careful";0.560625766428856;0.0550878173429544;0.254676306690602;0.121850637496833;0.505896821774549
"cheerful";0.383557919819641;0.416931729868591;0.445356782387532;0.248943421642989;0.161460911113247
"clean";0.388070101805896;0.444895551507433;0.0296170302824071;0.237676400559231;0.0508109569161602
"clever";0.263570453935301;0.383573443689346;0.264989028813544;0.0558942400262927;0.326791007865947
"comfortable";0.558403294266076;0.230874166363286;0.329520553733357;0.309766197003521;0.0531540038625738
"confident";0.321683886693075;0.417337462511973;0.411462616585026;0.358582476473801;0.151088911162557
"conventional";0.374988113401268;-0.138724273475809;0.196664782631971;0.0303755701063016;0.356627840639836
"cruel";0.403840628263086;0.606309289226836;0.213946401693614;0.0493111671064491;0.256525733497252
"curious";0.395448683680059;0.346185365517405;0.247290880223686;0.415516570090486;0.291861019642567
"dangerous";0.534284949906273;0.215412946251775;0.00278032338753954;0.133251397810799;-0.0470162524694464
"delicate";0.502396287942794;0.340028737471605;0.2563534836555;0.375927321796343;0.246404884015854
"delighted";0.263747078024893;0.19405812705014;0.13762022313362;0.633289135590522;0.0830909509735832
"delightful";0.555187335248813;0.0585174546467098;0.210336372380965;0.181357343061331;0.309774069573417
"determined";0.150593290543754;0.353458306073088;0.188102793970457;0.361404099369702;0.47533281388572
"different";0.622492163196786;0.327948461923215;0.254068774360572;0.241033731535803;0.347105533401057
"direct";0.77803124854269;0.0499579917908842;0.303590737696999;-0.00434195451764296;0.0193666937007817
"encouraging";0.206551302246222;0.110622771162186;0.232164684530222;0.193948039459265;0.115910645194735
"expensive";0.574937445918255;0.246267759632913;0.0927082857795957;0.397252834503467;-0.104012420990612
"extraordinary";0.0255794883600971;0.098023520425621;0.138437976078326;0.0980586577369791;0.571253099038827
"fair";0.511700426117633;0.268104365908628;0.50174111390742;0.234231593529538;0.186143117052151
"faithful";0.416620553992542;0.588766958490652;0.208153124306903;0.102120293312376;0.353495502329971
"familiar";0.568238319414812;0.442127228130651;0.221516768555019;0.184977388846434;0.261693260035121
"famous";0.147885580852602;0.186660448691049;0.56351201320645;0.0866742790868701;0.0621612705133858
