"accustomed" "afraid" "amusing" "appropriate" "beautiful" "best" "brave" "bustle" "calm" "careful" "cautious" "cheerful" "clean" "clever" "comfortable" "confident" "cruel" "curious" "dangerous" "delicate" "delicious" "delighted" "delightful" "determined" "different" "energetic" "enthusiastic" "exciting" "expensive" "extraordinary" "extreme" "fair" "faithful" "familiar" "famous" "fancy" "free" "friendly" "funny" "gentle" "graceful" "greatest" "happy" "honest" "humble" "independent" "individual" "intelligent" "interesting" "irregular" "learned" "legal" "liberal" "loose" "married" "mighty" "minded" "modest" "moral" "mysterious" "mystic" "natural" "neat" "original" "passionate" "peaceful" "playful" "pleasant" "pleasing" "polite" "popular" "powerful" "professional" "proud" "quiet" "reasonable" "rich" "sacred" "safe" "smart" "special" "stable" "strong" "superior" "surprising" "thoughtful" "top" "uncertain" "united" "unpleasant" "worth" "universal" "threatening" "wise" "weak"
"accustomed" 0 0 0 0 0 3 0 0 1 1 0 0 0 0 1 0 0 2 0 0 0 1 0 0 2 0 1 0 0 2 2 1 1 1 0 0 0 0 0 0 1 0 2 0 0 0 1 0 0 0 2 1 0 2 0 0 0 0 1 2 0 1 0 1 0 0 1 4 0 0 0 0 1 1 0 0 0 0 2 2 0 0 2 1 0 0 0 0 0 0 0 1 1 0 0
"afraid" 0 0 0 2 5 11 2 0 1 2 1 2 1 1 4 1 2 1 0 2 1 5 6 1 4 1 0 0 0 10 2 3 0 2 0 0 2 2 1 2 3 4 4 3 4 1 1 0 1 0 0 0 1 3 2 4 0 1 1 4 0 4 0 3 1 1 0 3 0 0 3 4 3 4 6 1 4 1 2 5 3 3 5 0 1 1 2 2 0 1 4 0 1 1 0
"amusing" 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 2 0 1 0 1 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 3 0 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"appropriate" 0 2 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 1 1 0 0 0 0 0 1 2 0 0 0 0 1 0 0 0 1 0 0 0 0
"beautiful" 0 5 0 1 0 4 2 2 2 2 0 2 1 1 3 0 0 4 1 2 1 1 7 1 3 1 1 3 1 5 3 1 3 2 1 2 1 1 1 2 2 1 5 0 1 2 0 2 4 1 2 0 1 2 2 2 4 1 1 4 0 0 2 1 0 0 1 6 0 0 1 3 1 2 5 2 7 0 3 4 1 0 3 1 2 1 2 3 0 1 0 0 2 3 1
"best" 3 11 1 0 4 0 1 0 0 7 3 7 5 1 7 3 2 6 2 5 0 7 5 2 6 2 1 0 0 12 6 5 1 3 1 0 0 5 0 6 1 5 10 3 3 4 3 2 1 1 1 3 1 3 5 4 3 1 4 5 0 12 5 3 1 2 0 9 0 1 1 2 7 5 13 4 3 1 3 11 3 4 9 0 0 2 5 3 3 6 4 0 1 3 1
"brave" 0 2 0 0 2 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"bustle" 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 2 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0
"calm" 1 1 0 1 2 0 0 1 0 2 0 1 0 0 0 0 0 1 1 0 1 0 2 0 0 0 0 1 0 2 1 4 2 0 0 1 0 1 0 2 0 0 5 1 1 0 0 0 1 0 0 1 0 0 0 1 0 0 1 3 0 1 0 0 0 0 0 3 0 0 0 1 2 2 0 0 1 0 2 1 0 0 4 0 1 0 1 0 0 2 0 2 0 0 0
"careful" 1 2 0 0 2 7 0 0 2 0 1 2 0 0 7 1 0 1 1 1 0 1 1 0 1 1 0 1 0 4 1 1 1 1 0 0 0 2 0 1 1 0 5 2 1 1 0 0 2 0 0 1 0 0 2 1 0 0 2 3 0 8 2 0 0 0 1 5 0 0 1 2 1 1 4 0 0 0 3 1 1 2 2 0 1 1 1 1 0 1 0 0 0 2 0
"cautious" 0 1 0 1 0 3 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 3 0 0 0 1 0 0 0 0 1 0 1 0 1 0 1 0 0 1 2 1 1 0 0 0 1 0 0 1 0 0 0 1 0
"cheerful" 0 2 1 0 2 7 1 0 1 2 0 0 2 1 5 1 0 3 0 2 1 1 1 1 3 0 0 0 0 2 2 4 1 1 1 0 1 2 2 3 1 1 10 0 1 0 0 0 0 0 0 2 0 0 2 2 0 1 1 0 1 2 4 0 0 1 0 7 1 0 2 0 0 0 7 2 5 0 0 3 1 1 4 1 1 1 1 1 0 2 2 0 0 2 1
