"MR1";"MR2"
"#-happy";0.511139469196233;0.527051874692596
"accomplished";0.456285507266661;0.191377211139001
"accustomed";0.48125127564855;0.294260981221541
"afraid";0.589437280200781;0.552315909377024
"beautiful";0.644959965601186;0.576743912379905
"best";0.498921621665634;0.580854463588186
"brave";0.119435772921588;0.660872965538671
"calm";0.547893138358802;0.399261113634571
"capable";0.196356716567756;0.254251444596858
"careful";0.524768219930672;0.425683537959966
"cheerful";0.551119734942042;0.521708962727256
"clean";0.362718589038863;0.435003356491098
"clever";0.270544467211368;0.559880602976311
"comfortable";0.678482363763746;0.321217591704456
"confident";0.557859395184997;0.487753362221312
"conventional";0.347356723026232;0.163913259224929
"cruel";0.318875066124512;0.72555243953524
"curious";0.565069162343714;0.488520547307248
"dangerous";0.413820912618524;0.235416092392137
"delicate";0.621568703495498;0.485619034754818
"delighted";0.571071748602748;0.198696047136723
"delightful";0.546336492403501;0.315988915828589
"determined";0.334366589144772;0.538567582466312
"different";0.619695443773822;0.563846724541978
"direct";0.638004088465559;0.240291980938876
"encouraging";0.339241787572918;0.193458576003469
"expensive";0.630046494391264;0.222552641823523
"extraordinary";0.101604464106402;0.37646334157774
"fair";0.669588466042368;0.443234061828628
"faithful";0.351070676477261;0.757765992617675
"familiar";0.528301328932424;0.607313907955338
"famous";0.381697798172777;0.271277086029423
"free";0.54506119357894;0.597475471909359
"friendly";0.492140055945114;0.534464651570809
"generous";0.528619904009947;0.533008937317891
"gentle";0.48328032361551;0.502432150726128
"genuine";0.476848066691334;0.263429663851005
"graceful";0.400235909690432;0.579086386233921
"greatest";0.601649466486622;0.506976923586798
"happier";0.447252471654259;0.229355945652804
"happy";0.683359286095084;0.518668183825551
"harmless";0.474096455103236;0.267464022804433
"holy";0.57361228224752;0.0476227256230755
"honest";0.749988084052961;0.368953118731989
"humble";0.51649717710193;0.512537088559853
"independent";0.151003096191313;0.386216397933695
"individual";0.415863936897629;0.524621451093105
"influential";0.486463959468086;0.102785338600736
"interesting";0.370460905451172;0.390722162878352
"legal";0.192375408931871;0.427357461524928
"liberal";0.443679117996282;0.252705029565781
"loose";0.042102908663952;0.622040672882625
"married";0.598866579535408;0.423782133144059
"mighty";0.461353844768438;0.151463078426617
"modest";0.504181836040061;0.331497107102666
"moral";0.572923714578504;0.395848899024029
"mysterious";0.309012594651722;0.779121560838253
"natural";0.563304195872525;0.641389589370626
"neat";0.655794983204101;0.355824546495066
"official";0.525493307136173;0.431239498726109
"original";0.618255303609693;0.452560149849379
"passionate";0.39229895674967;0.109374918534702
"peaceful";0.626672550277409;-0.0383476771433148
"pleasant";0.612155971070638;0.471740823065829
"polite";0.631543679759784;0.261096785433843
"popular";0.309981129975122;0.301838707800841
"powerful";0.570174707414689;0.276679473630838
"professional";0.16266149412196;0.599958886154171
"proud";0.572229080257492;0.550505755140273
"prudent";0.163390265345026;0.414702557044649
"quiet";0.545027047674682;0.625194064335061
"reasonable";0.459984191650703;0.305250685755617
"responsible";0.5429930215695;0.326430631219558
"rich";0.685945014514283;0.409894005727596
"sacred";0.28418830753883;0.376879228873453
"safe";0.473210856834638;0.58832061939948
"selfish";0.329208863179553;0.0133311658272639
"shocked";0.0528790862855424;0.681740939816424
"smart";0.296441985785252;0.180274319497605
"social";0.374359638780277;0.500560242634247
"special";0.391073207072419;0.473591664734346
"strong";0.548286472893199;0.509430860526373
"superior";0.704983233284488;0.287975529152972
"surprising";0.192144275117817;0.621949568114822
"thoughtful";0.176729598033095;0.579591851519984
"uncertain";0.625943707855062;0.337804713002071
"weak";0.35080570656782;0.775407361856122
"wealthy";0.473746770387965;0.19212682085975
"welcome";0.157096111718998;0.481205132053723
"wise";0.457802282205254;0.415688016526157
"worth";0.38882101091707;0.602944658418062
