"MR1";"MR2"
"#-worth";0.513304685174322;0.157598859056906
"accustomed";0.143857713855192;0.659708099012151
"afraid";0.553485698192957;0.52457512891176
"beautiful";0.122020814259194;0.715055328482844
"best";0.416374646019939;0.463591582389173
"capable";0.532591228783603;0.347517971446043
"careful";0.503149313665819;0.0388645536876541
"cheerful";0.519900645888462;0.484377238469035
"comfortable";0.343428158103915;0.0337782612082418
"confident";0.0130351699796641;0.647648048863771
"cruel";0.602201535106438;0.422969556364874
"curious";-0.043591583938246;0.523293163529385
"dangerous";0.100408693290993;0.474730334397946
"delicate";0.552734134199258;0.346962909679586
"delighted";0.34546810563566;0.554492959738852
"delightful";0.295100441791525;0.702411276940401
"determined";0.516864444338161;0.309942167295475
"different";0.738189076046088;0.22399653634166
"entertaining";0.294298484013396;0.159311315801944
"extraordinary";0.200462977499215;0.632724695022847
"extreme";0.814821366576766;-0.0312998555916015
"fair";0.496140390875416;0.304418069232103
"faithful";0.48143230505247;0.373024167872439
"familiar";0.194307720779973;-0.201700561788627
"fancy";0.199478620693331;0.177590326766154
"free";0.463167395870503;0.697238490327083
"friendly";0.68136814167078;0.0589780624721663
"generous";0.591277816065958;0.505621465676791
"gentle";0.415171110093792;0.459574151471377
"greatest";0.544625149812227;0.561336160004857
"happy";0.619207347829653;0.349051928648614
"heavenly";0.0513232894292983;0.632108415542667
"humble";0.479516484091525;0.570438882294577
"improper";0.594598803556105;0.364871948426395
"interesting";0.573325792252911;0.396868623650495
"married";0.44708138702897;-0.304111368085684
"modest";0.13471673472863;0.632965925175388
"mysterious";0.502037719506144;0.410830523268696
"natural";0.556947558565335;0.388845581385303
"passionate";0.647131423449098;-0.0642956027964075
"pleasant";0.367861619316349;0.528638591306175
"polite";0.329782792803083;0.36614716514504
"productive";0.403043975416741;0.234321001204218
"proud";0.7799913918327;0.0114660121307463
"prudent";0.243622948182747;0.0853959665561077
"quiet";0.47472260012205;0.501574704867269
"sacred";0.391228475177363;-0.385787394804742
"safe";0.773713329911413;0.306299269564654
"shocked";0.344416422057509;0.392221220586154
"sincere";0.219607681971796;0.516283087206418
"smart";0.529461990213088;0.160617374493106
"strong";0.713304619302164;0.339201169789543
"superior";0.643744024258015;0.343663752790218
"thoughtful";0.567918591283411;0.258455792763415
"unpleasant";0.330409993873968;0.565210031648102
"weak";0.672377897599001;0.489839984292271
"welcome";0.569738848604646;0.425221082581342
"worth";0.408140467856693;0.351381548225015
