"MR1";"MR2"
"accustomed";0.434962092715713;0.388290047796112
"afraid";0.69258230739429;0.27791369078597
"amusing";0.348997178149844;0.380786561088472
"appropriate";0.244825515966641;0.0970758030060127
"beautiful";0.347300601585767;0.557225129206517
"best";0.594525497194316;0.393467142253238
"brave";0.253544311823225;0.383138843732551
"bustle";0.083985738328637;0.140149740025044
"calm";0.252616921313141;0.629359138658509
"careful";0.732380182459132;0.291870144666509
"cautious";0.721701816841855;-0.0232274493188116
"cheerful";0.543133063776238;0.554736442857171
"clean";0.595263917548488;0.363414115710601
"clever";0.32446162411576;0.143314567716994
"comfortable";0.574281949649579;0.423145753670267
"confident";0.658784155585116;0.0289062742284953
"cruel";0.308769287541365;0.204653335374087
"curious";0.536284570748866;0.492883776556319
"dangerous";0.576143788385616;0.275403185111384
"delicate";0.544228054513947;0.378299937064908
"delicious";0.0642422693245736;0.573871214647158
"delighted";0.667749286666873;0.383049267041543
"delightful";0.473132994863998;0.546213133871415
"determined";0.530952475639358;0.327948150148699
"different";0.528634608037273;0.497225393328107
"energetic";0.502865384369636;0.309127756385132
"enthusiastic";0.16832733242631;0.588031952599831
"exciting";-0.00281178912498549;0.703355169135217
"expensive";0.0681978608482433;0.562858466030436
"extraordinary";0.704542277762652;0.306549775845672
"extreme";0.648501993897053;0.340745687721618
"fair";0.547687055690072;0.378563306486597
"faithful";0.162610328120209;0.574658227572
"familiar";0.578216715178324;0.115419130979446
"famous";0.27622137717226;0.324156562475715
"fancy";-0.0622466899812895;0.457159467611426
"free";0.178142946841881;0.424124509670321
"friendly";0.644808087178227;0.321609544406267
"funny";0.221927985492149;0.254433024760105
"gentle";0.459909836931777;0.604818679965326
"graceful";0.278125171374276;0.395471519086597
"greatest";0.588995063586841;0.233892593275108
"happy";0.476453907647269;0.541409989786243
"honest";0.552390692477805;0.0203336831757003
"humble";0.540059289102389;0.370226155018168
"independent";0.531481547216927;0.193395163603179
"individual";0.592681935245554;0.155219876833381
"intelligent";0.318109380952249;0.301960589455751
"interesting";0.296696179279454;0.639129286189802
"irregular";0.366905190092857;0.156433708365678
"learned";0.238985618779534;0.369758189022624
"legal";0.496060359627076;0.191961862910414
"liberal";0.215543335078073;0.181563945767163
"loose";0.427050634328828;0.0908170655712432
"married";0.739712162949718;0.165193636732594
"mighty";0.506931172828984;0.485807240508183
"minded";0.278669592554379;0.312014768546636
"modest";0.291598431633214;0.63823718151726
"moral";0.549594581338325;0.18291080492191
"mysterious";0.591943840464955;0.231938533112762
"mystic";0.103553428109602;0.541998247297775
"natural";0.722940907602572;0.197535629680509
"neat";0.50542796727153;0.405751619663698
"original";0.559559731741741;0.263576120745727
"passionate";0.393650422157668;0.219466589309362
"peaceful";0.436590896206985;0.336151114052847
"playful";0.240672561854543;0.245698980622139
"pleasant";0.479736904102833;0.522994618769631
"pleasing";0.029403095838492;0.337276325030311
"polite";0.379772708901778;0.0683189047300118
"popular";0.41698847465304;0.117069194386524
"powerful";0.567045772972676;0.258605614043727
"professional";0.666731600500545;0.249176314200651
"proud";0.535316329832636;0.415336165148651
"quiet";0.690530110734438;0.396701812705344
"reasonable";0.481299635281048;0.356874348595648
"rich";0.304648629622469;0.682980037560479
"sacred";0.469015860371282;0.224937098569855
"safe";0.554777244464736;0.523776676329455
"smart";0.760932285242941;0.406147683386399
"special";0.669490126406567;0.248045344083533
"stable";0.64924320874186;-0.0994190463742089
"strong";0.605302269025584;0.477695970710382
"superior";0.0180074314829009;0.642118343334348
"surprising";0.232536228198471;0.277353349598044
"thoughtful";0.51245347629327;0.338101695359473
"top";0.58453847106007;0.333755847828847
"uncertain";0.48815785481543;0.275398245519242
"united";0.48543778000043;0.447042241746831
"unpleasant";0.639341634356496;0.286637068110761
"worth";0.499730788356883;0.0947187638781814
"universal";0.074660965556537;0.19461621411588
"threatening";0.256099026925816;0.557713858239132
"wise";0.368952071158884;0.59194428109767
"weak";0.347251256051447;0.266463570739494
