"afraid" "beautiful" "best" "bustle" "calm" "capable" "cheerful" "clever" "comfortable" "dangerous" "delighted" "delightful" "determined" "different" "direct" "expensive" "extraordinary" "fair" "familiar" "fancy" "free" "friendly" "generous" "gentle" "genuine" "greatest" "happier" "happy" "honest" "humble" "improper" "independent" "interesting" "married" "modest" "moral" "natural" "neat" "playful" "pleasant" "pleasing" "proud" "quiet" "reasonable" "rich" "safe" "secure" "selfish" "stable" "strong" "superior" "surprising" "thoughtful" "uncertain" "united" "unpleasant" "weak" "welcome" "worth" "sympathetic"
"afraid" 0 1 13 0 2 1 2 3 5 1 3 2 4 10 0 0 1 7 0 1 0 1 1 4 1 5 4 15 0 1 2 1 2 1 1 0 7 1 0 3 0 1 6 1 1 0 0 1 1 6 0 1 2 0 0 1 0 1 7 0
"beautiful" 1 0 4 0 1 2 4 0 3 1 2 1 3 3 0 0 0 1 0 0 0 0 0 1 1 1 0 3 1 0 0 1 1 1 0 0 2 2 1 5 0 0 2 1 1 0 0 0 0 2 2 0 2 1 1 2 1 3 0 0
"best" 13 4 0 2 1 9 4 6 11 2 5 5 8 17 3 2 2 10 3 2 4 5 0 7 2 13 5 27 3 0 1 3 8 2 4 1 11 0 1 11 2 3 10 5 3 8 2 4 3 15 2 2 2 2 0 4 1 10 9 2
"bustle" 0 0 2 0 0 0 0 0 1 0 1 1 1 1 0 0 1 1 0 0 0 0 1 1 1 0 2 4 0 0 0 0 2 0 0 0 1 0 0 1 0 1 2 0 0 3 1 0 1 0 0 1 0 0 0 0 0 1 0 0
"calm" 2 1 1 0 0 1 0 1 0 1 0 0 1 2 0 1 0 1 0 0 0 0 0 0 0 1 0 4 0 0 0 1 1 0 2 0 3 1 0 2 1 0 0 0 0 0 0 0 0 1 0 0 0 2 1 1 0 1 1 0
"capable" 1 2 9 0 1 0 1 0 2 1 1 1 4 6 1 0 1 3 1 1 1 2 2 3 1 8 2 8 1 0 2 3 1 0 4 1 5 0 1 3 1 0 2 3 0 3 0 1 0 4 1 0 2 1 1 3 2 3 2 1
"cheerful" 2 4 4 0 0 1 0 1 4 1 0 1 2 2 0 0 1 4 0 0 1 0 0 1 1 2 0 5 1 1 1 1 0 0 1 1 4 1 0 4 0 0 3 2 0 2 0 0 2 2 1 0 1 0 0 3 1 3 2 0
"clever" 3 0 6 0 1 0 1 0 1 1 0 0 0 3 0 1 0 5 1 1 1 0 0 3 0 2 1 7 1 0 0 0 1 1 2 0 2 0 0 4 2 0 0 1 1 0 1 2 0 5 1 0 0 0 0 1 0 1 1 0
"comfortable" 5 3 11 1 0 2 4 1 0 0 2 3 4 6 0 1 1 4 1 0 2 2 1 3 1 4 2 12 2 0 1 4 2 1 0 0 7 0 2 5 0 1 3 0 1 4 3 0 1 8 1 1 2 0 0 5 0 2 7 1
"dangerous" 1 1 2 0 1 1 1 1 0 0 1 0 0 2 0 1 0 2 0 0 0 0 0 0 2 2 1 3 0 1 1 0 1 0 0 1 0 0 0 0 0 0 2 0 1 1 0 0 0 1 0 0 1 0 0 0 0 2 2 0
"delighted" 3 2 5 1 0 1 0 0 2 1 0 0 0 2 0 0 0 5 0 0 2 0 0 1 0 2 4 5 1 1 1 0 1 2 0 0 3 1 1 2 1 1 4 3 3 2 1 0 0 6 2 0 1 1 0 1 0 4 4 0
"delightful" 2 1 5 1 0 1 1 0 3 0 0 0 4 4 0 0 1 3 1 0 1 1 1 1 2 6 3 8 0 1 0 0 3 0 2 1 5 1 2 4 1 1 0 2 0 4 2 1 0 4 1 2 0 0 0 1 0 0 1 1
"determined" 4 3 8 1 1 4 2 0 4 0 0 4 0 6 0 0 1 2 2 0 1 2 0 2 0 6 2 10 2 0 1 5 1 0 0 1 6 1 2 5 2 1 1 3 0 5 1 2 0 6 1 0 0 2 2 2 1 3 2 1
