"MR1";"MR5";"MR10";"MR4";"MR2";"MR3";"MR7";"MR8";"MR6";"MR9"
"#-happy";0.343549499286831;0.36921633521559;0.26805930308072;0.164862204798309;0.0977743869948049;0.302346070859646;0.368132229279632;0.110818102589138;0.212213834135774;-0.0995738852439961
"accomplished";0.148554100332243;0.170799423832472;0.196725729579863;0.389849009231846;0.0273661111879768;0.362932012391693;-0.0806542441555532;0.0300546352289618;0.231607025417153;-0.170093315352398
"accustomed";0.363000411763401;0.0562646181439155;0.424813753069566;0.201912880381861;0.359338654589552;0.0704822178169252;-0.142178930337495;-0.0211230378712789;0.16393796263702;0.0075014150926724
"afraid";0.49379530824395;0.40862444069205;0.1916644899896;0.192011320234618;0.300516093858976;0.286385371139801;0.115646272445898;0.228214326582635;-0.176235192842604;0.0100243861929418
"beautiful";0.557868874030104;0.453855193326327;0.222088276578025;0.271046368784763;0.214883181599996;0.204062672602589;0.0618044352274518;0.288131305624129;-0.0597693634272836;-0.0338953767650981
"best";0.301644571615442;0.577121919500392;0.282029305879752;0.280567376356063;0.00985064777508643;0.266496016120086;0.0149142502944398;0.215949392862683;0.171740015856617;0.018633967138813
"brave";0.17089729333667;0.481494743694303;0.0897182323240684;-0.0746471277312979;0.355492239271129;0.256884534983086;0.0824734695398034;-0.0285171542870587;0.178716802324784;0.288331367165413
"calm";0.46203332216156;0.285657968509896;0.374511909778022;0.0989136547878252;0.0620229406302512;0.0846379417955063;0.0897309005904045;0.305355788307224;-0.0367192544232831;0.0239823859726326
"capable";0.0308055360797784;0.153448721709601;0.070104012246232;0.185445853033962;0.0658416545441654;-0.0285600958863295;0.523652333778282;0.15263949496946;0.0631009265393886;-0.0505910618708132
"careful";0.622957204557218;0.395250303076474;0.0539436168885972;0.12934764653137;-0.0720545800161541;0.283167367628763;0.178525880138395;-0.0425078872105746;0.032688871376682;-0.0571977464622758
"cheerful";0.424879903962513;0.254584584824299;0.216270226975925;0.331207786625224;0.414799177811637;0.240083744995627;0.0353914960010939;0.0278455146206387;0.290062712689342;-0.0639905404174078
"clean";0.254597979207238;0.263576054907856;0.156093672755476;0.0790027911119516;0.209383621849858;0.0648390953397528;0.173279119564766;0.564563139020128;-0.0475891785476846;0.134254196096613
"clever";0.199025766439673;0.457912886431229;0.320551816502058;0.032788979024402;0.236828216179732;0.114617889991786;0.10705290681134;0.0302408889943946;0.083810870474002;-0.234358376679441
"comfortable";0.456653760068567;0.209649609258604;0.493997466145395;0.282433229986534;0.0923160195751;0.116447121117084;0.0688947746503853;0.111894847131518;-0.0342208215036043;0.160645391541952
"confident";0.306777394836886;0.301236868188555;0.276271145105994;0.382825215421364;0.32285937057634;0.267572865213036;0.00425485464900279;0.119072128844065;0.197898754260823;0.110871199956999
"conventional";0.437566502988546;0.164696494489266;0.0645177786287209;0.100567363116892;-0.0686106034710407;0.167088904283247;0.0224746113061121;-0.142246192456643;0.0766153981620943;-0.584744978248357
"cruel";0.284689040420269;0.579156171595484;0.464379944161029;0.0235014915111846;0.314986904045121;-0.0497560911817875;0.0972627686758539;0.0959963291846238;0.0536077172410407;0.0359181033771562
"curious";0.32941890792405;0.425399819266601;0.344609972972758;0.404748128306495;0.090574453275835;0.07144506619293;0.210683978320974;0.0940066957277326;0.0864607204602531;0.0346096961729633
"dangerous";0.516619005806326;0.061796357432164;0.0697072082811403;0.0668743685192301;0.139367561275263;-0.0259019275609497;0.24301682133101;0.15724214829439;-0.184114534988631;0.269031956906615
"delicate";0.404620967709962;0.385851086677277;0.368121306136767;0.299667348823995;0.196474969441953;0.162071501943949;0.237820404652803;0.101827100110458;-0.127536234981351;-0.0349799098464763
"delighted";0.209836859966406;0.134129802652462;0.191681988781491;0.669214239390099;0.164970973072976;0.020189016117412;0.199455144267139;0.0758972196178306;0.0174620445166675;-0.186438251343764
