"MR1";"MR2";"MR3";"MR5";"MR4"
"#-worth";0.317670949622034;0.0337306026266287;0.617570203388271;0.0706079703300149;-0.0405527598330411
"accustomed";0.24453902339218;0.693480742731922;0.188442090973692;-0.156946662167006;-0.0546114702105981
"afraid";0.428341942681546;0.515732618758013;0.33690712020603;0.140490023870308;0.219379837075248
"beautiful";0.161199018990805;0.631417155068337;0.143103379624671;0.275012905605226;-0.150782382336621
"best";0.250572161807077;0.496930439957942;0.39138448509199;0.0541693577985217;0.177392207014381
"capable";0.469078466544074;0.160088449822446;0.377666039312671;0.281857150015775;-0.0735330264540562
"careful";0.330301249646812;-0.0620792016965146;0.428894693195288;0.113998829738637;0.0643602579421585
"cheerful";0.705035613927846;0.375398734873411;0.134541830663056;-0.0554322700194631;0.0214205208950956
"comfortable";-0.0357391561618262;-0.0142701058999462;0.731584519864818;0.0980992725454822;-0.00183556242860862
"confident";0.0261764885962833;0.66848911118097;0.0700780074875305;0.157323146662442;-0.0419342090769601
"cruel";0.580303750191028;0.31751592543256;0.279377902403132;0.15195149409811;0.106361783290936
"curious";0.0165300516501102;0.582368280156347;0.0376227468096927;-0.0415987611196571;-0.0296035260313915
"dangerous";0.0682971393925603;0.486730398849009;0.0678521124412037;0.183299727160037;0.0424424615515816
"delicate";0.448730419388395;0.288782525140783;0.120475639725843;0.353784783368712;0.266588979821511
"delighted";0.218501375239847;0.437619531716479;0.454796967641292;0.285218722039473;-0.134939163579723
"delightful";0.608575157067025;0.55050588218173;0.0587785493192404;-0.0245747253168109;-0.236435951462129
"determined";0.245238726698461;0.178300453619545;0.464837073286236;0.476969635273228;0.050733083040269
"different";0.596806316290355;0.122770415551902;0.420467866201959;0.137211378352415;0.19634598190182
"entertaining";-0.00777974288564245;0.188131804223676;0.404696433131461;0.184731806919398;0.162878212135252
"extraordinary";0.150933783188055;0.545657022684032;0.332660694257019;0.228498239226144;-0.166290636130672
"extreme";0.666321829281163;-0.098509536354506;0.351699965220918;0.0303271319006526;0.348789256812574
"fair";0.31621261373211;0.213193503823745;0.381600839461153;0.280550963899375;0.0849065512767624
"faithful";0.533622570974048;0.137072809177881;0.0132349706502968;0.574089578922595;-0.0389035646519752
"familiar";-0.173644360169692;0.0483656058341793;0.00324248119350973;0.0684303274035627;0.705080586830149
"fancy";-0.084926148001018;0.133728675700076;0.186246571151567;0.557027390261395;0.106052823299053
"free";0.424640097566113;0.594863327985875;0.271966075920937;0.315624546766403;0.0207351580111636
"friendly";0.665027972936169;-0.100541224207266;0.38599068627082;-0.0223931336219412;0.0672938876155457
"generous";0.575152041829331;0.299479832750435;0.301167578776487;0.378956984897336;-0.049856737766085
"gentle";0.604548160067344;0.279976053587253;-0.0808765031789114;0.311958307301966;-0.0373394193129687
"greatest";0.501322374032707;0.515671209031972;0.334919074831187;0.0747439025199335;0.122942889513132
"happy";0.704121364253415;0.0838277581252869;0.251930883588467;0.29265414375383;-0.118213577910962
"heavenly";0.189564351620078;0.67533697185172;-0.167728861518216;0.112588897093485;0.0645687027001528
"humble";0.509006923111719;0.422193531256026;0.043483926303048;0.478245402338272;0.0552463592664232
"improper";0.629922285441997;0.167773730227222;0.337777803061551;0.15460906745597;-0.0717677362023992
"interesting";0.519941779252732;0.29210723997209;0.164943197141182;0.325739960711076;0.166046626522457
"married";0.236128057885579;-0.169743233022739;-0.041483081322781;0.00170221659037897;0.671360528003023
"modest";0.162708293017613;0.570748014777411;0.28041770881308;0.0729713100669375;-0.1836656269429
"mysterious";0.656407418578493;0.216608317890341;0.0612716769711155;0.229885820443066;-0.0446847224806764
"natural";0.490022018280468;0.258200657293573;0.0565185567345924;0.534000118683471;0.188459314382029
"passionate";0.355614247999553;-0.135568370950714;0.273165718058349;0.397981784279061;0.353624224199614
"pleasant";0.649104874045464;0.475804007578417;-0.15134289164563;-0.0260659176477054;0.0788184089400462
"polite";0.065871871885831;0.375340188632196;0.493235373944275;0.159993181415909;0.0784084482749752
"productive";0.312027294358675;0.127870830170869;0.474878632969757;0.0132692764995455;-0.0857542987835989
"proud";0.43437591102058;0.0141270109681906;0.473062525695776;0.165672265872684;0.448921548744133
"prudent";0.0439078538161071;0.124104765578861;0.387265918118281;-0.0588171745919798;0.103662540799405
"quiet";0.397093067991942;0.475885336695936;0.459282095776136;-0.0468896375981937;0.0555526171761399
"sacred";-0.0427784633182537;-0.166425061291392;0.17109796918556;-0.0131149079711668;0.779462746528097
"safe";0.670382996379174;0.217967028111226;0.268846802876939;0.231265182268968;0.293172854383442
"shocked";0.183920760471756;0.41803703736148;0.186786772617455;0.244124327076689;0.2234249603769
"sincere";0.244874814870526;0.462341378342945;0.00346983578572224;0.297044836707497;0.0363682319578584
"smart";0.359002504305977;0.238591604105615;0.0108272321501792;0.225891596538685;0.549261316462291
"strong";0.616576940955693;0.207359833811764;0.499475671884319;0.0876613265765961;0.0775471952458145
"superior";0.533500992246928;0.248080933205583;0.460546788836603;0.0805149636450456;0.101798246247195
"thoughtful";0.777830713097199;0.152367577810047;0.0202137121186164;-0.0960603498284387;0.135692461101905
"unpleasant";0.439110066323235;0.404033431451031;-0.0145001446352385;0.408401066905623;-0.0707006181127275
"weak";0.6264267048013;0.365667611267267;0.345047587625681;0.198803776611638;0.10310459902678
"welcome";0.442987419952603;0.468702519060429;0.175700245177721;0.16059144348455;0.394187580871525
"worth";0.197681150273877;0.346285034007004;0.190553473685582;0.386985541102095;0.257004026310852
