"accomplished" "accustomed" "afraid" "appropriate" "beautiful" "best" "calm" "capable" "careful" "charitable" "cheerful" "clean" "clever" "comfortable" "confident" "cruel" "curious" "dangerous" "delicate" "delicious" "delighted" "delightful" "determined" "different" "expensive" "extraordinary" "extreme" "fair" "faithful" "familiar" "free" "friendly" "funny" "generous" "gentle" "graceful" "greatest" "greedy" "happier" "happy" "harmless" "holy" "honest" "humble" "improper" "interesting" "loose" "married" "mighty" "moral" "mysterious" "natural" "neat" "original" "peaceful" "playful" "pleasant" "polite" "popular" "powerful" "professional" "proud" "quiet" "reasonable" "religious" "responsible" "rich" "safe" "selfish" "smart" "special" "strong" "superior" "surprising" "thoughtful" "threatening" "uncertain" "unpleasant" "weak" "welcome" "worth" "universal" "wise" "top"
"accomplished" 0 2 0 0 2 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 3 0 0 0 3 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 2 0 0 1 0 0 0 0 0 0 1 0 0
"accustomed" 2 0 3 1 6 9 1 0 1 0 4 1 0 0 0 2 0 0 2 1 1 0 0 1 1 3 3 2 3 4 0 2 1 1 5 1 1 0 1 7 0 0 1 2 1 2 2 1 0 3 2 1 1 3 2 2 3 0 0 0 1 4 3 1 1 0 2 0 2 1 0 7 3 2 2 0 2 0 1 2 0 2 1 0
"afraid" 0 3 0 0 4 10 0 0 5 0 2 1 1 4 2 0 1 1 3 2 5 3 1 3 3 10 0 5 1 0 2 1 2 1 2 1 3 0 2 15 1 0 1 1 1 1 1 5 1 2 4 3 0 1 0 1 4 1 0 3 0 5 3 2 1 0 2 1 1 0 2 8 4 0 1 3 0 1 1 2 2 1 0 0
"appropriate" 0 1 0 0 2 2 2 0 0 0 2 1 1 3 0 0 0 0 0 0 0 1 0 0 0 4 0 1 1 0 1 0 1 0 1 1 0 0 0 2 1 0 2 0 1 1 1 0 0 0 1 2 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 4 0 1 0 0 1 0 2 0 1 0 0 0
"beautiful" 2 6 4 2 0 12 2 2 0 0 5 4 2 4 2 4 0 1 7 1 5 4 1 4 2 13 4 5 5 3 4 4 1 1 11 6 2 1 4 16 1 2 8 5 1 2 1 6 2 2 5 8 0 6 3 1 10 1 1 2 3 7 5 0 0 2 6 0 1 1 2 11 1 0 1 2 1 2 5 1 2 1 1 4
"best" 0 9 10 2 12 0 3 4 3 1 7 3 3 3 6 6 2 4 6 4 4 5 0 6 5 21 8 12 6 3 7 4 3 3 8 3 3 0 4 25 1 1 14 6 4 2 4 13 2 8 7 17 4 6 3 2 9 4 4 2 4 7 14 1 2 2 6 6 3 6 4 19 4 1 1 1 4 3 8 1 12 1 1 4
"calm" 0 1 0 2 2 3 0 0 0 0 1 1 0 1 2 0 1 0 1 0 0 0 0 0 0 1 1 0 1 1 1 1 1 1 3 1 0 0 0 4 0 1 4 0 0 0 0 0 1 0 1 3 0 3 0 0 1 0 0 0 0 1 2 0 0 1 2 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0
"capable" 0 0 0 0 2 4 0 0 0 0 0 0 1 0 0 0 1 1 1 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 2 0 1 0 0 1 1 1 0 0 1 1 0 0 0 0 1 1 0 0 1 0 1 1 0 1 0 1 1 0 0 0 1
"careful" 0 1 5 0 0 3 0 0 0 1 0 0 3 1 1 0 0 2 2 1 1 0 1 0 3 4 1 4 0 1 0 1 1 0 2 0 2 1 0 4 0 1 0 0 0 1 1 1 0 1 1 1 0 1 0 0 2 0 2 1 2 1 2 0 0 1 4 2 1 0 1 6 1 0 1 1 1 0 2 2 3 0 2 0
"charitable" 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 1 1 0 0 0 2 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 2 0 0 0 0 0 1 1 0 1 1 1 0 0 0 0 1 0 0 1 0 0
