"agreeable" "bad" "excellent" "fine" "glad" "good" "great" "happy" "little" "natural" "old" "open" "poor" "sensible" "short" "strong" "young"
"agreeable" 0 8 5 5 8 25 24 18 26 6 10 10 11 8 16 8 14
"bad" 8 0 4 7 9 20 16 8 17 2 6 6 10 4 10 3 13
"excellent" 5 4 0 7 9 18 12 8 16 2 8 4 5 4 5 7 9
"fine" 5 7 7 0 7 21 14 12 20 3 6 1 10 4 8 6 14
"glad" 8 9 9 7 0 21 21 12 23 3 11 7 9 3 7 4 13
"good" 25 20 18 21 21 0 53 31 58 13 26 15 24 18 32 20 35
"great" 24 16 12 14 21 53 0 30 49 13 21 15 21 15 22 19 24
"happy" 18 8 8 12 12 31 30 0 36 8 15 12 14 8 17 11 16
"little" 26 17 16 20 23 58 49 36 0 16 24 15 24 17 32 19 37
"natural" 6 2 2 3 3 13 13 8 16 0 5 7 8 5 5 5 10
"old" 10 6 8 6 11 26 21 15 24 5 0 10 12 7 12 9 14
"open" 10 6 4 1 7 15 15 12 15 7 10 0 7 6 9 4 8
"poor" 11 10 5 10 9 24 21 14 24 8 12 7 0 9 7 6 15
"sensible" 8 4 4 4 3 18 15 8 17 5 7 6 9 0 8 7 10
"short" 16 10 5 8 7 32 22 17 32 5 12 9 7 8 0 9 18
"strong" 8 3 7 6 4 20 19 11 19 5 9 4 6 7 9 0 9
"young" 14 13 9 14 13 35 24 16 37 10 14 8 15 10 18 9 0
