"cold" "good" "great" "happy" "little" "old" "open" "poor" "short" "strong" "young"
"cold" 0 28 33 9 27 34 10 18 13 12 26
"good" 28 0 78 26 78 90 21 50 32 28 85
"great" 33 78 0 23 73 83 25 47 37 28 81
"happy" 9 26 23 0 25 25 4 15 11 12 24
"little" 27 78 73 25 0 87 29 45 41 26 82
"old" 34 90 83 25 87 0 26 52 43 33 97
"open" 10 21 25 4 29 26 0 9 16 9 26
"poor" 18 50 47 15 45 52 9 0 16 18 51
"short" 13 32 37 11 41 43 16 16 0 13 43
"strong" 12 28 28 12 26 33 9 18 13 0 28
"young" 26 85 81 24 82 97 26 51 43 28 0
