"afraid" "agreeable" "anxious" "certain" "glad" "good" "great" "handsome" "happy" "little" "pleased" "poor" "satisfied" "sensible" "short" "young"
"afraid" 0 7 5 11 8 25 19 5 13 24 7 6 6 5 11 15
"agreeable" 7 0 6 11 7 22 23 9 16 20 10 3 7 10 12 19
"anxious" 5 6 0 5 4 18 16 6 11 16 4 3 2 7 7 12
"certain" 11 11 5 0 8 24 21 6 16 22 8 6 5 6 11 20
"glad" 8 7 4 8 0 14 15 5 7 17 5 6 2 4 3 18
"good" 25 22 18 24 14 0 59 16 39 65 20 19 17 22 28 49
"great" 19 23 16 21 15 59 0 15 34 59 16 17 13 21 23 48
"handsome" 5 9 6 6 5 16 15 0 10 15 10 4 7 5 4 14
"happy" 13 16 11 16 7 39 34 10 0 34 13 2 12 12 14 29
"little" 24 20 16 22 17 65 59 15 34 0 20 20 10 18 24 52
"pleased" 7 10 4 8 5 20 16 10 13 20 0 5 6 8 8 13
"poor" 6 3 3 6 6 19 17 4 2 20 5 0 3 6 4 14
"satisfied" 6 7 2 5 2 17 13 7 12 10 6 3 0 5 8 12
"sensible" 5 10 7 6 4 22 21 5 12 18 8 6 5 0 10 19
"short" 11 12 7 11 3 28 23 4 14 24 8 4 8 10 0 16
"young" 15 19 12 20 18 49 48 14 29 52 13 14 12 19 16 0
