"agreeable" "anxious" "bad" "fine" "glad" "good" "great" "happy" "little" "natural" "old" "pleasant" "poor" "satisfied" "short" "strong" "young"
"agreeable" 0 5 9 9 11 34 33 20 30 12 10 15 6 11 10 10 26
"anxious" 5 0 6 7 12 25 25 13 29 6 9 3 14 10 14 5 15
"bad" 9 6 0 10 8 32 24 14 31 6 11 9 17 10 9 10 20
"fine" 9 7 10 0 15 31 27 13 32 6 15 11 15 6 7 6 16
"glad" 11 12 8 15 0 39 34 24 43 15 16 13 18 12 14 9 23
"good" 34 25 32 31 39 0 94 60 109 27 37 32 38 31 39 31 64
"great" 33 25 24 27 34 94 0 52 95 22 32 23 34 27 34 30 53
"happy" 20 13 14 13 24 60 52 0 64 20 16 18 23 16 20 15 38
"little" 30 29 31 32 43 109 95 64 0 26 39 26 47 32 37 31 63
"natural" 12 6 6 6 15 27 22 20 26 0 12 10 11 9 12 10 17
"old" 10 9 11 15 16 37 32 16 39 12 0 11 19 10 13 6 23
"pleasant" 15 3 9 11 13 32 23 18 26 10 11 0 9 6 8 9 20
"poor" 6 14 17 15 18 38 34 23 47 11 19 9 0 12 12 10 26
"satisfied" 11 10 10 6 12 31 27 16 32 9 10 6 12 0 11 9 17
"short" 10 14 9 7 14 39 34 20 37 12 13 8 12 11 0 14 16
"strong" 10 5 10 6 9 31 30 15 31 10 6 9 10 9 14 0 20
"young" 26 15 20 16 23 64 53 38 63 17 23 20 26 17 16 20 0
