"alone" "beautiful" "bitter" "blind" "calm" "capable" "cheerful" "cold" "excellent" "fair" "gentle" "good" "great" "happy" "ignorant" "innocent" "kind" "little" "lovely" "natural" "old" "pleasant" "poor" "short" "strange" "sweet" "unhappy" "wonderful" "young"
"alone" 0 3 6 3 1 2 0 3 3 0 2 4 4 5 2 2 0 3 4 2 1 0 3 0 2 2 1 1 0
"beautiful" 3 0 2 2 2 3 3 2 3 5 4 4 7 7 0 1 0 4 7 2 6 2 5 2 3 4 2 3 2
"bitter" 6 2 0 3 1 5 0 5 3 2 4 4 8 6 2 5 2 3 3 2 2 0 6 2 2 1 1 2 1
"blind" 3 2 3 0 0 1 3 1 3 1 4 6 4 4 2 1 1 6 4 0 5 1 3 0 2 1 3 2 1
"calm" 1 2 1 0 0 1 0 5 1 2 1 4 6 6 1 2 1 6 2 2 2 2 3 4 5 2 4 2 2
"capable" 2 3 5 1 1 0 2 5 1 2 3 4 6 6 0 3 2 2 2 2 3 2 3 3 2 3 1 1 3
"cheerful" 0 3 0 3 0 2 0 2 4 4 5 4 4 9 1 0 2 5 5 1 5 2 2 2 3 2 2 2 4
"cold" 3 2 5 1 5 5 2 0 3 3 8 8 9 8 4 3 2 6 3 2 5 5 5 5 7 5 2 2 3
"excellent" 3 3 3 3 1 1 4 3 0 3 5 4 7 3 0 3 1 4 5 3 6 2 4 2 4 2 2 6 4
"fair" 0 5 2 1 2 2 4 3 3 0 4 3 4 4 0 3 2 5 4 1 4 2 6 2 1 4 1 1 2
"gentle" 2 4 4 4 1 3 5 8 5 4 0 7 10 7 3 2 1 11 9 1 7 4 6 5 7 6 6 5 8
"good" 4 4 4 6 4 4 4 8 4 3 7 0 12 11 4 4 6 14 8 5 10 2 7 5 8 4 2 4 7
"great" 4 7 8 4 6 6 4 9 7 4 10 12 0 14 3 5 7 16 6 7 9 6 9 5 13 2 4 8 3
"happy" 5 7 6 4 6 6 9 8 3 4 7 11 14 0 2 5 6 13 6 3 6 3 8 2 8 6 7 5 7
"ignorant" 2 0 2 2 1 0 1 4 0 0 3 4 3 2 0 1 1 6 3 0 4 0 3 1 5 0 1 2 2
"innocent" 2 1 5 1 2 3 0 3 3 3 2 4 5 5 1 0 4 5 2 0 2 1 9 1 5 1 4 2 1
"kind" 0 0 2 1 1 2 2 2 1 2 1 6 7 6 1 4 0 4 2 0 2 0 5 2 3 1 1 0 2
"little" 3 4 3 6 6 2 5 6 4 5 11 14 16 13 6 5 4 0 8 4 12 6 12 8 11 7 8 4 6
"lovely" 4 7 3 4 2 2 5 3 5 4 9 8 6 6 3 2 2 8 0 1 7 1 7 4 3 5 4 3 6
"natural" 2 2 2 0 2 2 1 2 3 1 1 5 7 3 0 0 0 4 1 0 2 0 0 3 2 2 0 3 1
"old" 1 6 2 5 2 3 5 5 6 4 7 10 9 6 4 2 2 12 7 2 0 4 6 4 8 5 2 6 6
"pleasant" 0 2 0 1 2 2 2 5 2 2 4 2 6 3 0 1 0 6 1 0 4 0 2 0 2 2 0 2 0
"poor" 3 5 6 3 3 3 2 5 4 6 6 7 9 8 3 9 5 12 7 0 6 2 0 4 8 6 5 2 5
"short" 0 2 2 0 4 3 2 5 2 2 5 5 5 2 1 1 2 8 4 3 4 0 4 0 4 2 1 1 5
"strange" 2 3 2 2 5 2 3 7 4 1 7 8 13 8 5 5 3 11 3 2 8 2 8 4 0 1 6 6 3
"sweet" 2 4 1 1 2 3 2 5 2 4 6 4 2 6 0 1 1 7 5 2 5 2 6 2 1 0 3 0 4
"unhappy" 1 2 1 3 4 1 2 2 2 1 6 2 4 7 1 4 1 8 4 0 2 0 5 1 6 3 0 2 4
"wonderful" 1 3 2 2 2 1 2 2 6 1 5 4 8 5 2 2 0 4 3 3 6 2 2 1 6 0 2 0 2
"young" 0 2 1 1 2 3 4 3 4 2 8 7 3 7 2 1 2 6 6 1 6 0 5 5 3 4 4 2 0
