"bad" "certain" "good" "great" "little" "old" "open" "poor" "quiet" "short" "strong" "young"
"bad" 0 6 27 24 27 29 10 11 10 8 10 14
"certain" 6 0 25 27 35 24 10 12 6 11 9 15
"good" 27 25 0 69 94 82 32 36 25 26 22 54
"great" 24 27 69 0 83 75 30 26 17 23 24 48
"little" 27 35 94 83 0 91 38 41 28 33 30 60
"old" 29 24 82 75 91 0 34 33 26 26 25 49
"open" 10 10 32 30 38 34 0 14 11 9 10 18
"poor" 11 12 36 26 41 33 14 0 13 9 8 20
"quiet" 10 6 25 17 28 26 11 13 0 7 10 12
"short" 8 11 26 23 33 26 9 9 7 0 7 20
"strong" 10 9 22 24 30 25 10 8 10 7 0 16
"young" 14 15 54 48 60 49 18 20 12 20 16 0
